Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	XALTIP	8.5150680619	0.0	0.0	1.0
1	XALTIP	8.6953810533	0.0	0.01	0.99
2	XALTIP	8.4634267051	0.0	0.02	0.98
3	XALTIP	8.5985065765	0.0	0.03	0.97
4	XALTIP	8.302770169	0.0	0.04	0.96
5	XALTIP	8.5791726713	0.0	0.05	0.95
6	XALTIP	8.7807893275	0.0	0.06	0.94
7	XALTIP	8.6954490876	0.0	0.07	0.93
8	XALTIP	8.9501367517	0.0	0.08	0.92
9	XALTIP	8.5120306745	0.0	0.09	0.91
10	XALTIP	8.9390947451	0.0	0.1	0.9
11	XALTIP	8.780139177	0.0	0.11	0.89
12	XALTIP	9.0096878098	0.0	0.12	0.88
13	XALTIP	8.8669510663	0.0	0.13	0.87
14	XALTIP	8.9501989062	0.0	0.14	0.86
15	XALTIP	8.9840750266	0.0	0.15	0.85
16	XALTIP	9.0952283832	0.0	0.16	0.84
17	XALTIP	8.7723214449	0.0	0.17	0.83
18	XALTIP	9.173733674	0.0	0.18	0.82
19	XALTIP	8.9221178293	0.0	0.19	0.81
20	XALTIP	9.1008541705	0.0	0.2	0.8
21	XALTIP	9.0678087928	0.0	0.21	0.79
22	XALTIP	9.0239633256	0.0	0.22	0.78
23	XALTIP	9.1037575724	0.0	0.23	0.77
24	XALTIP	9.2168319714	0.0	0.24	0.76
25	XALTIP	9.3704939608	0.0	0.25	0.75
26	XALTIP	9.0886248448	0.0	0.26	0.74
27	XALTIP	9.4468052148	0.0	0.27	0.73
28	XALTIP	9.226193166	0.0	0.28	0.72
29	XALTIP	9.44906183	0.0	0.29	0.71
30	XALTIP	9.2042796717	0.0	0.3	0.7
31	XALTIP	9.4721117007	0.01	0.0	0.99
32	XALTIP	9.3703688456	0.01	0.01	0.98
33	XALTIP	9.2894384645	0.01	0.02	0.97
34	XALTIP	9.3996825018	0.01	0.03	0.96
35	XALTIP	9.6616825897	0.01	0.04	0.95
36	XALTIP	9.3406811908	0.01	0.05	0.94
37	XALTIP	9.4486345758	0.01	0.06	0.93
38	XALTIP	9.8866005193	0.01	0.07	0.92
39	XALTIP	9.3760313708	0.01	0.08	0.91
40	XALTIP	9.7081636655	0.01	0.09	0.9
41	XALTIP	9.4082000596	0.01	0.1	0.89
42	XALTIP	9.8100226052	0.01	0.11	0.88
43	XALTIP	9.632608887	0.01	0.12	0.87
44	XALTIP	9.5406324846	0.01	0.13	0.86
45	XALTIP	9.5436295267	0.01	0.14	0.85
46	XALTIP	9.7439633447	0.01	0.15	0.84
47	XALTIP	9.8819585995	0.01	0.16	0.83
48	XALTIP	9.8585533645	0.01	0.17	0.82
49	XALTIP	9.7301163205	0.01	0.18	0.81
50	XALTIP	9.7362560733	0.01	0.19	0.8
51	XALTIP	10.1899729325	0.01	0.2	0.79
52	XALTIP	10.021296434	0.01	0.21	0.78
53	XALTIP	9.9537938868	0.01	0.22	0.77
54	XALTIP	9.9701052553	0.01	0.23	0.76
55	XALTIP	10.0821053524	0.01	0.24	0.75
56	XALTIP	9.9473512482	0.01	0.25	0.74
57	XALTIP	10.1765373558	0.01	0.26	0.73
58	XALTIP	10.0389360696	0.01	0.27	0.72
59	XALTIP	10.2220532733	0.01	0.28	0.71
60	XALTIP	10.0863971919	0.01	0.29	0.7
61	XALTIP	10.4336669763	0.01	0.3	0.69
62	XALTIP	10.1756704075	0.02	0.0	0.98
63	XALTIP	10.0277276638	0.02	0.01	0.97
64	XALTIP	10.2425969945	0.02	0.02	0.96
65	XALTIP	9.9642171955	0.02	0.03	0.95
66	XALTIP	10.3021498291	0.02	0.04	0.94
67	XALTIP	10.263055675	0.02	0.05	0.93
68	XALTIP	10.2019589886	0.02	0.06	0.92
69	XALTIP	10.5212364297	0.02	0.07	0.91
70	XALTIP	10.4146179437	0.02	0.08	0.9
71	XALTIP	10.4154735933	0.02	0.09	0.89
72	XALTIP	10.2953569514	0.02	0.1	0.88
73	XALTIP	10.5374927396	0.02	0.11	0.87
74	XALTIP	10.5833298587	0.02	0.12	0.86
75	XALTIP	10.6597279251	0.02	0.13	0.85
76	XALTIP	10.6487476954	0.02	0.14	0.84
77	XALTIP	10.3191594369	0.02	0.15	0.83
78	XALTIP	10.7759662875	0.02	0.16	0.82
79	XALTIP	10.6729798885	0.02	0.17	0.81
80	XALTIP	10.5565425604	0.02	0.18	0.8
81	XALTIP	10.6691639486	0.02	0.19	0.79
82	XALTIP	10.9312577121	0.02	0.2	0.78
83	XALTIP	10.7866669974	0.02	0.21	0.77
84	XALTIP	10.7246332916	0.02	0.22	0.76
85	XALTIP	10.8874542787	0.02	0.23	0.75
86	XALTIP	10.6970558054	0.02	0.24	0.74
87	XALTIP	10.641257408	0.02	0.25	0.73
88	XALTIP	10.9805972888	0.02	0.26	0.72
89	XALTIP	11.0589944418	0.02	0.27	0.71
90	XALTIP	10.7358209407	0.02	0.28	0.7
91	XALTIP	11.2349776835	0.02	0.29	0.69
92	XALTIP	10.8894013926	0.02	0.3	0.68
93	XALTIP	11.4723983611	0.03	0.0	0.97
94	XALTIP	10.7673927557	0.03	0.01	0.96
95	XALTIP	10.9667477576	0.03	0.02	0.95
96	XALTIP	10.9043243526	0.03	0.03	0.94
97	XALTIP	11.0335774183	0.03	0.04	0.93
98	XALTIP	10.9447480862	0.03	0.05	0.92
