Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	XUKYEI	11.0429167227	0.0	0.0	1.0
1	XUKYEI	11.3751729331	0.0	0.01	0.99
2	XUKYEI	11.5086414632	0.0	0.02	0.98
3	XUKYEI	11.5716991619	0.0	0.03	0.97
4	XUKYEI	11.2913605177	0.0	0.04	0.96
5	XUKYEI	11.3546117194	0.0	0.05	0.95
6	XUKYEI	11.2410183394	0.0	0.06	0.94
7	XUKYEI	11.2791043174	0.0	0.07	0.93
8	XUKYEI	11.2835402374	0.0	0.08	0.92
9	XUKYEI	11.7123312248	0.0	0.09	0.91
10	XUKYEI	11.53682553	0.0	0.1	0.9
11	XUKYEI	11.2178702384	0.0	0.11	0.89
12	XUKYEI	11.7731137899	0.0	0.12	0.88
13	XUKYEI	11.4131758312	0.0	0.13	0.87
14	XUKYEI	11.5781424256	0.0	0.14	0.86
15	XUKYEI	11.4495515503	0.0	0.15	0.85
16	XUKYEI	11.4934875872	0.0	0.16	0.84
17	XUKYEI	11.7581817677	0.0	0.17	0.83
18	XUKYEI	11.446987138	0.0	0.18	0.82
19	XUKYEI	11.6970092588	0.0	0.19	0.81
20	XUKYEI	11.6917123442	0.0	0.2	0.8
21	XUKYEI	12.0063157608	0.0	0.21	0.79
22	XUKYEI	11.7643865785	0.0	0.22	0.78
23	XUKYEI	11.4654911475	0.0	0.23	0.77
24	XUKYEI	11.746831512	0.0	0.24	0.76
25	XUKYEI	12.2318098471	0.0	0.25	0.75
26	XUKYEI	12.0718938872	0.0	0.26	0.74
27	XUKYEI	12.2262715417	0.0	0.27	0.73
28	XUKYEI	11.9253267338	0.0	0.28	0.72
29	XUKYEI	12.0407984625	0.0	0.29	0.71
30	XUKYEI	12.072558441	0.0	0.3	0.7
31	XUKYEI	11.815317079	0.01	0.0	0.99
32	XUKYEI	11.8366719756	0.01	0.01	0.98
33	XUKYEI	11.7287769213	0.01	0.02	0.97
34	XUKYEI	11.6735351195	0.01	0.03	0.96
35	XUKYEI	11.5281543966	0.01	0.04	0.95
36	XUKYEI	11.8860765437	0.01	0.05	0.94
37	XUKYEI	12.1649122016	0.01	0.06	0.93
38	XUKYEI	11.831078089	0.01	0.07	0.92
39	XUKYEI	11.8623114355	0.01	0.08	0.91
40	XUKYEI	12.3405992826	0.01	0.09	0.9
41	XUKYEI	11.9905809946	0.01	0.1	0.89
42	XUKYEI	12.2217478289	0.01	0.11	0.88
43	XUKYEI	12.366312554	0.01	0.12	0.87
44	XUKYEI	12.2590895349	0.01	0.13	0.86
45	XUKYEI	12.0143207725	0.01	0.14	0.85
46	XUKYEI	12.4446635641	0.01	0.15	0.84
47	XUKYEI	12.0327662323	0.01	0.16	0.83
48	XUKYEI	12.465717581	0.01	0.17	0.82
49	XUKYEI	12.2634158674	0.01	0.18	0.81
50	XUKYEI	12.1752913949	0.01	0.19	0.8
51	XUKYEI	12.2637330167	0.01	0.2	0.79
52	XUKYEI	12.0311830168	0.01	0.21	0.78
53	XUKYEI	12.5212016611	0.01	0.22	0.77
54	XUKYEI	12.3445497349	0.01	0.23	0.76
55	XUKYEI	12.1737510082	0.01	0.24	0.75
56	XUKYEI	12.8252152855	0.01	0.25	0.74
57	XUKYEI	12.4943563044	0.01	0.26	0.73
58	XUKYEI	12.6106844797	0.01	0.27	0.72
59	XUKYEI	12.5252601731	0.01	0.28	0.71
60	XUKYEI	12.6801798863	0.01	0.29	0.7
61	XUKYEI	12.5691976554	0.01	0.3	0.69
62	XUKYEI	12.3475392219	0.02	0.0	0.98
63	XUKYEI	12.4746198835	0.02	0.01	0.97
64	XUKYEI	12.5759033605	0.02	0.02	0.96
65	XUKYEI	12.386862828	0.02	0.03	0.95
66	XUKYEI	12.5354433704	0.02	0.04	0.94
67	XUKYEI	12.5261307255	0.02	0.05	0.93
68	XUKYEI	12.3913909548	0.02	0.06	0.92
69	XUKYEI	12.8136207952	0.02	0.07	0.91
70	XUKYEI	12.5134683543	0.02	0.08	0.9
71	XUKYEI	12.2863320743	0.02	0.09	0.89
72	XUKYEI	12.393454221	0.02	0.1	0.88
73	XUKYEI	12.6286966983	0.02	0.11	0.87
74	XUKYEI	13.0974624224	0.02	0.12	0.86
75	XUKYEI	13.0823170144	0.02	0.13	0.85
76	XUKYEI	12.8097774867	0.02	0.14	0.84
77	XUKYEI	12.8860257165	0.02	0.15	0.83
78	XUKYEI	13.1615745765	0.02	0.16	0.82
79	XUKYEI	12.8276647007	0.02	0.17	0.81
80	XUKYEI	13.1218059986	0.02	0.18	0.8
81	XUKYEI	12.6970847805	0.02	0.19	0.79
82	XUKYEI	12.9327973788	0.02	0.2	0.78
83	XUKYEI	13.1001057313	0.02	0.21	0.77
84	XUKYEI	12.761140972	0.02	0.22	0.76
85	XUKYEI	12.6970102086	0.02	0.23	0.75
86	XUKYEI	12.9508363263	0.02	0.24	0.74
87	XUKYEI	13.0700445799	0.02	0.25	0.73
88	XUKYEI	12.6839423515	0.02	0.26	0.72
89	XUKYEI	13.0963406907	0.02	0.27	0.71
90	XUKYEI	13.3491251503	0.02	0.28	0.7
91	XUKYEI	13.5398848048	0.02	0.29	0.69
92	XUKYEI	13.3184913858	0.02	0.3	0.68
93	XUKYEI	12.7004094305	0.03	0.0	0.97
94	XUKYEI	12.75088151	0.03	0.01	0.96
95	XUKYEI	12.7843706463	0.03	0.02	0.95
96	XUKYEI	12.9880553582	0.03	0.03	0.94
97	XUKYEI	13.0157461111	0.03	0.04	0.93
98	XUKYEI	12.8496651063	0.03	0.05	0.92
99	XUKYEI	12.9755993247	0.03	0.06	0.91
100	XUKYEI	12.9633181446	0.03	0.07	0.9
101	XUKYEI	13.1598470902	0.03	0.08	0.89
102	XUKYEI	13.0915272803	0.03	0.09	0.88
103	XUKYEI	13.2996522863	0.03	0.1	0.87
104	XUKYEI	13.3472690057	0.03	0.11	0.86
105	XUKYEI	12.7679028727	0.03	0.12	0.85
106	XUKYEI	12.7829407792	0.03	0.13	0.84
107	XUKYEI	13.110228531	0.03	0.14	0.83
108	XUKYEI	13.7113376259	0.03	0.15	0.82
109	XUKYEI	13.2196193893	0.03	0.16	0.81
110	XUKYEI	13.5876607415	0.03	0.17	0.8
111	XUKYEI	13.247725958	0.03	0.18	0.79
112	XUKYEI	13.348498903	0.03	0.19	0.78
113	XUKYEI	13.2327615171	0.03	0.2	0.77
114	XUKYEI	13.5444521821	0.03	0.21	0.76
115	XUKYEI	13.5401286063	0.03	0.22	0.75
116	XUKYEI	13.4749017052	0.03	0.23	0.74
117	XUKYEI	13.3146903481	0.03	0.24	0.73
118	XUKYEI	13.8054041053	0.03	0.25	0.72
119	XUKYEI	14.173110073	0.03	0.26	0.71
120	XUKYEI	13.7977656443	0.03	0.27	0.7
121	XUKYEI	13.5842502409	0.03	0.28	0.69
122	XUKYEI	13.6437998507	0.03	0.29	0.68
123	XUKYEI	13.773919502	0.03	0.3	0.67
124	XUKYEI	13.3464371976	0.04	0.0	0.96
125	XUKYEI	13.4364777886	0.04	0.01	0.95
126	XUKYEI	13.708262639	0.04	0.02	0.94
127	XUKYEI	13.9455613718	0.04	0.03	0.93
128	XUKYEI	13.8386272947	0.04	0.04	0.92
129	XUKYEI	13.9514692579	0.04	0.05	0.91
130	XUKYEI	13.6877412009	0.04	0.06	0.9
131	XUKYEI	14.3926915888	0.04	0.07	0.89
132	XUKYEI	13.4589679581	0.04	0.08	0.88
133	XUKYEI	13.1065682235	0.04	0.09	0.87
134	XUKYEI	13.8211588603	0.04	0.1	0.86
135	XUKYEI	13.4208573771	0.04	0.11	0.85
136	XUKYEI	13.697221844	0.04	0.12	0.84
