Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	YEQRIV	5.9831341728	0.0	0.0	1.0
1	YEQRIV	5.8385079492	0.0	0.01	0.99
2	YEQRIV	5.6406182589	0.0	0.02	0.98
3	YEQRIV	5.7803712392	0.0	0.03	0.97
4	YEQRIV	5.8629752841	0.0	0.04	0.96
5	YEQRIV	5.4018641797	0.0	0.05	0.95
6	YEQRIV	5.5229077112	0.0	0.06	0.94
7	YEQRIV	5.926676343	0.0	0.07	0.93
8	YEQRIV	5.51157275	0.0	0.08	0.92
9	YEQRIV	5.3856653508	0.0	0.09	0.91
10	YEQRIV	5.3272259469	0.0	0.1	0.9
11	YEQRIV	5.1777217921	0.0	0.11	0.89
12	YEQRIV	5.3401025046	0.0	0.12	0.88
13	YEQRIV	5.4924105976	0.0	0.13	0.87
14	YEQRIV	5.6397362906	0.0	0.14	0.86
15	YEQRIV	5.3393752339	0.0	0.15	0.85
16	YEQRIV	5.3923219432	0.0	0.16	0.84
17	YEQRIV	5.0289931234	0.0	0.17	0.83
18	YEQRIV	5.4656804205	0.0	0.18	0.82
19	YEQRIV	5.4305022634	0.0	0.19	0.81
20	YEQRIV	5.2061368745	0.0	0.2	0.8
21	YEQRIV	5.2541962771	0.0	0.21	0.79
22	YEQRIV	5.3803969948	0.0	0.22	0.78
23	YEQRIV	5.3111563632	0.0	0.23	0.77
24	YEQRIV	5.6397095011	0.0	0.24	0.76
25	YEQRIV	5.419125112	0.0	0.25	0.75
26	YEQRIV	5.0249857718	0.0	0.26	0.74
27	YEQRIV	5.2402006864	0.0	0.27	0.73
28	YEQRIV	5.0642817745	0.0	0.28	0.72
29	YEQRIV	5.0356791799	0.0	0.29	0.71
30	YEQRIV	5.1783626692	0.0	0.3	0.7
31	YEQRIV	69.3300936332	0.01	0.0	0.99
32	YEQRIV	68.5899722411	0.01	0.01	0.98
33	YEQRIV	63.994527831	0.01	0.02	0.97
34	YEQRIV	69.4437917801	0.01	0.03	0.96
35	YEQRIV	72.8033517642	0.01	0.04	0.95
36	YEQRIV	74.482534426	0.01	0.05	0.94
37	YEQRIV	71.7799963178	0.01	0.06	0.93
38	YEQRIV	71.5730850064	0.01	0.07	0.92
39	YEQRIV	72.3397204787	0.01	0.08	0.91
40	YEQRIV	78.085454144	0.01	0.09	0.9
41	YEQRIV	73.6509491632	0.01	0.1	0.89
42	YEQRIV	72.4632874016	0.01	0.11	0.88
43	YEQRIV	67.4323776588	0.01	0.12	0.87
44	YEQRIV	73.0333495074	0.01	0.13	0.86
45	YEQRIV	73.9449366847	0.01	0.14	0.85
46	YEQRIV	67.062936969	0.01	0.15	0.84
47	YEQRIV	76.1199608372	0.01	0.16	0.83
48	YEQRIV	69.6730012886	0.01	0.17	0.82
49	YEQRIV	71.6887301479	0.01	0.18	0.81
50	YEQRIV	69.8807216604	0.01	0.19	0.8
51	YEQRIV	62.6100307892	0.01	0.2	0.79
52	YEQRIV	69.6240152545	0.01	0.21	0.78
53	YEQRIV	60.8790027467	0.01	0.22	0.77
54	YEQRIV	74.7757277037	0.01	0.23	0.76
55	YEQRIV	67.0883725385	0.01	0.24	0.75
56	YEQRIV	75.8582776467	0.01	0.25	0.74
57	YEQRIV	71.2662308222	0.01	0.26	0.73
58	YEQRIV	70.8414742196	0.01	0.27	0.72
59	YEQRIV	77.3696336084	0.01	0.28	0.71
60	YEQRIV	62.1828123708	0.01	0.29	0.7
61	YEQRIV	65.5730548595	0.01	0.3	0.69
62	YEQRIV	102.7970356274	0.02	0.0	0.98
63	YEQRIV	97.9109864921	0.02	0.01	0.97
