Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	ALUKIC	63.7668504415	0.0	0.0	1.0
1	ALUKIC	64.5904484457	0.0	0.01	0.99
2	ALUKIC	61.8089295848	0.0	0.02	0.98
3	ALUKIC	64.2417218401	0.0	0.03	0.97
4	ALUKIC	64.0795458892	0.0	0.04	0.96
5	ALUKIC	61.5832674755	0.0	0.05	0.95
6	ALUKIC	67.7092832948	0.0	0.06	0.94
7	ALUKIC	64.7476767193	0.0	0.07	0.93
8	ALUKIC	67.7035760862	0.0	0.08	0.92
9	ALUKIC	64.5111818377	0.0	0.09	0.91
10	ALUKIC	63.4125916586	0.0	0.1	0.9
11	ALUKIC	64.3435933211	0.0	0.11	0.89
12	ALUKIC	64.6538474881	0.0	0.12	0.88
13	ALUKIC	63.6063265161	0.0	0.13	0.87
14	ALUKIC	63.2513570081	0.0	0.14	0.86
15	ALUKIC	67.1308289215	0.0	0.15	0.85
16	ALUKIC	66.2263696549	0.0	0.16	0.84
17	ALUKIC	65.7038546846	0.0	0.17	0.83
18	ALUKIC	62.8208239984	0.0	0.18	0.82
19	ALUKIC	66.0219636634	0.0	0.19	0.81
20	ALUKIC	64.9129367463	0.0	0.2	0.8
21	ALUKIC	68.5954538043	0.0	0.21	0.79
22	ALUKIC	64.1887297292	0.0	0.22	0.78
23	ALUKIC	67.8145956936	0.0	0.23	0.77
24	ALUKIC	67.1316200038	0.0	0.24	0.76
25	ALUKIC	66.3943847708	0.0	0.25	0.75
26	ALUKIC	67.8984999499	0.0	0.26	0.74
27	ALUKIC	68.7027856914	0.0	0.27	0.73
28	ALUKIC	65.9686960954	0.0	0.28	0.72
29	ALUKIC	68.997103501	0.0	0.29	0.71
30	ALUKIC	67.5025009523	0.0	0.3	0.7
31	ALUKIC	173.6300566877	0.01	0.0	0.99
32	ALUKIC	183.4519607671	0.01	0.01	0.98
33	ALUKIC	181.8588250152	0.01	0.02	0.97
34	ALUKIC	201.7670485179	0.01	0.03	0.96
35	ALUKIC	184.0935050571	0.01	0.04	0.95
36	ALUKIC	194.0815125221	0.01	0.05	0.94
37	ALUKIC	182.7548515398	0.01	0.06	0.93
38	ALUKIC	188.0467672355	0.01	0.07	0.92
39	ALUKIC	183.7849900451	0.01	0.08	0.91
40	ALUKIC	191.0077710583	0.01	0.09	0.9
41	ALUKIC	187.049134541	0.01	0.1	0.89
42	ALUKIC	188.9332290076	0.01	0.11	0.88
43	ALUKIC	180.6152172908	0.01	0.12	0.87
44	ALUKIC	187.4853743192	0.01	0.13	0.86
45	ALUKIC	180.0940332514	0.01	0.14	0.85
46	ALUKIC	182.4425436072	0.01	0.15	0.84
47	ALUKIC	194.5763088863	0.01	0.16	0.83
48	ALUKIC	184.8669328583	0.01	0.17	0.82
49	ALUKIC	174.2289621437	0.01	0.18	0.81
50	ALUKIC	199.6761111253	0.01	0.19	0.8
51	ALUKIC	199.9053423662	0.01	0.2	0.79
52	ALUKIC	198.8412648496	0.01	0.21	0.78
53	ALUKIC	205.2412375788	0.01	0.22	0.77
54	ALUKIC	185.9813907137	0.01	0.23	0.76
55	ALUKIC	195.3930675215	0.01	0.24	0.75
56	ALUKIC	199.9796868474	0.01	0.25	0.74
57	ALUKIC	195.2388267187	0.01	0.26	0.73
58	ALUKIC	210.8271480885	0.01	0.27	0.72
59	ALUKIC	189.4306740343	0.01	0.28	0.71
60	ALUKIC	194.6056306589	0.01	0.29	0.7
61	ALUKIC	203.7383628044	0.01	0.3	0.69
62	ALUKIC	208.4704654235	0.02	0.0	0.98
63	ALUKIC	206.4310986085	0.02	0.01	0.97
64	ALUKIC	213.5785913512	0.02	0.02	0.96
65	ALUKIC	221.0604348667	0.02	0.03	0.95
66	ALUKIC	211.3400885589	0.02	0.04	0.94
67	ALUKIC	213.1306620213	0.02	0.05	0.93
