Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	AMIMAL	48.528241985	0.0	0.0	1.0
1	AMIMAL	49.5829342217	0.0	0.01	0.99
2	AMIMAL	50.57287031	0.0	0.02	0.98
3	AMIMAL	50.0988019063	0.0	0.03	0.97
4	AMIMAL	50.3826658116	0.0	0.04	0.96
5	AMIMAL	50.257603306	0.0	0.05	0.95
6	AMIMAL	50.443798746	0.0	0.06	0.94
7	AMIMAL	49.7689404276	0.0	0.07	0.93
8	AMIMAL	49.404496397	0.0	0.08	0.92
9	AMIMAL	50.352543407	0.0	0.09	0.91
10	AMIMAL	50.7935169518	0.0	0.1	0.9
11	AMIMAL	51.101050032	0.0	0.11	0.89
12	AMIMAL	52.3696307755	0.0	0.12	0.88
13	AMIMAL	52.2703781281	0.0	0.13	0.87
14	AMIMAL	51.9348106525	0.0	0.14	0.86
15	AMIMAL	51.1458173222	0.0	0.15	0.85
16	AMIMAL	51.8539159181	0.0	0.16	0.84
17	AMIMAL	52.9268362157	0.0	0.17	0.83
18	AMIMAL	51.6177836161	0.0	0.18	0.82
19	AMIMAL	52.7740962255	0.0	0.19	0.81
20	AMIMAL	52.1885989	0.0	0.2	0.8
21	AMIMAL	52.3942778734	0.0	0.21	0.79
22	AMIMAL	52.3176659867	0.0	0.22	0.78
23	AMIMAL	54.0572766219	0.0	0.23	0.77
24	AMIMAL	53.6456077624	0.0	0.24	0.76
25	AMIMAL	53.5813613679	0.0	0.25	0.75
26	AMIMAL	53.7429638332	0.0	0.26	0.74
27	AMIMAL	53.1917411426	0.0	0.27	0.73
28	AMIMAL	54.6571628568	0.0	0.28	0.72
29	AMIMAL	54.1356210568	0.0	0.29	0.71
30	AMIMAL	54.1892820189	0.0	0.3	0.7
31	AMIMAL	74.2492000237	0.01	0.0	0.99
32	AMIMAL	72.9294695528	0.01	0.01	0.98
33	AMIMAL	74.876660773	0.01	0.02	0.97
34	AMIMAL	74.1084574871	0.01	0.03	0.96
35	AMIMAL	74.9269452245	0.01	0.04	0.95
36	AMIMAL	75.3463728271	0.01	0.05	0.94
37	AMIMAL	72.594384597	0.01	0.06	0.93
38	AMIMAL	75.3140124407	0.01	0.07	0.92
39	AMIMAL	73.3043525587	0.01	0.08	0.91
40	AMIMAL	75.0921842144	0.01	0.09	0.9
41	AMIMAL	74.9039908057	0.01	0.1	0.89
42	AMIMAL	74.693067704	0.01	0.11	0.88
43	AMIMAL	75.9023848627	0.01	0.12	0.87
44	AMIMAL	74.1556766446	0.01	0.13	0.86
45	AMIMAL	75.6296708122	0.01	0.14	0.85
46	AMIMAL	76.5736619257	0.01	0.15	0.84
47	AMIMAL	73.7922515159	0.01	0.16	0.83
48	AMIMAL	76.0963301893	0.01	0.17	0.82
49	AMIMAL	74.8991958966	0.01	0.18	0.81
50	AMIMAL	77.0647262552	0.01	0.19	0.8
51	AMIMAL	77.466519089	0.01	0.2	0.79
52	AMIMAL	75.6114804416	0.01	0.21	0.78
53	AMIMAL	75.0968776974	0.01	0.22	0.77
54	AMIMAL	75.2262209539	0.01	0.23	0.76
55	AMIMAL	75.6626024916	0.01	0.24	0.75
56	AMIMAL	77.6808036605	0.01	0.25	0.74
57	AMIMAL	76.7377000166	0.01	0.26	0.73
58	AMIMAL	76.9314713089	0.01	0.27	0.72
59	AMIMAL	77.3835876588	0.01	0.28	0.71
60	AMIMAL	79.1248698715	0.01	0.29	0.7
61	AMIMAL	77.9397537675	0.01	0.3	0.69
62	AMIMAL	79.850488632	0.02	0.0	0.98
63	AMIMAL	81.7655333673	0.02	0.01	0.97
64	AMIMAL	81.9462053293	0.02	0.02	0.96
65	AMIMAL	80.4026863875	0.02	0.03	0.95
66	AMIMAL	80.6967781174	0.02	0.04	0.94
67	AMIMAL	81.6140474451	0.02	0.05	0.93
68	AMIMAL	81.4223089948	0.02	0.06	0.92
69	AMIMAL	80.5047101049	0.02	0.07	0.91
70	AMIMAL	81.7035932626	0.02	0.08	0.9
71	AMIMAL	83.7616403188	0.02	0.09	0.89
72	AMIMAL	83.815087526	0.02	0.1	0.88
73	AMIMAL	81.9449775466	0.02	0.11	0.87
74	AMIMAL	80.1940417427	0.02	0.12	0.86
75	AMIMAL	82.5988441233	0.02	0.13	0.85
76	AMIMAL	82.3049497261	0.02	0.14	0.84
77	AMIMAL	83.6721841039	0.02	0.15	0.83
78	AMIMAL	83.374409219	0.02	0.16	0.82
79	AMIMAL	81.3411744313	0.02	0.17	0.81
80	AMIMAL	84.4557820802	0.02	0.18	0.8
81	AMIMAL	83.4473251369	0.02	0.19	0.79
82	AMIMAL	83.1485343761	0.02	0.2	0.78
83	AMIMAL	82.9741600692	0.02	0.21	0.77
84	AMIMAL	84.2898384937	0.02	0.22	0.76
85	AMIMAL	84.1318567328	0.02	0.23	0.75
86	AMIMAL	82.9197661305	0.02	0.24	0.74
87	AMIMAL	84.6554490985	0.02	0.25	0.73
88	AMIMAL	83.7951076118	0.02	0.26	0.72
89	AMIMAL	83.3594207724	0.02	0.27	0.71
90	AMIMAL	83.8882709524	0.02	0.28	0.7
91	AMIMAL	83.1064600264	0.02	0.29	0.69
92	AMIMAL	83.6325729641	0.02	0.3	0.68
93	AMIMAL	84.2860048117	0.03	0.0	0.97
94	AMIMAL	88.4078056056	0.03	0.01	0.96
95	AMIMAL	89.8657150783	0.03	0.02	0.95
96	AMIMAL	87.5767694083	0.03	0.03	0.94
97	AMIMAL	84.2530768911	0.03	0.04	0.93
98	AMIMAL	88.4836036177	0.03	0.05	0.92
99	AMIMAL	88.7700233473	0.03	0.06	0.91
100	AMIMAL	89.915658961	0.03	0.07	0.9
101	AMIMAL	90.2144187575	0.03	0.08	0.89
102	AMIMAL	88.9037958548	0.03	0.09	0.88
103	AMIMAL	89.717493586	0.03	0.1	0.87
104	AMIMAL	88.8109484458	0.03	0.11	0.86
105	AMIMAL	86.8239193118	0.03	0.12	0.85
106	AMIMAL	87.6481233611	0.03	0.13	0.84
107	AMIMAL	89.9626790111	0.03	0.14	0.83
108	AMIMAL	90.9920479438	0.03	0.15	0.82
109	AMIMAL	87.0617801778	0.03	0.16	0.81
110	AMIMAL	87.5406183619	0.03	0.17	0.8
111	AMIMAL	88.3035489663	0.03	0.18	0.79
112	AMIMAL	90.3557140575	0.03	0.19	0.78
113	AMIMAL	88.4843211158	0.03	0.2	0.77
114	AMIMAL	90.1607113988	0.03	0.21	0.76
115	AMIMAL	89.646020843	0.03	0.22	0.75
116	AMIMAL	91.431654291	0.03	0.23	0.74
117	AMIMAL	90.0312698245	0.03	0.24	0.73
118	AMIMAL	90.1836601999	0.03	0.25	0.72
119	AMIMAL	90.8996794049	0.03	0.26	0.71
120	AMIMAL	90.7298946527	0.03	0.27	0.7
121	AMIMAL	90.2646493717	0.03	0.28	0.69
122	AMIMAL	90.6046715916	0.03	0.29	0.68
123	AMIMAL	89.4383357075	0.03	0.3	0.67
124	AMIMAL	88.7990039307	0.04	0.0	0.96
125	AMIMAL	93.3023587206	0.04	0.01	0.95
126	AMIMAL	93.1286059604	0.04	0.02	0.94
127	AMIMAL	93.0307643902	0.04	0.03	0.93
128	AMIMAL	93.3017869664	0.04	0.04	0.92
129	AMIMAL	92.8144695635	0.04	0.05	0.91
130	AMIMAL	93.7857228559	0.04	0.06	0.9
131	AMIMAL	92.6159609137	0.04	0.07	0.89
132	AMIMAL	92.9777772409	0.04	0.08	0.88
133	AMIMAL	94.9033312203	0.04	0.09	0.87
134	AMIMAL	94.4827547259	0.04	0.1	0.86
135	AMIMAL	96.2132380103	0.04	0.11	0.85
136	AMIMAL	94.158343427	0.04	0.12	0.84
137	AMIMAL	94.3027311282	0.04	0.13	0.83
138	AMIMAL	93.7679258155	0.04	0.14	0.82
139	AMIMAL	94.3618449548	0.04	0.15	0.81
140	AMIMAL	93.583290287	0.04	0.16	0.8
141	AMIMAL	96.1172562167	0.04	0.17	0.79
142	AMIMAL	93.686555473	0.04	0.18	0.78
143	AMIMAL	96.8963447339	0.04	0.19	0.77
144	AMIMAL	93.313784486	0.04	0.2	0.76
145	AMIMAL	94.5683795039	0.04	0.21	0.75
146	AMIMAL	95.0018564517	0.04	0.22	0.74
147	AMIMAL	96.6054854992	0.04	0.23	0.73
148	AMIMAL	95.5386924367	0.04	0.24	0.72
149	AMIMAL	96.1975165139	0.04	0.25	0.71
150	AMIMAL	96.3022910736	0.04	0.26	0.7
151	AMIMAL	96.401153385	0.04	0.27	0.69
152	AMIMAL	98.1267477608	0.04	0.28	0.68
153	AMIMAL	96.3993420442	0.04	0.29	0.67
154	AMIMAL	95.5270427551	0.04	0.3	0.66
155	AMIMAL	99.213221718	0.05	0.0	0.95
156	AMIMAL	99.0426912542	0.05	0.01	0.94
