Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	EDUVOO	52.5583412478	0.0	0.0	1.0
1	EDUVOO	53.8254546488	0.0	0.01	0.99
2	EDUVOO	51.9072504424	0.0	0.02	0.98
3	EDUVOO	53.1627698382	0.0	0.03	0.97
4	EDUVOO	54.4394090927	0.0	0.04	0.96
5	EDUVOO	54.8817351094	0.0	0.05	0.95
6	EDUVOO	54.4687720237	0.0	0.06	0.94
7	EDUVOO	53.3255773821	0.0	0.07	0.93
8	EDUVOO	55.6304782693	0.0	0.08	0.92
9	EDUVOO	54.7744392124	0.0	0.09	0.91
10	EDUVOO	53.2037031311	0.0	0.1	0.9
11	EDUVOO	54.9720446804	0.0	0.11	0.89
12	EDUVOO	54.6309835951	0.0	0.12	0.88
13	EDUVOO	54.9427516835	0.0	0.13	0.87
14	EDUVOO	54.1745706953	0.0	0.14	0.86
15	EDUVOO	55.0376886095	0.0	0.15	0.85
16	EDUVOO	55.837054935	0.0	0.16	0.84
17	EDUVOO	57.0019749274	0.0	0.17	0.83
18	EDUVOO	56.1321637891	0.0	0.18	0.82
19	EDUVOO	56.2448478512	0.0	0.19	0.81
20	EDUVOO	55.7132687872	0.0	0.2	0.8
21	EDUVOO	54.9895755465	0.0	0.21	0.79
22	EDUVOO	56.7191268725	0.0	0.22	0.78
23	EDUVOO	56.4692602462	0.0	0.23	0.77
24	EDUVOO	56.8284804454	0.0	0.24	0.76
25	EDUVOO	56.4173338651	0.0	0.25	0.75
26	EDUVOO	57.5853844732	0.0	0.26	0.74
27	EDUVOO	57.1104122638	0.0	0.27	0.73
28	EDUVOO	56.9210912043	0.0	0.28	0.72
29	EDUVOO	57.4420242475	0.0	0.29	0.71
30	EDUVOO	58.1717920233	0.0	0.3	0.7
31	EDUVOO	55.8221166342	0.01	0.0	0.99
32	EDUVOO	58.6031505777	0.01	0.01	0.98
33	EDUVOO	57.6346522482	0.01	0.02	0.97
34	EDUVOO	58.5345264557	0.01	0.03	0.96
35	EDUVOO	59.8282904567	0.01	0.04	0.95
36	EDUVOO	58.3485903947	0.01	0.05	0.94
37	EDUVOO	59.8535559917	0.01	0.06	0.93
38	EDUVOO	59.7564683663	0.01	0.07	0.92
39	EDUVOO	59.6783500695	0.01	0.08	0.91
40	EDUVOO	59.6632451487	0.01	0.09	0.9
41	EDUVOO	58.8810837278	0.01	0.1	0.89
42	EDUVOO	59.2770901029	0.01	0.11	0.88
43	EDUVOO	58.6761706741	0.01	0.12	0.87
44	EDUVOO	59.6746422106	0.01	0.13	0.86
45	EDUVOO	61.0529358888	0.01	0.14	0.85
46	EDUVOO	60.0859466234	0.01	0.15	0.84
47	EDUVOO	60.5534596591	0.01	0.16	0.83
48	EDUVOO	60.3573218699	0.01	0.17	0.82
49	EDUVOO	60.0798558143	0.01	0.18	0.81
50	EDUVOO	60.362548317	0.01	0.19	0.8
51	EDUVOO	61.26004942	0.01	0.2	0.79
52	EDUVOO	60.8707242013	0.01	0.21	0.78
53	EDUVOO	60.937972364	0.01	0.22	0.77
54	EDUVOO	61.1634210064	0.01	0.23	0.76
55	EDUVOO	62.5136421374	0.01	0.24	0.75
56	EDUVOO	60.1156691457	0.01	0.25	0.74
57	EDUVOO	61.4918764715	0.01	0.26	0.73
58	EDUVOO	61.4326706561	0.01	0.27	0.72
59	EDUVOO	61.5190233885	0.01	0.28	0.71
60	EDUVOO	62.6212155757	0.01	0.29	0.7
61	EDUVOO	61.5658583872	0.01	0.3	0.69
62	EDUVOO	63.2624940707	0.02	0.0	0.98
63	EDUVOO	61.5619376602	0.02	0.01	0.97
64	EDUVOO	63.2521681432	0.02	0.02	0.96
65	EDUVOO	63.1598987071	0.02	0.03	0.95
66	EDUVOO	63.4580198937	0.02	0.04	0.94
67	EDUVOO	62.7104754759	0.02	0.05	0.93
68	EDUVOO	61.8185224123	0.02	0.06	0.92
69	EDUVOO	63.4328364876	0.02	0.07	0.91
70	EDUVOO	64.1069049027	0.02	0.08	0.9
71	EDUVOO	64.2522740571	0.02	0.09	0.89
72	EDUVOO	63.8354605002	0.02	0.1	0.88
73	EDUVOO	63.9076985471	0.02	0.11	0.87
74	EDUVOO	64.8600367901	0.02	0.12	0.86
75	EDUVOO	64.8818697381	0.02	0.13	0.85
76	EDUVOO	65.1733989723	0.02	0.14	0.84
77	EDUVOO	64.7877619455	0.02	0.15	0.83
78	EDUVOO	65.4353963905	0.02	0.16	0.82
79	EDUVOO	64.8238754406	0.02	0.17	0.81
80	EDUVOO	64.2832522786	0.02	0.18	0.8
81	EDUVOO	66.2131696758	0.02	0.19	0.79
82	EDUVOO	65.8032821396	0.02	0.2	0.78
83	EDUVOO	65.6464374349	0.02	0.21	0.77
84	EDUVOO	65.0912885889	0.02	0.22	0.76
85	EDUVOO	66.4501695865	0.02	0.23	0.75
86	EDUVOO	66.6283562959	0.02	0.24	0.74
87	EDUVOO	65.3147783212	0.02	0.25	0.73
88	EDUVOO	65.4064867103	0.02	0.26	0.72
89	EDUVOO	67.9184682264	0.02	0.27	0.71
90	EDUVOO	67.090050036	0.02	0.28	0.7
91	EDUVOO	66.636226247	0.02	0.29	0.69
92	EDUVOO	66.5778197485	0.02	0.3	0.68
93	EDUVOO	66.5705016543	0.03	0.0	0.97
94	EDUVOO	67.0439803161	0.03	0.01	0.96
95	EDUVOO	66.0223185021	0.03	0.02	0.95
96	EDUVOO	68.5101306778	0.03	0.03	0.94
97	EDUVOO	67.7028389607	0.03	0.04	0.93
98	EDUVOO	67.2814658764	0.03	0.05	0.92
99	EDUVOO	67.5607298975	0.03	0.06	0.91
100	EDUVOO	67.588190625	0.03	0.07	0.9
101	EDUVOO	67.5378909249	0.03	0.08	0.89
102	EDUVOO	68.4175122203	0.03	0.09	0.88
103	EDUVOO	67.6008057535	0.03	0.1	0.87
104	EDUVOO	67.6931437977	0.03	0.11	0.86
105	EDUVOO	67.9774190878	0.03	0.12	0.85
106	EDUVOO	69.6910416597	0.03	0.13	0.84
107	EDUVOO	68.1789289946	0.03	0.14	0.83
108	EDUVOO	68.6954220202	0.03	0.15	0.82
109	EDUVOO	69.4060382725	0.03	0.16	0.81
110	EDUVOO	69.0071507133	0.03	0.17	0.8
111	EDUVOO	69.4889035902	0.03	0.18	0.79
112	EDUVOO	70.0977583567	0.03	0.19	0.78
113	EDUVOO	70.6470638514	0.03	0.2	0.77
114	EDUVOO	71.1652718471	0.03	0.21	0.76
115	EDUVOO	70.595803226	0.03	0.22	0.75
116	EDUVOO	70.5465841557	0.03	0.23	0.74
117	EDUVOO	71.5469228465	0.03	0.24	0.73
118	EDUVOO	70.8722126692	0.03	0.25	0.72
119	EDUVOO	71.6140607981	0.03	0.26	0.71
120	EDUVOO	71.2741710542	0.03	0.27	0.7
121	EDUVOO	71.9828942799	0.03	0.28	0.69
122	EDUVOO	71.7971883828	0.03	0.29	0.68
123	EDUVOO	72.1468616653	0.03	0.3	0.67
124	EDUVOO	72.3365868147	0.04	0.0	0.96
125	EDUVOO	71.0801333975	0.04	0.01	0.95
126	EDUVOO	72.5229161168	0.04	0.02	0.94
127	EDUVOO	72.2689183221	0.04	0.03	0.93
128	EDUVOO	73.138797111	0.04	0.04	0.92
129	EDUVOO	72.2121153045	0.04	0.05	0.91
130	EDUVOO	73.0559839718	0.04	0.06	0.9
131	EDUVOO	72.6113330792	0.04	0.07	0.89
132	EDUVOO	72.983499453	0.04	0.08	0.88
133	EDUVOO	74.3804229822	0.04	0.09	0.87
134	EDUVOO	72.9919841542	0.04	0.1	0.86
135	EDUVOO	73.9488299078	0.04	0.11	0.85
136	EDUVOO	73.9263521931	0.04	0.12	0.84
137	EDUVOO	73.7006467782	0.04	0.13	0.83
138	EDUVOO	73.4676574988	0.04	0.14	0.82
139	EDUVOO	73.2907531419	0.04	0.15	0.81
140	EDUVOO	74.1728266868	0.04	0.16	0.8
141	EDUVOO	74.0028014373	0.04	0.17	0.79
142	EDUVOO	75.2821218667	0.04	0.18	0.78
143	EDUVOO	73.2757265814	0.04	0.19	0.77
144	EDUVOO	75.4545286504	0.04	0.2	0.76
145	EDUVOO	74.843295594	0.04	0.21	0.75
146	EDUVOO	74.8867155904	0.04	0.22	0.74
147	EDUVOO	74.6072113771	0.04	0.23	0.73
148	EDUVOO	73.8557072178	0.04	0.24	0.72
149	EDUVOO	74.7394073803	0.04	0.25	0.71
150	EDUVOO	75.1416149265	0.04	0.26	0.7
151	EDUVOO	76.7995309336	0.04	0.27	0.69
152	EDUVOO	76.0211520173	0.04	0.28	0.68
153	EDUVOO	74.6321149836	0.04	0.29	0.67
154	EDUVOO	77.0984108503	0.04	0.3	0.66
155	EDUVOO	76.4076627362	0.05	0.0	0.95
156	EDUVOO	76.2542579068	0.05	0.01	0.94
157	EDUVOO	76.7896891546	0.05	0.02	0.93
158	EDUVOO	76.7753644108	0.05	0.03	0.92
159	EDUVOO	77.7010171272	0.05	0.04	0.91
160	EDUVOO	77.5850569551	0.05	0.05	0.9
161	EDUVOO	76.1464404017	0.05	0.06	0.89
162	EDUVOO	77.5412788631	0.05	0.07	0.88
163	EDUVOO	78.4805080908	0.05	0.08	0.87
164	EDUVOO	77.2388345379	0.05	0.09	0.86
165	EDUVOO	76.9269404853	0.05	0.1	0.85
166	EDUVOO	77.6119629566	0.05	0.11	0.84
167	EDUVOO	77.8592597791	0.05	0.12	0.83
168	EDUVOO	77.5115507308	0.05	0.13	0.82
169	EDUVOO	78.9025298535	0.05	0.14	0.81
170	EDUVOO	77.0044885875	0.05	0.15	0.8
171	EDUVOO	78.7944767672	0.05	0.16	0.79
172	EDUVOO	78.2477646024	0.05	0.17	0.78
173	EDUVOO	78.5007703727	0.05	0.18	0.77
174	EDUVOO	78.2658506475	0.05	0.19	0.76
175	EDUVOO	79.1343653107	0.05	0.2	0.75
176	EDUVOO	79.217954456	0.05	0.21	0.74
177	EDUVOO	79.1855721785	0.05	0.22	0.73
178	EDUVOO	80.4160554506	0.05	0.23	0.72
179	EDUVOO	79.4504629297	0.05	0.24	0.71
180	EDUVOO	80.819928817	0.05	0.25	0.7
181	EDUVOO	80.1501463674	0.05	0.26	0.69
182	EDUVOO	81.4882763391	0.05	0.27	0.68
183	EDUVOO	82.1044540975	0.05	0.28	0.67
184	EDUVOO	80.3894402235	0.05	0.29	0.66
185	EDUVOO	81.2921708624	0.05	0.3	0.65
186	EDUVOO	80.3548592094	0.06	0.0	0.94
187	EDUVOO	80.486487295	0.06	0.01	0.93
188	EDUVOO	80.9105965316	0.06	0.02	0.92
189	EDUVOO	80.9087336698	0.06	0.03	0.91
190	EDUVOO	80.8586051317	0.06	0.04	0.9
191	EDUVOO	80.2438334547	0.06	0.05	0.89
192	EDUVOO	82.2448964148	0.06	0.06	0.88
193	EDUVOO	81.763261496	0.06	0.07	0.87
194	EDUVOO	81.6029895909	0.06	0.08	0.86
195	EDUVOO	81.9142936059	0.06	0.09	0.85
196	EDUVOO	82.367418597	0.06	0.1	0.84
197	EDUVOO	80.6874913064	0.06	0.11	0.83
198	EDUVOO	81.9296917664	0.06	0.12	0.82
