Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	FIDRIV	78.2226801482	0.0	0.0	1.0
1	FIDRIV	74.7379096377	0.0	0.01	0.99
2	FIDRIV	77.7570279566	0.0	0.02	0.98
3	FIDRIV	71.8682393479	0.0	0.03	0.97
4	FIDRIV	72.705770524	0.0	0.04	0.96
5	FIDRIV	75.2346288662	0.0	0.05	0.95
6	FIDRIV	77.7772182019	0.0	0.06	0.94
7	FIDRIV	72.3108268476	0.0	0.07	0.93
8	FIDRIV	77.3180846861	0.0	0.08	0.92
9	FIDRIV	75.4737834143	0.0	0.09	0.91
10	FIDRIV	78.1014511589	0.0	0.1	0.9
11	FIDRIV	75.8585376961	0.0	0.11	0.89
12	FIDRIV	75.8965197051	0.0	0.12	0.88
13	FIDRIV	74.305129803	0.0	0.13	0.87
14	FIDRIV	74.0688683156	0.0	0.14	0.86
15	FIDRIV	73.8988981246	0.0	0.15	0.85
16	FIDRIV	75.4526369657	0.0	0.16	0.84
17	FIDRIV	75.9244130998	0.0	0.17	0.83
18	FIDRIV	75.8359719243	0.0	0.18	0.82
19	FIDRIV	75.4149893245	0.0	0.19	0.81
20	FIDRIV	74.626658483	0.0	0.2	0.8
21	FIDRIV	75.0616983624	0.0	0.21	0.79
22	FIDRIV	76.610889028	0.0	0.22	0.78
23	FIDRIV	76.9006548521	0.0	0.23	0.77
24	FIDRIV	76.5682972493	0.0	0.24	0.76
25	FIDRIV	74.9186461208	0.0	0.25	0.75
26	FIDRIV	75.966620384	0.0	0.26	0.74
27	FIDRIV	70.6805923336	0.0	0.27	0.73
28	FIDRIV	72.3354193301	0.0	0.28	0.72
29	FIDRIV	77.6886366716	0.0	0.29	0.71
30	FIDRIV	71.7827707934	0.0	0.3	0.7
31	FIDRIV	178.5446927216	0.01	0.0	0.99
32	FIDRIV	175.2660064543	0.01	0.01	0.98
33	FIDRIV	174.6647151483	0.01	0.02	0.97
34	FIDRIV	176.5146903643	0.01	0.03	0.96
35	FIDRIV	179.2011142334	0.01	0.04	0.95
36	FIDRIV	177.1930521673	0.01	0.05	0.94
37	FIDRIV	178.8444304018	0.01	0.06	0.93
38	FIDRIV	176.0060346446	0.01	0.07	0.92
39	FIDRIV	176.8492042341	0.01	0.08	0.91
40	FIDRIV	179.2503638827	0.01	0.09	0.9
41	FIDRIV	179.7941120147	0.01	0.1	0.89
42	FIDRIV	176.8814526013	0.01	0.11	0.88
43	FIDRIV	178.0568050032	0.01	0.12	0.87
44	FIDRIV	179.6838751578	0.01	0.13	0.86
45	FIDRIV	176.3902163905	0.01	0.14	0.85
46	FIDRIV	175.6908047462	0.01	0.15	0.84
47	FIDRIV	176.9399425311	0.01	0.16	0.83
48	FIDRIV	180.0046327844	0.01	0.17	0.82
49	FIDRIV	179.7425512123	0.01	0.18	0.81
50	FIDRIV	177.0754903146	0.01	0.19	0.8
51	FIDRIV	176.7174529742	0.01	0.2	0.79
52	FIDRIV	180.3576708853	0.01	0.21	0.78
53	FIDRIV	180.3081002643	0.01	0.22	0.77
54	FIDRIV	179.365712115	0.01	0.23	0.76
55	FIDRIV	176.0540256645	0.01	0.24	0.75
56	FIDRIV	179.3997865037	0.01	0.25	0.74
57	FIDRIV	175.3500853101	0.01	0.26	0.73
58	FIDRIV	181.1336634932	0.01	0.27	0.72
59	FIDRIV	181.5684861151	0.01	0.28	0.71
60	FIDRIV	180.615659459	0.01	0.29	0.7
61	FIDRIV	181.3991619004	0.01	0.3	0.69
62	FIDRIV	202.6029250038	0.02	0.0	0.98
63	FIDRIV	200.7464034369	0.02	0.01	0.97
64	FIDRIV	207.0120457753	0.02	0.02	0.96
65	FIDRIV	205.25352258	0.02	0.03	0.95
66	FIDRIV	203.6010229035	0.02	0.04	0.94
67	FIDRIV	202.6462962234	0.02	0.05	0.93
68	FIDRIV	201.0685292153	0.02	0.06	0.92
69	FIDRIV	201.7289698033	0.02	0.07	0.91
70	FIDRIV	202.8086550506	0.02	0.08	0.9
71	FIDRIV	202.754344938	0.02	0.09	0.89
72	FIDRIV	203.1441210183	0.02	0.1	0.88
73	FIDRIV	204.2553787905	0.02	0.11	0.87
74	FIDRIV	204.5420047219	0.02	0.12	0.86
75	FIDRIV	202.4823571927	0.02	0.13	0.85
76	FIDRIV	207.1705860243	0.02	0.14	0.84
77	FIDRIV	209.8531154557	0.02	0.15	0.83
78	FIDRIV	209.5881224821	0.02	0.16	0.82
79	FIDRIV	201.7772454835	0.02	0.17	0.81
80	FIDRIV	208.654120082	0.02	0.18	0.8
81	FIDRIV	202.9514198324	0.02	0.19	0.79
82	FIDRIV	208.4623447869	0.02	0.2	0.78
83	FIDRIV	206.086057665	0.02	0.21	0.77
84	FIDRIV	204.1829154852	0.02	0.22	0.76
85	FIDRIV	209.887392379	0.02	0.23	0.75
86	FIDRIV	207.0201372428	0.02	0.24	0.74
87	FIDRIV	204.0220521296	0.02	0.25	0.73
88	FIDRIV	202.2705538504	0.02	0.26	0.72
89	FIDRIV	207.8928408104	0.02	0.27	0.71
90	FIDRIV	207.8326815755	0.02	0.28	0.7
91	FIDRIV	206.8973898573	0.02	0.29	0.69
92	FIDRIV	204.0523072972	0.02	0.3	0.68
93	FIDRIV	233.0102000869	0.03	0.0	0.97
94	FIDRIV	222.061559409	0.03	0.01	0.96
95	FIDRIV	221.07119441	0.03	0.02	0.95
96	FIDRIV	228.0205624838	0.03	0.03	0.94
97	FIDRIV	222.8124603739	0.03	0.04	0.93
98	FIDRIV	230.4668745822	0.03	0.05	0.92
99	FIDRIV	227.8816954121	0.03	0.06	0.91
100	FIDRIV	226.550399261	0.03	0.07	0.9
101	FIDRIV	224.2618042524	0.03	0.08	0.89
102	FIDRIV	223.1728560219	0.03	0.09	0.88
103	FIDRIV	227.4957897243	0.03	0.1	0.87
104	FIDRIV	225.8232308243	0.03	0.11	0.86
105	FIDRIV	232.2700168876	0.03	0.12	0.85
106	FIDRIV	230.7517295138	0.03	0.13	0.84
107	FIDRIV	230.7085988976	0.03	0.14	0.83
108	FIDRIV	228.0411733296	0.03	0.15	0.82
109	FIDRIV	224.6868125909	0.03	0.16	0.81
110	FIDRIV	228.2377384891	0.03	0.17	0.8
111	FIDRIV	222.5690064852	0.03	0.18	0.79
112	FIDRIV	232.2016923648	0.03	0.19	0.78
113	FIDRIV	224.1327145617	0.03	0.2	0.77
114	FIDRIV	229.0517824127	0.03	0.21	0.76
115	FIDRIV	229.5877510762	0.03	0.22	0.75
116	FIDRIV	228.6108231485	0.03	0.23	0.74
117	FIDRIV	226.303592266	0.03	0.24	0.73
118	FIDRIV	226.9315281743	0.03	0.25	0.72
119	FIDRIV	230.6323254119	0.03	0.26	0.71
120	FIDRIV	232.4580601247	0.03	0.27	0.7
121	FIDRIV	228.6404159923	0.03	0.28	0.69
122	FIDRIV	228.0492862097	0.03	0.29	0.68
123	FIDRIV	229.1824070631	0.03	0.3	0.67
124	FIDRIV	240.3721767104	0.04	0.0	0.96
125	FIDRIV	245.879166958	0.04	0.01	0.95
126	FIDRIV	251.0119080376	0.04	0.02	0.94
127	FIDRIV	247.7106482293	0.04	0.03	0.93
128	FIDRIV	248.470185841	0.04	0.04	0.92
129	FIDRIV	246.0848446196	0.04	0.05	0.91
130	FIDRIV	246.6420914165	0.04	0.06	0.9
131	FIDRIV	246.0440455363	0.04	0.07	0.89
132	FIDRIV	252.0687441744	0.04	0.08	0.88
133	FIDRIV	249.5609381695	0.04	0.09	0.87
134	FIDRIV	247.8527527396	0.04	0.1	0.86
135	FIDRIV	260.3960688574	0.04	0.11	0.85
136	FIDRIV	248.6251741745	0.04	0.12	0.84
137	FIDRIV	247.5574406092	0.04	0.13	0.83
138	FIDRIV	247.9923787001	0.04	0.14	0.82
139	FIDRIV	250.073878004	0.04	0.15	0.81
140	FIDRIV	252.0024031317	0.04	0.16	0.8
141	FIDRIV	248.189075836	0.04	0.17	0.79
142	FIDRIV	246.8819134622	0.04	0.18	0.78
143	FIDRIV	241.8713291463	0.04	0.19	0.77
144	FIDRIV	255.0231000354	0.04	0.2	0.76
145	FIDRIV	251.1686977073	0.04	0.21	0.75
146	FIDRIV	247.2778144007	0.04	0.22	0.74
147	FIDRIV	244.9760734486	0.04	0.23	0.73
148	FIDRIV	246.9750215223	0.04	0.24	0.72
149	FIDRIV	250.4753873624	0.04	0.25	0.71
150	FIDRIV	251.3762032944	0.04	0.26	0.7
151	FIDRIV	251.0142925696	0.04	0.27	0.69
152	FIDRIV	254.8985553088	0.04	0.28	0.68
153	FIDRIV	251.0569691673	0.04	0.29	0.67
154	FIDRIV	249.6984250208	0.04	0.3	0.66
155	FIDRIV	262.3610567415	0.05	0.0	0.95
156	FIDRIV	269.0378041289	0.05	0.01	0.94
157	FIDRIV	265.8632840828	0.05	0.02	0.93
158	FIDRIV	264.346342517	0.05	0.03	0.92
159	FIDRIV	270.0007426445	0.05	0.04	0.91
160	FIDRIV	265.9465847694	0.05	0.05	0.9
161	FIDRIV	267.5897270464	0.05	0.06	0.89
162	FIDRIV	270.2837030299	0.05	0.07	0.88
163	FIDRIV	259.2478369417	0.05	0.08	0.87
164	FIDRIV	265.7000865806	0.05	0.09	0.86
165	FIDRIV	268.5672825679	0.05	0.1	0.85
166	FIDRIV	266.357035872	0.05	0.11	0.84
167	FIDRIV	266.6046999623	0.05	0.12	0.83
168	FIDRIV	270.3638960057	0.05	0.13	0.82
169	FIDRIV	260.2365565478	0.05	0.14	0.81
170	FIDRIV	269.976367774	0.05	0.15	0.8
171	FIDRIV	268.5746747207	0.05	0.16	0.79
172	FIDRIV	272.1298308125	0.05	0.17	0.78
173	FIDRIV	263.0864612733	0.05	0.18	0.77
174	FIDRIV	264.0421737334	0.05	0.19	0.76
175	FIDRIV	272.2306294229	0.05	0.2	0.75
176	FIDRIV	270.0254161815	0.05	0.21	0.74
177	FIDRIV	267.9177623174	0.05	0.22	0.73
178	FIDRIV	260.3913757366	0.05	0.23	0.72
179	FIDRIV	264.2869463318	0.05	0.24	0.71
180	FIDRIV	267.2370664121	0.05	0.25	0.7
181	FIDRIV	270.4707886065	0.05	0.26	0.69
182	FIDRIV	265.1838897118	0.05	0.27	0.68
183	FIDRIV	267.2988004797	0.05	0.28	0.67
184	FIDRIV	267.4053465799	0.05	0.29	0.66
185	FIDRIV	270.2111512448	0.05	0.3	0.65
186	FIDRIV	285.6138836237	0.06	0.0	0.94
187	FIDRIV	285.1745235944	0.06	0.01	0.93
188	FIDRIV	281.754461003	0.06	0.02	0.92
189	FIDRIV	284.1013019718	0.06	0.03	0.91
190	FIDRIV	287.1034692287	0.06	0.04	0.9
191	FIDRIV	284.0964190075	0.06	0.05	0.89
192	FIDRIV	280.5447294453	0.06	0.06	0.88
193	FIDRIV	273.6130460928	0.06	0.07	0.87
194	FIDRIV	283.436957675	0.06	0.08	0.86
195	FIDRIV	286.1078303138	0.06	0.09	0.85
196	FIDRIV	285.3926116222	0.06	0.1	0.84
197	FIDRIV	284.5207232048	0.06	0.11	0.83
198	FIDRIV	279.511685044	0.06	0.12	0.82
199	FIDRIV	281.3483001605	0.06	0.13	0.81
200	FIDRIV	284.7506669594	0.06	0.14	0.8
201	FIDRIV	287.7845609853	0.06	0.15	0.79
202	FIDRIV	290.761646384	0.06	0.16	0.78
203	FIDRIV	281.659002541	0.06	0.17	0.77
204	FIDRIV	277.9722744679	0.06	0.18	0.76
205	FIDRIV	280.4483073509	0.06	0.19	0.75
206	FIDRIV	279.8603526632	0.06	0.2	0.74
207	FIDRIV	283.2286509085	0.06	0.21	0.73
208	FIDRIV	280.4119369564	0.06	0.22	0.72
209	FIDRIV	287.3919544098	0.06	0.23	0.71
210	FIDRIV	284.9173005361	0.06	0.24	0.7
211	FIDRIV	280.8809970569	0.06	0.25	0.69
212	FIDRIV	286.2168865739	0.06	0.26	0.68
213	FIDRIV	287.6450227334	0.06	0.27	0.67
214	FIDRIV	276.9876041711	0.06	0.28	0.66
215	FIDRIV	283.571185705	0.06	0.29	0.65
216	FIDRIV	283.6928869419	0.06	0.3	0.64
217	FIDRIV	299.235492548	0.07	0.0	0.93
218	FIDRIV	292.8686519737	0.07	0.01	0.92
219	FIDRIV	298.1688720891	0.07	0.02	0.91
220	FIDRIV	291.7980906153	0.07	0.03	0.9
221	FIDRIV	298.5070425757	0.07	0.04	0.89
222	FIDRIV	302.7119846377	0.07	0.05	0.88
223	FIDRIV	301.397611222	0.07	0.06	0.87
224	FIDRIV	291.9992005319	0.07	0.07	0.86
225	FIDRIV	301.2860110312	0.07	0.08	0.85
226	FIDRIV	291.2851864198	0.07	0.09	0.84
227	FIDRIV	295.3410752146	0.07	0.1	0.83
228	FIDRIV	298.3973708137	0.07	0.11	0.82
229	FIDRIV	299.2329144062	0.07	0.12	0.81
230	FIDRIV	298.720282984	0.07	0.13	0.8
231	FIDRIV	297.4236043299	0.07	0.14	0.79
232	FIDRIV	297.2135172159	0.07	0.15	0.78
233	FIDRIV	298.0211928175	0.07	0.16	0.77
234	FIDRIV	290.890128619	0.07	0.17	0.76
235	FIDRIV	297.1844171085	0.07	0.18	0.75
236	FIDRIV	292.7621674133	0.07	0.19	0.74
237	FIDRIV	298.4469726253	0.07	0.2	0.73
238	FIDRIV	305.1439098295	0.07	0.21	0.72
239	FIDRIV	296.0376021873	0.07	0.22	0.71
240	FIDRIV	296.4391172829	0.07	0.23	0.7
241	FIDRIV	290.3593615625	0.07	0.24	0.69
242	FIDRIV	287.611211946	0.07	0.25	0.68
243	FIDRIV	300.0897778643	0.07	0.26	0.67
244	FIDRIV	293.8938544548	0.07	0.27	0.66
245	FIDRIV	294.3370305479	0.07	0.28	0.65
246	FIDRIV	300.7323954786	0.07	0.29	0.64
247	FIDRIV	294.9370400292	0.07	0.3	0.63
