Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	IRMOF-1	34.6743978802	0.0	0.0	1.0
1	IRMOF-1	34.89863858	0.0	0.01	0.99
2	IRMOF-1	36.0236498622	0.0	0.02	0.98
3	IRMOF-1	35.3156280207	0.0	0.03	0.97
4	IRMOF-1	36.5922479334	0.0	0.04	0.96
5	IRMOF-1	36.8434705731	0.0	0.05	0.95
6	IRMOF-1	36.3748531278	0.0	0.06	0.94
7	IRMOF-1	37.819997614	0.0	0.07	0.93
8	IRMOF-1	35.8267374879	0.0	0.08	0.92
9	IRMOF-1	35.9787383493	0.0	0.09	0.91
10	IRMOF-1	36.4715920888	0.0	0.1	0.9
11	IRMOF-1	38.0697025295	0.0	0.11	0.89
12	IRMOF-1	36.7953713154	0.0	0.12	0.88
13	IRMOF-1	38.3666817786	0.0	0.13	0.87
14	IRMOF-1	37.4297420743	0.0	0.14	0.86
15	IRMOF-1	37.1431010855	0.0	0.15	0.85
16	IRMOF-1	38.8619563113	0.0	0.16	0.84
17	IRMOF-1	38.9799905005	0.0	0.17	0.83
18	IRMOF-1	38.5162658699	0.0	0.18	0.82
19	IRMOF-1	38.8483022348	0.0	0.19	0.81
20	IRMOF-1	38.0293347247	0.0	0.2	0.8
21	IRMOF-1	37.9150719087	0.0	0.21	0.79
22	IRMOF-1	38.9190998315	0.0	0.22	0.78
23	IRMOF-1	39.1102526742	0.0	0.23	0.77
24	IRMOF-1	38.3371145643	0.0	0.24	0.76
25	IRMOF-1	37.8768324315	0.0	0.25	0.75
26	IRMOF-1	38.4406320411	0.0	0.26	0.74
27	IRMOF-1	39.4355388292	0.0	0.27	0.73
28	IRMOF-1	38.0409372871	0.0	0.28	0.72
29	IRMOF-1	38.9998420973	0.0	0.29	0.71
30	IRMOF-1	39.8699995358	0.0	0.3	0.7
31	IRMOF-1	39.7795453733	0.01	0.0	0.99
32	IRMOF-1	38.4635676428	0.01	0.01	0.98
33	IRMOF-1	39.985524459	0.01	0.02	0.97
34	IRMOF-1	40.390915532	0.01	0.03	0.96
35	IRMOF-1	40.52803048	0.01	0.04	0.95
36	IRMOF-1	40.8178576258	0.01	0.05	0.94
37	IRMOF-1	39.3055809036	0.01	0.06	0.93
38	IRMOF-1	40.1581919316	0.01	0.07	0.92
39	IRMOF-1	40.3926447975	0.01	0.08	0.91
40	IRMOF-1	40.2528136788	0.01	0.09	0.9
41	IRMOF-1	40.6358500419	0.01	0.1	0.89
42	IRMOF-1	40.4344781791	0.01	0.11	0.88
43	IRMOF-1	40.7496263746	0.01	0.12	0.87
44	IRMOF-1	40.3528861935	0.01	0.13	0.86
45	IRMOF-1	41.3989543766	0.01	0.14	0.85
46	IRMOF-1	40.6214110719	0.01	0.15	0.84
