Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	KINKAV	25.3275996248	0.0	0.0	1.0
1	KINKAV	24.9757510626	0.0	0.01	0.99
2	KINKAV	25.8303747311	0.0	0.02	0.98
3	KINKAV	26.8609769027	0.0	0.03	0.97
4	KINKAV	25.8625681268	0.0	0.04	0.96
5	KINKAV	27.5295868545	0.0	0.05	0.95
6	KINKAV	28.2071766627	0.0	0.06	0.94
7	KINKAV	27.2602553564	0.0	0.07	0.93
8	KINKAV	27.8782277668	0.0	0.08	0.92
9	KINKAV	26.9144078502	0.0	0.09	0.91
10	KINKAV	29.4615197524	0.0	0.1	0.9
11	KINKAV	28.1782945493	0.0	0.11	0.89
12	KINKAV	29.0232475346	0.0	0.12	0.88
13	KINKAV	28.94670668	0.0	0.13	0.87
14	KINKAV	29.8050229036	0.0	0.14	0.86
15	KINKAV	28.8922619124	0.0	0.15	0.85
16	KINKAV	29.2577732546	0.0	0.16	0.84
17	KINKAV	29.0343433371	0.0	0.17	0.83
18	KINKAV	30.0115991024	0.0	0.18	0.82
19	KINKAV	29.4009998508	0.0	0.19	0.81
20	KINKAV	31.2083495209	0.0	0.2	0.8
21	KINKAV	30.9892867459	0.0	0.21	0.79
22	KINKAV	30.8327972306	0.0	0.22	0.78
23	KINKAV	31.5599548918	0.0	0.23	0.77
24	KINKAV	32.37272355	0.0	0.24	0.76
25	KINKAV	32.1218854084	0.0	0.25	0.75
26	KINKAV	31.6269253825	0.0	0.26	0.74
27	KINKAV	31.606644274	0.0	0.27	0.73
28	KINKAV	31.407975832	0.0	0.28	0.72
29	KINKAV	31.712151301	0.0	0.29	0.71
30	KINKAV	33.1903547709	0.0	0.3	0.7
31	KINKAV	50.9624530474	0.01	0.0	0.99
32	KINKAV	51.2722180363	0.01	0.01	0.98
33	KINKAV	52.8198526193	0.01	0.02	0.97
34	KINKAV	54.4542951342	0.01	0.03	0.96
35	KINKAV	53.0201307107	0.01	0.04	0.95
36	KINKAV	53.6166863836	0.01	0.05	0.94
37	KINKAV	52.7096693699	0.01	0.06	0.93
38	KINKAV	54.4247509532	0.01	0.07	0.92
39	KINKAV	53.8729037641	0.01	0.08	0.91
40	KINKAV	54.031680102	0.01	0.09	0.9
41	KINKAV	51.1690880745	0.01	0.1	0.89
42	KINKAV	56.0381386258	0.01	0.11	0.88
43	KINKAV	53.276960209	0.01	0.12	0.87
44	KINKAV	54.157652122	0.01	0.13	0.86
45	KINKAV	54.3107473258	0.01	0.14	0.85
46	KINKAV	53.5973731796	0.01	0.15	0.84
47	KINKAV	55.0367514201	0.01	0.16	0.83
48	KINKAV	51.5628831691	0.01	0.17	0.82
49	KINKAV	54.8845268213	0.01	0.18	0.81
50	KINKAV	51.7802261095	0.01	0.19	0.8
51	KINKAV	54.150458334	0.01	0.2	0.79
52	KINKAV	55.4370851172	0.01	0.21	0.78
53	KINKAV	56.5202576642	0.01	0.22	0.77
54	KINKAV	55.8991522767	0.01	0.23	0.76
55	KINKAV	53.18565256	0.01	0.24	0.75
56	KINKAV	54.4719456654	0.01	0.25	0.74
57	KINKAV	56.0176187888	0.01	0.26	0.73
58	KINKAV	53.7267212472	0.01	0.27	0.72
59	KINKAV	52.9456352585	0.01	0.28	0.71
60	KINKAV	55.578071397	0.01	0.29	0.7
61	KINKAV	55.5598685887	0.01	0.3	0.69
62	KINKAV	67.1545989185	0.02	0.0	0.98
63	KINKAV	65.3998704963	0.02	0.01	0.97
64	KINKAV	64.0332309442	0.02	0.02	0.96
65	KINKAV	67.3738648394	0.02	0.03	0.95
66	KINKAV	66.1921299767	0.02	0.04	0.94
67	KINKAV	66.5417084458	0.02	0.05	0.93
68	KINKAV	66.3157227817	0.02	0.06	0.92
69	KINKAV	66.3626270264	0.02	0.07	0.91
70	KINKAV	67.6330330353	0.02	0.08	0.9
71	KINKAV	66.3788441547	0.02	0.09	0.89
72	KINKAV	67.2532826976	0.02	0.1	0.88
73	KINKAV	68.5431845362	0.02	0.11	0.87
74	KINKAV	66.2107837659	0.02	0.12	0.86
75	KINKAV	65.222337174	0.02	0.13	0.85
76	KINKAV	67.6153032256	0.02	0.14	0.84
77	KINKAV	65.1153663241	0.02	0.15	0.83
78	KINKAV	67.0722300929	0.02	0.16	0.82
79	KINKAV	65.5278323577	0.02	0.17	0.81
80	KINKAV	67.6527559561	0.02	0.18	0.8
81	KINKAV	67.4161054818	0.02	0.19	0.79
82	KINKAV	67.7174462196	0.02	0.2	0.78
83	KINKAV	67.2323006408	0.02	0.21	0.77
84	KINKAV	67.6512372432	0.02	0.22	0.76
85	KINKAV	67.9643191719	0.02	0.23	0.75
86	KINKAV	66.9983572763	0.02	0.24	0.74
87	KINKAV	66.2836844719	0.02	0.25	0.73
88	KINKAV	66.9289001382	0.02	0.26	0.72
89	KINKAV	68.4095942144	0.02	0.27	0.71
90	KINKAV	69.1891482993	0.02	0.28	0.7
91	KINKAV	69.2870632645	0.02	0.29	0.69
92	KINKAV	66.1209956585	0.02	0.3	0.68
93	KINKAV	70.5174187793	0.03	0.0	0.97
94	KINKAV	71.5954146246	0.03	0.01	0.96
95	KINKAV	76.3058154179	0.03	0.02	0.95
96	KINKAV	77.3144427427	0.03	0.03	0.94
97	KINKAV	76.6149182034	0.03	0.04	0.93
98	KINKAV	74.4609805718	0.03	0.05	0.92
99	KINKAV	73.864484284	0.03	0.06	0.91
100	KINKAV	77.5335829365	0.03	0.07	0.9
101	KINKAV	71.7424911936	0.03	0.08	0.89
102	KINKAV	76.7224362668	0.03	0.09	0.88
103	KINKAV	74.9119572274	0.03	0.1	0.87
104	KINKAV	72.5786482715	0.03	0.11	0.86
105	KINKAV	74.9810440819	0.03	0.12	0.85
