Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	LODPUQ	80.319240409	0.0	0.0	1.0
1	LODPUQ	81.0539084625	0.0	0.01	0.99
2	LODPUQ	81.1760945138	0.0	0.02	0.98
3	LODPUQ	81.1562216264	0.0	0.03	0.97
4	LODPUQ	81.7297143113	0.0	0.04	0.96
5	LODPUQ	81.4303275896	0.0	0.05	0.95
6	LODPUQ	82.2052724735	0.0	0.06	0.94
7	LODPUQ	82.8136526799	0.0	0.07	0.93
8	LODPUQ	83.5204272926	0.0	0.08	0.92
9	LODPUQ	83.0636607297	0.0	0.09	0.91
10	LODPUQ	83.8608010571	0.0	0.1	0.9
11	LODPUQ	83.6644434552	0.0	0.11	0.89
12	LODPUQ	84.2920616247	0.0	0.12	0.88
13	LODPUQ	85.2213853625	0.0	0.13	0.87
14	LODPUQ	85.0180757625	0.0	0.14	0.86
15	LODPUQ	85.2101372768	0.0	0.15	0.85
16	LODPUQ	84.9106014885	0.0	0.16	0.84
17	LODPUQ	85.8480991314	0.0	0.17	0.83
18	LODPUQ	85.9462555984	0.0	0.18	0.82
19	LODPUQ	87.018441658	0.0	0.19	0.81
20	LODPUQ	86.5899983256	0.0	0.2	0.8
21	LODPUQ	87.3944204496	0.0	0.21	0.79
22	LODPUQ	87.4095424964	0.0	0.22	0.78
23	LODPUQ	87.8503874614	0.0	0.23	0.77
24	LODPUQ	87.8882139107	0.0	0.24	0.76
25	LODPUQ	88.0075838415	0.0	0.25	0.75
26	LODPUQ	89.2239746677	0.0	0.26	0.74
27	LODPUQ	88.9696091846	0.0	0.27	0.73
28	LODPUQ	89.5613704143	0.0	0.28	0.72
29	LODPUQ	89.6891817106	0.0	0.29	0.71
30	LODPUQ	89.783749773	0.0	0.3	0.7
31	LODPUQ	111.1399494847	0.01	0.0	0.99
32	LODPUQ	111.2633290665	0.01	0.01	0.98
33	LODPUQ	111.6525965597	0.01	0.02	0.97
34	LODPUQ	111.483496682	0.01	0.03	0.96
35	LODPUQ	112.2251205455	0.01	0.04	0.95
36	LODPUQ	112.3006870367	0.01	0.05	0.94
37	LODPUQ	112.7070334551	0.01	0.06	0.93
38	LODPUQ	111.9856372092	0.01	0.07	0.92
39	LODPUQ	112.6540423158	0.01	0.08	0.91
40	LODPUQ	112.2777705098	0.01	0.09	0.9
41	LODPUQ	113.450304093	0.01	0.1	0.89
42	LODPUQ	113.2038386936	0.01	0.11	0.88
43	LODPUQ	113.3651087131	0.01	0.12	0.87
44	LODPUQ	113.988975099	0.01	0.13	0.86
45	LODPUQ	113.5104810163	0.01	0.14	0.85
46	LODPUQ	113.8914533995	0.01	0.15	0.84
47	LODPUQ	114.4505201181	0.01	0.16	0.83
48	LODPUQ	113.757224585	0.01	0.17	0.82
49	LODPUQ	114.7571314034	0.01	0.18	0.81
50	LODPUQ	115.0940755151	0.01	0.19	0.8
51	LODPUQ	115.3106795777	0.01	0.2	0.79
52	LODPUQ	115.6568109735	0.01	0.21	0.78
53	LODPUQ	115.5014577305	0.01	0.22	0.77
54	LODPUQ	115.8310996389	0.01	0.23	0.76
55	LODPUQ	115.8544175603	0.01	0.24	0.75
56	LODPUQ	116.1128119929	0.01	0.25	0.74
57	LODPUQ	116.7031134499	0.01	0.26	0.73
58	LODPUQ	116.3768018694	0.01	0.27	0.72
59	LODPUQ	116.8230055387	0.01	0.28	0.71
60	LODPUQ	117.3368706332	0.01	0.29	0.7
61	LODPUQ	117.1004566826	0.01	0.3	0.69
62	LODPUQ	130.7912777212	0.02	0.0	0.98
63	LODPUQ	131.3614170335	0.02	0.01	0.97
64	LODPUQ	131.556372399	0.02	0.02	0.96
65	LODPUQ	131.0881163569	0.02	0.03	0.95
66	LODPUQ	131.8365780289	0.02	0.04	0.94
67	LODPUQ	132.4217498534	0.02	0.05	0.93
68	LODPUQ	131.9392041622	0.02	0.06	0.92
69	LODPUQ	132.0220116888	0.02	0.07	0.91
70	LODPUQ	131.6687339939	0.02	0.08	0.9
71	LODPUQ	132.3965041683	0.02	0.09	0.89
72	LODPUQ	132.6324611796	0.02	0.1	0.88
73	LODPUQ	133.4521097971	0.02	0.11	0.87
74	LODPUQ	132.6604930592	0.02	0.12	0.86
75	LODPUQ	132.9839912951	0.02	0.13	0.85
76	LODPUQ	132.7484927873	0.02	0.14	0.84
77	LODPUQ	133.3784462811	0.02	0.15	0.83
78	LODPUQ	133.3337094701	0.02	0.16	0.82
79	LODPUQ	133.9187164268	0.02	0.17	0.81
80	LODPUQ	133.2564074336	0.02	0.18	0.8
81	LODPUQ	133.8588856863	0.02	0.19	0.79
82	LODPUQ	134.1522685401	0.02	0.2	0.78
83	LODPUQ	134.046068634	0.02	0.21	0.77
84	LODPUQ	134.1324228302	0.02	0.22	0.76
85	LODPUQ	134.6332276765	0.02	0.23	0.75
86	LODPUQ	135.2460877408	0.02	0.24	0.74
87	LODPUQ	135.4097013302	0.02	0.25	0.73
88	LODPUQ	135.4626732367	0.02	0.26	0.72
89	LODPUQ	134.6375621159	0.02	0.27	0.71
90	LODPUQ	135.5873267867	0.02	0.28	0.7
