Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	MUDTEL	56.5993284697	0.0	0.0	1.0
1	MUDTEL	57.5765817983	0.0	0.01	0.99
2	MUDTEL	57.2849698751	0.0	0.02	0.98
3	MUDTEL	57.068650972	0.0	0.03	0.97
4	MUDTEL	58.5433815522	0.0	0.04	0.96
5	MUDTEL	58.8306155414	0.0	0.05	0.95
6	MUDTEL	59.007927115	0.0	0.06	0.94
7	MUDTEL	59.8445146867	0.0	0.07	0.93
8	MUDTEL	58.4486080657	0.0	0.08	0.92
9	MUDTEL	58.5005923048	0.0	0.09	0.91
10	MUDTEL	58.3746676878	0.0	0.1	0.9
11	MUDTEL	57.5481308861	0.0	0.11	0.89
12	MUDTEL	58.660895339	0.0	0.12	0.88
13	MUDTEL	59.5906314373	0.0	0.13	0.87
14	MUDTEL	59.3981558459	0.0	0.14	0.86
15	MUDTEL	58.9228317164	0.0	0.15	0.85
16	MUDTEL	59.1811555968	0.0	0.16	0.84
17	MUDTEL	60.3567104454	0.0	0.17	0.83
18	MUDTEL	60.5869222548	0.0	0.18	0.82
19	MUDTEL	62.0357654851	0.0	0.19	0.81
20	MUDTEL	60.898732337	0.0	0.2	0.8
21	MUDTEL	61.7778406103	0.0	0.21	0.79
22	MUDTEL	62.3847835321	0.0	0.22	0.78
23	MUDTEL	62.5768400179	0.0	0.23	0.77
24	MUDTEL	63.5607737869	0.0	0.24	0.76
25	MUDTEL	61.7358858017	0.0	0.25	0.75
26	MUDTEL	63.2799441754	0.0	0.26	0.74
27	MUDTEL	63.2966590849	0.0	0.27	0.73
28	MUDTEL	63.3609313706	0.0	0.28	0.72
29	MUDTEL	62.3102734616	0.0	0.29	0.71
30	MUDTEL	62.3255353378	0.0	0.3	0.7
31	MUDTEL	65.3903359746	0.01	0.0	0.99
32	MUDTEL	67.5631581189	0.01	0.01	0.98
33	MUDTEL	68.024023443	0.01	0.02	0.97
34	MUDTEL	67.5346915256	0.01	0.03	0.96
35	MUDTEL	66.4032636591	0.01	0.04	0.95
36	MUDTEL	67.0415539604	0.01	0.05	0.94
37	MUDTEL	64.611400521	0.01	0.06	0.93
38	MUDTEL	67.0164380831	0.01	0.07	0.92
39	MUDTEL	67.5045504508	0.01	0.08	0.91
40	MUDTEL	66.8606504187	0.01	0.09	0.9
41	MUDTEL	68.0005064681	0.01	0.1	0.89
42	MUDTEL	69.3092041969	0.01	0.11	0.88
43	MUDTEL	68.4828386294	0.01	0.12	0.87
44	MUDTEL	70.3894587807	0.01	0.13	0.86
45	MUDTEL	69.6463785412	0.01	0.14	0.85
46	MUDTEL	68.707714138	0.01	0.15	0.84
47	MUDTEL	68.0692020592	0.01	0.16	0.83
48	MUDTEL	68.698385833	0.01	0.17	0.82
49	MUDTEL	68.6896783656	0.01	0.18	0.81
50	MUDTEL	69.6208908405	0.01	0.19	0.8
51	MUDTEL	68.8823024372	0.01	0.2	0.79
52	MUDTEL	69.8960546043	0.01	0.21	0.78
53	MUDTEL	70.0669746341	0.01	0.22	0.77
54	MUDTEL	70.1919884744	0.01	0.23	0.76
55	MUDTEL	73.1773605366	0.01	0.24	0.75
56	MUDTEL	71.725696113	0.01	0.25	0.74
57	MUDTEL	70.2891985362	0.01	0.26	0.73
58	MUDTEL	70.7048353475	0.01	0.27	0.72
59	MUDTEL	72.1889928438	0.01	0.28	0.71
60	MUDTEL	72.5289736466	0.01	0.29	0.7
61	MUDTEL	72.9420278777	0.01	0.3	0.69
62	MUDTEL	76.7823078128	0.02	0.0	0.98
63	MUDTEL	73.7947542554	0.02	0.01	0.97
64	MUDTEL	72.9170179352	0.02	0.02	0.96
65	MUDTEL	73.062180694	0.02	0.03	0.95
66	MUDTEL	73.2367852516	0.02	0.04	0.94
67	MUDTEL	75.212877297	0.02	0.05	0.93
68	MUDTEL	76.4529469073	0.02	0.06	0.92
69	MUDTEL	74.7617104088	0.02	0.07	0.91
70	MUDTEL	74.294859474	0.02	0.08	0.9
71	MUDTEL	75.3063286302	0.02	0.09	0.89
72	MUDTEL	75.663005518	0.02	0.1	0.88
73	MUDTEL	75.7746724116	0.02	0.11	0.87
74	MUDTEL	77.5848931492	0.02	0.12	0.86
75	MUDTEL	75.1775345917	0.02	0.13	0.85
76	MUDTEL	77.783699933	0.02	0.14	0.84
77	MUDTEL	77.1993357797	0.02	0.15	0.83
78	MUDTEL	75.5940304818	0.02	0.16	0.82
79	MUDTEL	76.3221547678	0.02	0.17	0.81
80	MUDTEL	76.5284973407	0.02	0.18	0.8
81	MUDTEL	76.8519811848	0.02	0.19	0.79
82	MUDTEL	77.7614188748	0.02	0.2	0.78
83	MUDTEL	76.7493740717	0.02	0.21	0.77
84	MUDTEL	77.282130582	0.02	0.22	0.76
85	MUDTEL	76.7223149468	0.02	0.23	0.75
86	MUDTEL	78.1520909522	0.02	0.24	0.74
87	MUDTEL	78.0946392572	0.02	0.25	0.73
88	MUDTEL	77.2537062895	0.02	0.26	0.72
89	MUDTEL	78.7423995489	0.02	0.27	0.71
90	MUDTEL	79.1549805525	0.02	0.28	0.7
91	MUDTEL	79.0918337997	0.02	0.29	0.69
92	MUDTEL	79.4948489704	0.02	0.3	0.68
93	MUDTEL	81.1689243172	0.03	0.0	0.97
94	MUDTEL	81.7770963852	0.03	0.01	0.96
95	MUDTEL	84.5903909636	0.03	0.02	0.95
96	MUDTEL	82.7179775661	0.03	0.03	0.94
97	MUDTEL	82.0500852158	0.03	0.04	0.93
98	MUDTEL	83.7869975935	0.03	0.05	0.92
99	MUDTEL	82.7237451443	0.03	0.06	0.91
100	MUDTEL	82.8710243103	0.03	0.07	0.9
101	MUDTEL	82.3251379487	0.03	0.08	0.89
102	MUDTEL	82.746864235	0.03	0.09	0.88
103	MUDTEL	85.206749899	0.03	0.1	0.87
104	MUDTEL	83.8503901502	0.03	0.11	0.86
105	MUDTEL	82.3827192845	0.03	0.12	0.85
106	MUDTEL	85.2923091705	0.03	0.13	0.84
107	MUDTEL	83.3775847613	0.03	0.14	0.83
108	MUDTEL	84.150231308	0.03	0.15	0.82
109	MUDTEL	84.2501552984	0.03	0.16	0.81
110	MUDTEL	84.8771924423	0.03	0.17	0.8
111	MUDTEL	83.6692794905	0.03	0.18	0.79
112	MUDTEL	86.0300744573	0.03	0.19	0.78
113	MUDTEL	83.0932491314	0.03	0.2	0.77
114	MUDTEL	86.1594853797	0.03	0.21	0.76
115	MUDTEL	86.0104772352	0.03	0.22	0.75
116	MUDTEL	85.8055475409	0.03	0.23	0.74
117	MUDTEL	86.053020712	0.03	0.24	0.73
118	MUDTEL	87.4752661028	0.03	0.25	0.72
119	MUDTEL	86.7865794172	0.03	0.26	0.71
120	MUDTEL	85.4651574317	0.03	0.27	0.7
121	MUDTEL	85.4125124635	0.03	0.28	0.69
122	MUDTEL	85.0260642934	0.03	0.29	0.68
123	MUDTEL	87.4567859986	0.03	0.3	0.67
124	MUDTEL	89.0179263508	0.04	0.0	0.96
125	MUDTEL	88.1292560409	0.04	0.01	0.95
126	MUDTEL	91.547111239	0.04	0.02	0.94
127	MUDTEL	87.6572895158	0.04	0.03	0.93
128	MUDTEL	89.4581085095	0.04	0.04	0.92
129	MUDTEL	88.3044689315	0.04	0.05	0.91
130	MUDTEL	88.55554753	0.04	0.06	0.9
131	MUDTEL	90.2946960417	0.04	0.07	0.89
132	MUDTEL	89.8599867069	0.04	0.08	0.88
133	MUDTEL	90.1173432615	0.04	0.09	0.87
134	MUDTEL	90.2115662488	0.04	0.1	0.86
135	MUDTEL	88.9707624822	0.04	0.11	0.85
136	MUDTEL	91.8845575294	0.04	0.12	0.84
137	MUDTEL	90.1080432781	0.04	0.13	0.83
138	MUDTEL	91.7935968814	0.04	0.14	0.82
139	MUDTEL	90.8387752827	0.04	0.15	0.81
140	MUDTEL	91.2173465282	0.04	0.16	0.8
141	MUDTEL	91.4721249124	0.04	0.17	0.79
142	MUDTEL	90.4537304731	0.04	0.18	0.78
143	MUDTEL	90.8304041841	0.04	0.19	0.77
144	MUDTEL	91.2382168385	0.04	0.2	0.76
145	MUDTEL	93.1032747939	0.04	0.21	0.75
146	MUDTEL	92.5498459663	0.04	0.22	0.74
147	MUDTEL	93.0276180571	0.04	0.23	0.73
148	MUDTEL	93.892850136	0.04	0.24	0.72
149	MUDTEL	92.0544101684	0.04	0.25	0.71
150	MUDTEL	93.5068871989	0.04	0.26	0.7
151	MUDTEL	91.9477507753	0.04	0.27	0.69
152	MUDTEL	94.2109664168	0.04	0.28	0.68
153	MUDTEL	91.1755811133	0.04	0.29	0.67
154	MUDTEL	93.454100143	0.04	0.3	0.66
155	MUDTEL	95.9173736643	0.05	0.0	0.95
156	MUDTEL	97.774393281	0.05	0.01	0.94
157	MUDTEL	94.0639375854	0.05	0.02	0.93
158	MUDTEL	98.210959518	0.05	0.03	0.92
159	MUDTEL	93.586304599	0.05	0.04	0.91
160	MUDTEL	95.1192793387	0.05	0.05	0.9
161	MUDTEL	97.100073763	0.05	0.06	0.89
162	MUDTEL	98.2975395087	0.05	0.07	0.88
163	MUDTEL	94.5704104636	0.05	0.08	0.87
164	MUDTEL	96.3921895439	0.05	0.09	0.86
165	MUDTEL	96.622516392	0.05	0.1	0.85
166	MUDTEL	97.1033181061	0.05	0.11	0.84
167	MUDTEL	97.5463142069	0.05	0.12	0.83
168	MUDTEL	97.3598290079	0.05	0.13	0.82
169	MUDTEL	94.882918522	0.05	0.14	0.81
170	MUDTEL	97.2915484358	0.05	0.15	0.8
171	MUDTEL	98.5986687224	0.05	0.16	0.79
172	MUDTEL	98.9967074646	0.05	0.17	0.78
173	MUDTEL	99.1191732304	0.05	0.18	0.77
174	MUDTEL	98.4352997882	0.05	0.19	0.76
175	MUDTEL	98.512439346	0.05	0.2	0.75
176	MUDTEL	98.3737668329	0.05	0.21	0.74
177	MUDTEL	98.6888729438	0.05	0.22	0.73
178	MUDTEL	101.0371677498	0.05	0.23	0.72
179	MUDTEL	101.735569468	0.05	0.24	0.71
180	MUDTEL	100.2566841097	0.05	0.25	0.7
181	MUDTEL	98.8218418544	0.05	0.26	0.69
182	MUDTEL	101.4854587939	0.05	0.27	0.68
183	MUDTEL	98.8257058378	0.05	0.28	0.67
184	MUDTEL	99.7394318578	0.05	0.29	0.66
185	MUDTEL	101.0169582745	0.05	0.3	0.65
186	MUDTEL	104.0987835368	0.06	0.0	0.94
187	MUDTEL	105.2736313144	0.06	0.01	0.93
188	MUDTEL	105.6084540659	0.06	0.02	0.92
189	MUDTEL	101.3271801782	0.06	0.03	0.91
190	MUDTEL	102.6328144463	0.06	0.04	0.9
191	MUDTEL	101.9443523523	0.06	0.05	0.89
192	MUDTEL	99.68489848	0.06	0.06	0.88
193	MUDTEL	101.6428569007	0.06	0.07	0.87
194	MUDTEL	102.7450118056	0.06	0.08	0.86
195	MUDTEL	103.7434524509	0.06	0.09	0.85
196	MUDTEL	106.8980368374	0.06	0.1	0.84
197	MUDTEL	103.6627733848	0.06	0.11	0.83
198	MUDTEL	106.6781154811	0.06	0.12	0.82
199	MUDTEL	105.8372580231	0.06	0.13	0.81
200	MUDTEL	104.7017722396	0.06	0.14	0.8
201	MUDTEL	105.4171065312	0.06	0.15	0.79
202	MUDTEL	104.879967665	0.06	0.16	0.78
203	MUDTEL	107.0513833503	0.06	0.17	0.77
204	MUDTEL	104.9387461681	0.06	0.18	0.76
205	MUDTEL	105.8943833751	0.06	0.19	0.75
206	MUDTEL	105.1396008557	0.06	0.2	0.74
207	MUDTEL	104.7168462151	0.06	0.21	0.73
208	MUDTEL	105.4413788958	0.06	0.22	0.72
209	MUDTEL	105.0155461712	0.06	0.23	0.71
210	MUDTEL	106.5604149936	0.06	0.24	0.7
211	MUDTEL	107.1109255191	0.06	0.25	0.69
212	MUDTEL	105.1627147961	0.06	0.26	0.68
213	MUDTEL	105.4163989554	0.06	0.27	0.67
214	MUDTEL	107.9280620759	0.06	0.28	0.66
215	MUDTEL	105.1225628917	0.06	0.29	0.65
216	MUDTEL	108.6082721905	0.06	0.3	0.64
217	MUDTEL	110.73254859	0.07	0.0	0.93
218	MUDTEL	112.7981193964	0.07	0.01	0.92
219	MUDTEL	108.8514787518	0.07	0.02	0.91
220	MUDTEL	108.3387879818	0.07	0.03	0.9
221	MUDTEL	111.807135307	0.07	0.04	0.89
222	MUDTEL	108.1228311182	0.07	0.05	0.88
223	MUDTEL	108.5477714554	0.07	0.06	0.87
224	MUDTEL	110.5781044666	0.07	0.07	0.86
225	MUDTEL	111.8937404907	0.07	0.08	0.85
226	MUDTEL	109.8526498893	0.07	0.09	0.84
227	MUDTEL	111.255511351	0.07	0.1	0.83
228	MUDTEL	109.7272708962	0.07	0.11	0.82
229	MUDTEL	109.1449770561	0.07	0.12	0.81
230	MUDTEL	110.7874198448	0.07	0.13	0.8
231	MUDTEL	112.5287025758	0.07	0.14	0.79
232	MUDTEL	109.9106071501	0.07	0.15	0.78
233	MUDTEL	113.4517943956	0.07	0.16	0.77
234	MUDTEL	109.8722822336	0.07	0.17	0.76
235	MUDTEL	113.3018311427	0.07	0.18	0.75
236	MUDTEL	111.528820138	0.07	0.19	0.74
237	MUDTEL	113.2887103682	0.07	0.2	0.73
238	MUDTEL	112.564323795	0.07	0.21	0.72
239	MUDTEL	113.2402808378	0.07	0.22	0.71
240	MUDTEL	112.4422686565	0.07	0.23	0.7
241	MUDTEL	110.5888027662	0.07	0.24	0.69
242	MUDTEL	113.1671501712	0.07	0.25	0.68
243	MUDTEL	111.3619062367	0.07	0.26	0.67
244	MUDTEL	112.2732231202	0.07	0.27	0.66
245	MUDTEL	112.1334679978	0.07	0.28	0.65
246	MUDTEL	112.0091447374	0.07	0.29	0.64
247	MUDTEL	112.9572018866	0.07	0.3	0.63
248	MUDTEL	116.0340454401	0.08	0.0	0.92
249	MUDTEL	114.5390988495	0.08	0.01	0.91
250	MUDTEL	114.461694328	0.08	0.02	0.9
251	MUDTEL	115.6064263629	0.08	0.03	0.89
252	MUDTEL	119.2032140926	0.08	0.04	0.88
253	MUDTEL	111.0624685003	0.08	0.05	0.87
254	MUDTEL	115.5180457924	0.08	0.06	0.86
255	MUDTEL	117.3281285593	0.08	0.07	0.85
256	MUDTEL	115.3444108185	0.08	0.08	0.84
257	MUDTEL	117.5310108	0.08	0.09	0.83
258	MUDTEL	117.607895704	0.08	0.1	0.82
259	MUDTEL	115.8054079686	0.08	0.11	0.81
260	MUDTEL	120.755624015	0.08	0.12	0.8
261	MUDTEL	115.8774303734	0.08	0.13	0.79
262	MUDTEL	115.8702187901	0.08	0.14	0.78
263	MUDTEL	118.0106763388	0.08	0.15	0.77
264	MUDTEL	113.1844155105	0.08	0.16	0.76
265	MUDTEL	117.0443626552	0.08	0.17	0.75
266	MUDTEL	116.3641390027	0.08	0.18	0.74
267	MUDTEL	116.7408166821	0.08	0.19	0.73
268	MUDTEL	118.5800658109	0.08	0.2	0.72
269	MUDTEL	122.3744021191	0.08	0.21	0.71
270	MUDTEL	118.5095731582	0.08	0.22	0.7
271	MUDTEL	121.5454526264	0.08	0.23	0.69
272	MUDTEL	120.6937349987	0.08	0.24	0.68
273	MUDTEL	116.9358854326	0.08	0.25	0.67
274	MUDTEL	117.9057465648	0.08	0.26	0.66
275	MUDTEL	120.4233209864	0.08	0.27	0.65
276	MUDTEL	118.6651811373	0.08	0.28	0.64
277	MUDTEL	119.1340085528	0.08	0.29	0.63
278	MUDTEL	118.6735886185	0.08	0.3	0.62
279	MUDTEL	123.9998807607	0.09	0.0	0.91
280	MUDTEL	121.1730048448	0.09	0.01	0.9
281	MUDTEL	121.8994857394	0.09	0.02	0.89
282	MUDTEL	121.9416650065	0.09	0.03	0.88
283	MUDTEL	122.9549847385	0.09	0.04	0.87
284	MUDTEL	124.9976707753	0.09	0.05	0.86
285	MUDTEL	122.7383113038	0.09	0.06	0.85
286	MUDTEL	122.9241266697	0.09	0.07	0.84
287	MUDTEL	124.0604190905	0.09	0.08	0.83
288	MUDTEL	125.3939645227	0.09	0.09	0.82
289	MUDTEL	123.4199365428	0.09	0.1	0.81
290	MUDTEL	123.4402868364	0.09	0.11	0.8
291	MUDTEL	122.605581868	0.09	0.12	0.79
292	MUDTEL	124.5872819365	0.09	0.13	0.78
293	MUDTEL	124.3203477671	0.09	0.14	0.77
294	MUDTEL	125.7649309223	0.09	0.15	0.76
295	MUDTEL	124.0599775485	0.09	0.16	0.75
296	MUDTEL	123.8410659003	0.09	0.17	0.74
297	MUDTEL	123.6256136927	0.09	0.18	0.73
298	MUDTEL	125.3160543384	0.09	0.19	0.72
299	MUDTEL	126.7617655833	0.09	0.2	0.71
300	MUDTEL	126.0009385617	0.09	0.21	0.7
301	MUDTEL	124.3609825803	0.09	0.22	0.69
302	MUDTEL	125.1683714607	0.09	0.23	0.68
303	MUDTEL	124.2723398055	0.09	0.24	0.67
304	MUDTEL	126.662794752	0.09	0.25	0.66
305	MUDTEL	123.9887473785	0.09	0.26	0.65
