Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	SADLEQ	59.7683785494	0.0	0.0	1.0
1	SADLEQ	61.3208055134	0.0	0.01	0.99
2	SADLEQ	60.9484695321	0.0	0.02	0.98
3	SADLEQ	62.160045926	0.0	0.03	0.97
4	SADLEQ	62.3285049277	0.0	0.04	0.96
5	SADLEQ	61.7477991703	0.0	0.05	0.95
6	SADLEQ	60.5358394234	0.0	0.06	0.94
7	SADLEQ	63.3134780821	0.0	0.07	0.93
8	SADLEQ	61.504986515	0.0	0.08	0.92
9	SADLEQ	62.1572134865	0.0	0.09	0.91
10	SADLEQ	61.6109131793	0.0	0.1	0.9
11	SADLEQ	62.0111764852	0.0	0.11	0.89
12	SADLEQ	61.1845276605	0.0	0.12	0.88
13	SADLEQ	62.0394195425	0.0	0.13	0.87
14	SADLEQ	62.85630129	0.0	0.14	0.86
15	SADLEQ	62.8113660176	0.0	0.15	0.85
16	SADLEQ	62.3211330516	0.0	0.16	0.84
17	SADLEQ	63.71424022	0.0	0.17	0.83
18	SADLEQ	62.5379967764	0.0	0.18	0.82
19	SADLEQ	62.0274787436	0.0	0.19	0.81
20	SADLEQ	62.4173517174	0.0	0.2	0.8
21	SADLEQ	62.7140665267	0.0	0.21	0.79
22	SADLEQ	64.3317522244	0.0	0.22	0.78
23	SADLEQ	63.1880011242	0.0	0.23	0.77
24	SADLEQ	63.3258198515	0.0	0.24	0.76
25	SADLEQ	64.2971511511	0.0	0.25	0.75
26	SADLEQ	64.3552888065	0.0	0.26	0.74
27	SADLEQ	63.8168516453	0.0	0.27	0.73
28	SADLEQ	64.0210476275	0.0	0.28	0.72
29	SADLEQ	64.1349628191	0.0	0.29	0.71
30	SADLEQ	64.3487479797	0.0	0.3	0.7
31	SADLEQ	201.4820862225	0.01	0.0	0.99
32	SADLEQ	201.4373139114	0.01	0.01	0.98
33	SADLEQ	202.8097096778	0.01	0.02	0.97
34	SADLEQ	203.7365906249	0.01	0.03	0.96
35	SADLEQ	203.4830399064	0.01	0.04	0.95
36	SADLEQ	201.880128938	0.01	0.05	0.94
37	SADLEQ	204.3545852977	0.01	0.06	0.93
38	SADLEQ	204.5420429469	0.01	0.07	0.92
39	SADLEQ	203.8525427706	0.01	0.08	0.91
40	SADLEQ	202.1670273664	0.01	0.09	0.9
41	SADLEQ	202.9132239535	0.01	0.1	0.89
42	SADLEQ	205.6287179136	0.01	0.11	0.88
43	SADLEQ	201.4232745315	0.01	0.12	0.87
44	SADLEQ	201.913641863	0.01	0.13	0.86
45	SADLEQ	203.8335145035	0.01	0.14	0.85
46	SADLEQ	205.0235017339	0.01	0.15	0.84
47	SADLEQ	200.7822244079	0.01	0.16	0.83
48	SADLEQ	202.6103313543	0.01	0.17	0.82
49	SADLEQ	205.7682050358	0.01	0.18	0.81
50	SADLEQ	204.6196196134	0.01	0.19	0.8
51	SADLEQ	201.5538235307	0.01	0.2	0.79
52	SADLEQ	204.2665723013	0.01	0.21	0.78
53	SADLEQ	206.6710140647	0.01	0.22	0.77
54	SADLEQ	205.3428662049	0.01	0.23	0.76
55	SADLEQ	205.3144407796	0.01	0.24	0.75
