Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	UIO-66	32.4922585304	0.0	0.0	1.0
1	UIO-66	32.423297579	0.0	0.01	0.99
2	UIO-66	32.3921173087	0.0	0.02	0.98
3	UIO-66	32.2297343538	0.0	0.03	0.97
4	UIO-66	32.9778311038	0.0	0.04	0.96
5	UIO-66	32.8363693372	0.0	0.05	0.95
6	UIO-66	32.934354242	0.0	0.06	0.94
7	UIO-66	33.2852129813	0.0	0.07	0.93
8	UIO-66	33.2050216204	0.0	0.08	0.92
9	UIO-66	33.8143012766	0.0	0.09	0.91
10	UIO-66	32.7398912143	0.0	0.1	0.9
11	UIO-66	33.2583868748	0.0	0.11	0.89
12	UIO-66	33.7909387478	0.0	0.12	0.88
13	UIO-66	33.3743098209	0.0	0.13	0.87
14	UIO-66	33.7988353198	0.0	0.14	0.86
15	UIO-66	33.975450539	0.0	0.15	0.85
16	UIO-66	34.3786538829	0.0	0.16	0.84
17	UIO-66	34.1555305992	0.0	0.17	0.83
18	UIO-66	34.4481047738	0.0	0.18	0.82
19	UIO-66	34.0938064029	0.0	0.19	0.81
20	UIO-66	34.5550984276	0.0	0.2	0.8
21	UIO-66	35.0646375192	0.0	0.21	0.79
22	UIO-66	34.4951298912	0.0	0.22	0.78
23	UIO-66	35.1482667507	0.0	0.23	0.77
24	UIO-66	34.8256397068	0.0	0.24	0.76
25	UIO-66	34.9126527354	0.0	0.25	0.75
26	UIO-66	34.9569361253	0.0	0.26	0.74
27	UIO-66	35.0927787942	0.0	0.27	0.73
28	UIO-66	35.1781968377	0.0	0.28	0.72
29	UIO-66	35.2640188621	0.0	0.29	0.71
30	UIO-66	35.9337977583	0.0	0.3	0.7
31	UIO-66	50.2766295891	0.01	0.0	0.99
32	UIO-66	50.688566397	0.01	0.01	0.98
33	UIO-66	51.3822944772	0.01	0.02	0.97
34	UIO-66	51.4795478597	0.01	0.03	0.96
35	UIO-66	50.6807825972	0.01	0.04	0.95
36	UIO-66	51.6829865701	0.01	0.05	0.94
37	UIO-66	51.6845106856	0.01	0.06	0.93
38	UIO-66	52.0839824359	0.01	0.07	0.92
39	UIO-66	52.3338944273	0.01	0.08	0.91
40	UIO-66	51.9348810762	0.01	0.09	0.9
41	UIO-66	52.2799533122	0.01	0.1	0.89
42	UIO-66	51.8079245184	0.01	0.11	0.88
43	UIO-66	51.8536614652	0.01	0.12	0.87
44	UIO-66	52.8127127675	0.01	0.13	0.86
45	UIO-66	52.5634890869	0.01	0.14	0.85
46	UIO-66	53.1900268902	0.01	0.15	0.84
47	UIO-66	52.9254033492	0.01	0.16	0.83
48	UIO-66	53.1098522875	0.01	0.17	0.82
49	UIO-66	53.3749055414	0.01	0.18	0.81
50	UIO-66	52.5406511149	0.01	0.19	0.8
