Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	WIYMOG	41.4485268268	0.0	0.0	1.0
1	WIYMOG	39.6957185384	0.0	0.01	0.99
2	WIYMOG	40.5313807123	0.0	0.02	0.98
3	WIYMOG	41.7774503229	0.0	0.03	0.97
4	WIYMOG	40.3577885163	0.0	0.04	0.96
5	WIYMOG	41.1308806545	0.0	0.05	0.95
6	WIYMOG	40.9587649458	0.0	0.06	0.94
7	WIYMOG	41.0155115127	0.0	0.07	0.93
8	WIYMOG	43.2305837484	0.0	0.08	0.92
9	WIYMOG	41.5866931517	0.0	0.09	0.91
10	WIYMOG	41.6847268879	0.0	0.1	0.9
11	WIYMOG	43.3577653527	0.0	0.11	0.89
12	WIYMOG	42.0159625489	0.0	0.12	0.88
13	WIYMOG	42.5834893303	0.0	0.13	0.87
14	WIYMOG	42.5229058534	0.0	0.14	0.86
15	WIYMOG	42.3994695098	0.0	0.15	0.85
16	WIYMOG	42.908555152	0.0	0.16	0.84
17	WIYMOG	42.5053768	0.0	0.17	0.83
18	WIYMOG	42.0347762385	0.0	0.18	0.82
19	WIYMOG	43.5954706145	0.0	0.19	0.81
20	WIYMOG	43.1603569708	0.0	0.2	0.8
21	WIYMOG	42.6500801119	0.0	0.21	0.79
22	WIYMOG	43.6578647105	0.0	0.22	0.78
23	WIYMOG	43.2182641913	0.0	0.23	0.77
24	WIYMOG	43.5882323479	0.0	0.24	0.76
25	WIYMOG	43.0455687591	0.0	0.25	0.75
26	WIYMOG	44.3993190396	0.0	0.26	0.74
27	WIYMOG	44.3004117436	0.0	0.27	0.73
28	WIYMOG	45.1474398477	0.0	0.28	0.72
29	WIYMOG	42.9645258681	0.0	0.29	0.71
30	WIYMOG	46.4243066837	0.0	0.3	0.7
31	WIYMOG	43.7589619517	0.01	0.0	0.99
32	WIYMOG	43.8868127289	0.01	0.01	0.98
33	WIYMOG	45.2066368474	0.01	0.02	0.97
34	WIYMOG	43.9877235516	0.01	0.03	0.96
35	WIYMOG	43.6308812703	0.01	0.04	0.95
36	WIYMOG	43.765642139	0.01	0.05	0.94
37	WIYMOG	43.5740655607	0.01	0.06	0.93
38	WIYMOG	44.7299733511	0.01	0.07	0.92
39	WIYMOG	45.0485542357	0.01	0.08	0.91
40	WIYMOG	43.7856960684	0.01	0.09	0.9
41	WIYMOG	45.0262998401	0.01	0.1	0.89
42	WIYMOG	44.748347532	0.01	0.11	0.88
43	WIYMOG	44.9437596725	0.01	0.12	0.87
44	WIYMOG	44.8301996267	0.01	0.13	0.86
45	WIYMOG	44.9421973937	0.01	0.14	0.85
46	WIYMOG	46.0916687387	0.01	0.15	0.84
47	WIYMOG	45.9180646162	0.01	0.16	0.83
48	WIYMOG	45.6665891302	0.01	0.17	0.82
49	WIYMOG	44.8238993141	0.01	0.18	0.81
50	WIYMOG	46.6602604204	0.01	0.19	0.8
51	WIYMOG	47.2499732551	0.01	0.2	0.79
52	WIYMOG	45.7646576734	0.01	0.21	0.78
53	WIYMOG	46.8915732523	0.01	0.22	0.77
54	WIYMOG	47.4078367208	0.01	0.23	0.76
55	WIYMOG	46.3976724995	0.01	0.24	0.75
56	WIYMOG	45.7432147976	0.01	0.25	0.74
57	WIYMOG	46.9373912289	0.01	0.26	0.73
58	WIYMOG	47.5169116304	0.01	0.27	0.72
59	WIYMOG	47.0774084611	0.01	0.28	0.71
60	WIYMOG	47.155069765	0.01	0.29	0.7
61	WIYMOG	48.1955270117	0.01	0.3	0.69
62	WIYMOG	46.5178831525	0.02	0.0	0.98
63	WIYMOG	45.4547806522	0.02	0.01	0.97
64	WIYMOG	46.0234140228	0.02	0.02	0.96
65	WIYMOG	46.204908186	0.02	0.03	0.95
66	WIYMOG	47.3972716026	0.02	0.04	0.94
67	WIYMOG	45.8559763609	0.02	0.05	0.93
68	WIYMOG	46.7727531497	0.02	0.06	0.92
69	WIYMOG	47.298130656	0.02	0.07	0.91
70	WIYMOG	47.3104963637	0.02	0.08	0.9
71	WIYMOG	47.209427858	0.02	0.09	0.89
72	WIYMOG	47.4146636844	0.02	0.1	0.88
73	WIYMOG	47.6011727028	0.02	0.11	0.87
74	WIYMOG	47.7890119665	0.02	0.12	0.86
75	WIYMOG	47.8216565119	0.02	0.13	0.85
76	WIYMOG	48.2230522916	0.02	0.14	0.84
77	WIYMOG	47.2450036308	0.02	0.15	0.83
78	WIYMOG	48.1796187923	0.02	0.16	0.82
79	WIYMOG	48.7074297606	0.02	0.17	0.81
80	WIYMOG	49.7740182392	0.02	0.18	0.8
81	WIYMOG	49.4918973849	0.02	0.19	0.79
82	WIYMOG	48.9780225536	0.02	0.2	0.78
83	WIYMOG	49.29909404	0.02	0.21	0.77
84	WIYMOG	49.2309388533	0.02	0.22	0.76
85	WIYMOG	50.2864718217	0.02	0.23	0.75
86	WIYMOG	50.3931711183	0.02	0.24	0.74
87	WIYMOG	49.8016006897	0.02	0.25	0.73
88	WIYMOG	49.1133708241	0.02	0.26	0.72
89	WIYMOG	50.8764907959	0.02	0.27	0.71
90	WIYMOG	50.4329633434	0.02	0.28	0.7
91	WIYMOG	51.2422429549	0.02	0.29	0.69
92	WIYMOG	50.582789854	0.02	0.3	0.68
93	WIYMOG	49.8427696242	0.03	0.0	0.97
94	WIYMOG	49.1286869711	0.03	0.01	0.96
95	WIYMOG	50.0133445587	0.03	0.02	0.95
96	WIYMOG	49.0696679832	0.03	0.03	0.94
97	WIYMOG	49.5612385851	0.03	0.04	0.93
98	WIYMOG	49.7084685901	0.03	0.05	0.92
99	WIYMOG	49.0757683117	0.03	0.06	0.91
100	WIYMOG	49.4518755368	0.03	0.07	0.9
101	WIYMOG	50.1096527771	0.03	0.08	0.89
102	WIYMOG	49.5122106041	0.03	0.09	0.88
103	WIYMOG	51.5816145895	0.03	0.1	0.87
104	WIYMOG	52.1131702551	0.03	0.11	0.86
105	WIYMOG	51.1220859012	0.03	0.12	0.85
106	WIYMOG	50.6154021235	0.03	0.13	0.84
107	WIYMOG	50.2259082602	0.03	0.14	0.83
108	WIYMOG	50.8537485763	0.03	0.15	0.82
109	WIYMOG	51.2463774535	0.03	0.16	0.81
110	WIYMOG	50.9022168785	0.03	0.17	0.8
111	WIYMOG	50.2759304019	0.03	0.18	0.79
112	WIYMOG	52.003075966	0.03	0.19	0.78
113	WIYMOG	51.6315532105	0.03	0.2	0.77
114	WIYMOG	51.6482911184	0.03	0.21	0.76
115	WIYMOG	52.1313295735	0.03	0.22	0.75
116	WIYMOG	51.5983691621	0.03	0.23	0.74
117	WIYMOG	52.991602522	0.03	0.24	0.73
118	WIYMOG	52.8051959068	0.03	0.25	0.72
119	WIYMOG	51.8552458821	0.03	0.26	0.71
120	WIYMOG	52.4729915669	0.03	0.27	0.7
121	WIYMOG	53.1768621039	0.03	0.28	0.69
122	WIYMOG	54.1672521677	0.03	0.29	0.68
123	WIYMOG	52.2268722091	0.03	0.3	0.67
124	WIYMOG	50.9607111696	0.04	0.0	0.96
125	WIYMOG	54.1476127346	0.04	0.01	0.95
126	WIYMOG	51.5793997099	0.04	0.02	0.94
127	WIYMOG	53.0290403722	0.04	0.03	0.93
128	WIYMOG	51.9474116542	0.04	0.04	0.92
129	WIYMOG	51.9506487254	0.04	0.05	0.91
130	WIYMOG	52.9624590376	0.04	0.06	0.9
131	WIYMOG	51.4648201009	0.04	0.07	0.89
132	WIYMOG	52.0445615362	0.04	0.08	0.88
133	WIYMOG	53.3210768796	0.04	0.09	0.87
134	WIYMOG	54.6144855536	0.04	0.1	0.86
135	WIYMOG	54.3541323791	0.04	0.11	0.85
136	WIYMOG	54.4223525721	0.04	0.12	0.84
137	WIYMOG	53.9058825007	0.04	0.13	0.83
138	WIYMOG	53.9271006992	0.04	0.14	0.82
139	WIYMOG	54.1594069739	0.04	0.15	0.81
140	WIYMOG	54.2557467206	0.04	0.16	0.8
141	WIYMOG	54.4540692462	0.04	0.17	0.79
142	WIYMOG	54.0949658345	0.04	0.18	0.78
143	WIYMOG	54.6947227975	0.04	0.19	0.77
144	WIYMOG	54.6493679929	0.04	0.2	0.76
145	WIYMOG	55.2501027404	0.04	0.21	0.75
146	WIYMOG	53.4649511122	0.04	0.22	0.74
147	WIYMOG	54.6910685667	0.04	0.23	0.73
148	WIYMOG	54.9894529543	0.04	0.24	0.72
149	WIYMOG	54.5335727874	0.04	0.25	0.71
150	WIYMOG	54.9718615844	0.04	0.26	0.7
151	WIYMOG	55.3949009831	0.04	0.27	0.69
152	WIYMOG	56.4758572511	0.04	0.28	0.68
153	WIYMOG	54.852978297	0.04	0.29	0.67
154	WIYMOG	54.5885029108	0.04	0.3	0.66
155	WIYMOG	55.2270922121	0.05	0.0	0.95
156	WIYMOG	53.6387323032	0.05	0.01	0.94
157	WIYMOG	54.5296564134	0.05	0.02	0.93
158	WIYMOG	54.6404820079	0.05	0.03	0.92
159	WIYMOG	55.8621338514	0.05	0.04	0.91
160	WIYMOG	55.8330749915	0.05	0.05	0.9
161	WIYMOG	55.6226602305	0.05	0.06	0.89
162	WIYMOG	56.3177779459	0.05	0.07	0.88
163	WIYMOG	56.0744274725	0.05	0.08	0.87
164	WIYMOG	56.3523448428	0.05	0.09	0.86
165	WIYMOG	56.8242643235	0.05	0.1	0.85
166	WIYMOG	56.8113615672	0.05	0.11	0.84
167	WIYMOG	55.9052399349	0.05	0.12	0.83
168	WIYMOG	57.1353299377	0.05	0.13	0.82
169	WIYMOG	56.966865271	0.05	0.14	0.81
170	WIYMOG	57.2394979823	0.05	0.15	0.8
171	WIYMOG	57.0447503104	0.05	0.16	0.79
172	WIYMOG	57.5802103055	0.05	0.17	0.78
173	WIYMOG	56.0653508666	0.05	0.18	0.77
174	WIYMOG	56.9506101988	0.05	0.19	0.76
175	WIYMOG	57.2819072845	0.05	0.2	0.75
176	WIYMOG	58.2046776503	0.05	0.21	0.74
177	WIYMOG	57.4673171357	0.05	0.22	0.73
178	WIYMOG	56.8044394064	0.05	0.23	0.72
179	WIYMOG	59.792538078	0.05	0.24	0.71
180	WIYMOG	57.2622577408	0.05	0.25	0.7
181	WIYMOG	58.2522491312	0.05	0.26	0.69
182	WIYMOG	57.9552431835	0.05	0.27	0.68
183	WIYMOG	56.9427813092	0.05	0.28	0.67
184	WIYMOG	56.7636557738	0.05	0.29	0.66
185	WIYMOG	57.228048268	0.05	0.3	0.65
186	WIYMOG	54.4413630689	0.06	0.0	0.94
187	WIYMOG	56.8592967085	0.06	0.01	0.93
188	WIYMOG	55.986119257	0.06	0.02	0.92
189	WIYMOG	56.9190511135	0.06	0.03	0.91
190	WIYMOG	56.8146622217	0.06	0.04	0.9
191	WIYMOG	58.9356286465	0.06	0.05	0.89
192	WIYMOG	57.89519026	0.06	0.06	0.88
193	WIYMOG	59.4781939878	0.06	0.07	0.87
194	WIYMOG	58.2489816324	0.06	0.08	0.86
195	WIYMOG	57.6021269936	0.06	0.09	0.85
196	WIYMOG	58.8500900937	0.06	0.1	0.84
197	WIYMOG	59.2072492094	0.06	0.11	0.83
198	WIYMOG	57.530613196	0.06	0.12	0.82
199	WIYMOG	58.510987889	0.06	0.13	0.81
200	WIYMOG	59.4933063821	0.06	0.14	0.8
201	WIYMOG	59.527900518	0.06	0.15	0.79
202	WIYMOG	58.6783075661	0.06	0.16	0.78
203	WIYMOG	59.5036578182	0.06	0.17	0.77
204	WIYMOG	59.8761371011	0.06	0.18	0.76
205	WIYMOG	60.0214168167	0.06	0.19	0.75
206	WIYMOG	61.4104851989	0.06	0.2	0.74
207	WIYMOG	60.0874331487	0.06	0.21	0.73
208	WIYMOG	60.1929804691	0.06	0.22	0.72
209	WIYMOG	61.049038406	0.06	0.23	0.71
