Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	WUNSEE01	69.5253272491	0.0	0.0	1.0
1	WUNSEE01	69.0999973223	0.0	0.01	0.99
2	WUNSEE01	68.6400310044	0.0	0.02	0.98
3	WUNSEE01	69.7464781925	0.0	0.03	0.97
4	WUNSEE01	70.4169284244	0.0	0.04	0.96
5	WUNSEE01	70.976855048	0.0	0.05	0.95
6	WUNSEE01	70.3441557885	0.0	0.06	0.94
7	WUNSEE01	71.7737813485	0.0	0.07	0.93
8	WUNSEE01	71.6265404157	0.0	0.08	0.92
9	WUNSEE01	72.2846200773	0.0	0.09	0.91
10	WUNSEE01	73.3764539894	0.0	0.1	0.9
11	WUNSEE01	73.494412945	0.0	0.11	0.89
12	WUNSEE01	73.6519923784	0.0	0.12	0.88
13	WUNSEE01	73.7011803581	0.0	0.13	0.87
14	WUNSEE01	73.6606947785	0.0	0.14	0.86
15	WUNSEE01	74.5794024067	0.0	0.15	0.85
16	WUNSEE01	75.7648182151	0.0	0.16	0.84
17	WUNSEE01	76.8342430815	0.0	0.17	0.83
18	WUNSEE01	75.5602375502	0.0	0.18	0.82
19	WUNSEE01	75.8107373832	0.0	0.19	0.81
20	WUNSEE01	77.1436894523	0.0	0.2	0.8
21	WUNSEE01	76.0690821134	0.0	0.21	0.79
22	WUNSEE01	77.453745055	0.0	0.22	0.78
23	WUNSEE01	77.2995475717	0.0	0.23	0.77
24	WUNSEE01	77.5772581066	0.0	0.24	0.76
25	WUNSEE01	78.4474899455	0.0	0.25	0.75
26	WUNSEE01	78.6527660655	0.0	0.26	0.74
27	WUNSEE01	79.0628481233	0.0	0.27	0.73
28	WUNSEE01	78.8626206339	0.0	0.28	0.72
29	WUNSEE01	80.0278630427	0.0	0.29	0.71
30	WUNSEE01	79.7364806232	0.0	0.3	0.7
31	WUNSEE01	96.0432630077	0.01	0.0	0.99
32	WUNSEE01	96.6913345339	0.01	0.01	0.98
33	WUNSEE01	96.9384719988	0.01	0.02	0.97
34	WUNSEE01	95.9907249026	0.01	0.03	0.96
