Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	XAFFAN	56.7685454594	0.0	0.0	1.0
1	XAFFAN	57.0059996967	0.0	0.01	0.99
2	XAFFAN	57.8231589946	0.0	0.02	0.98
3	XAFFAN	59.3553744819	0.0	0.03	0.97
4	XAFFAN	57.9146619959	0.0	0.04	0.96
5	XAFFAN	58.9804670478	0.0	0.05	0.95
6	XAFFAN	58.5829490805	0.0	0.06	0.94
7	XAFFAN	57.124774324	0.0	0.07	0.93
8	XAFFAN	56.155465148	0.0	0.08	0.92
9	XAFFAN	58.4567831225	0.0	0.09	0.91
10	XAFFAN	59.8362370066	0.0	0.1	0.9
11	XAFFAN	60.1013851364	0.0	0.11	0.89
12	XAFFAN	60.8031595529	0.0	0.12	0.88
13	XAFFAN	60.3175080287	0.0	0.13	0.87
14	XAFFAN	61.104524534	0.0	0.14	0.86
15	XAFFAN	60.6197529086	0.0	0.15	0.85
16	XAFFAN	58.7631776674	0.0	0.16	0.84
17	XAFFAN	59.5165160443	0.0	0.17	0.83
18	XAFFAN	60.0837556371	0.0	0.18	0.82
19	XAFFAN	60.3652035484	0.0	0.19	0.81
20	XAFFAN	61.2347745777	0.0	0.2	0.8
21	XAFFAN	60.5192377793	0.0	0.21	0.79
22	XAFFAN	60.8883917578	0.0	0.22	0.78
23	XAFFAN	60.009393599	0.0	0.23	0.77
24	XAFFAN	60.8049822402	0.0	0.24	0.76
25	XAFFAN	60.3407131951	0.0	0.25	0.75
26	XAFFAN	61.6162989214	0.0	0.26	0.74
27	XAFFAN	62.3816929739	0.0	0.27	0.73
28	XAFFAN	63.0175365453	0.0	0.28	0.72
29	XAFFAN	63.508567774	0.0	0.29	0.71
30	XAFFAN	62.5567766069	0.0	0.3	0.7
31	XAFFAN	63.9138180413	0.01	0.0	0.99
32	XAFFAN	65.5709677255	0.01	0.01	0.98
33	XAFFAN	63.35891845	0.01	0.02	0.97
34	XAFFAN	64.6204051291	0.01	0.03	0.96
35	XAFFAN	63.5543813446	0.01	0.04	0.95
36	XAFFAN	65.1614612447	0.01	0.05	0.94
37	XAFFAN	64.2365296824	0.01	0.06	0.93
38	XAFFAN	62.9404365887	0.01	0.07	0.92
39	XAFFAN	63.9751935035	0.01	0.08	0.91
40	XAFFAN	66.4092477854	0.01	0.09	0.9
41	XAFFAN	62.4444836952	0.01	0.1	0.89
42	XAFFAN	65.2068040773	0.01	0.11	0.88
43	XAFFAN	64.6328621347	0.01	0.12	0.87
44	XAFFAN	64.5784567394	0.01	0.13	0.86
45	XAFFAN	64.6824537752	0.01	0.14	0.85
46	XAFFAN	64.7500443085	0.01	0.15	0.84
47	XAFFAN	66.1625849839	0.01	0.16	0.83
48	XAFFAN	66.0115704122	0.01	0.17	0.82
49	XAFFAN	66.3338915783	0.01	0.18	0.81
50	XAFFAN	65.8079166725	0.01	0.19	0.8
51	XAFFAN	66.3968357055	0.01	0.2	0.79
52	XAFFAN	66.9140234779	0.01	0.21	0.78
53	XAFFAN	66.0444139399	0.01	0.22	0.77
54	XAFFAN	67.52317096	0.01	0.23	0.76
55	XAFFAN	66.3449542708	0.01	0.24	0.75
56	XAFFAN	65.3840823496	0.01	0.25	0.74
