Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	XAHQAA	72.7207351838	0.0	0.0	1.0
1	XAHQAA	70.1271547886	0.0	0.01	0.99
2	XAHQAA	70.7056571226	0.0	0.02	0.98
3	XAHQAA	71.4126776326	0.0	0.03	0.97
4	XAHQAA	73.5429024556	0.0	0.04	0.96
5	XAHQAA	71.2454388897	0.0	0.05	0.95
6	XAHQAA	71.1561120845	0.0	0.06	0.94
7	XAHQAA	70.7961745524	0.0	0.07	0.93
8	XAHQAA	70.4476853625	0.0	0.08	0.92
9	XAHQAA	72.9137310672	0.0	0.09	0.91
10	XAHQAA	72.7178808823	0.0	0.1	0.9
11	XAHQAA	70.3980667884	0.0	0.11	0.89
12	XAHQAA	73.5780865537	0.0	0.12	0.88
13	XAHQAA	74.3316914264	0.0	0.13	0.87
14	XAHQAA	73.8722321879	0.0	0.14	0.86
15	XAHQAA	75.0589071356	0.0	0.15	0.85
16	XAHQAA	73.4162633168	0.0	0.16	0.84
17	XAHQAA	73.150810722	0.0	0.17	0.83
18	XAHQAA	73.8648036093	0.0	0.18	0.82
19	XAHQAA	75.2410134144	0.0	0.19	0.81
20	XAHQAA	76.5709025215	0.0	0.2	0.8
21	XAHQAA	75.2521876224	0.0	0.21	0.79
22	XAHQAA	77.4489095158	0.0	0.22	0.78
23	XAHQAA	76.0494598309	0.0	0.23	0.77
24	XAHQAA	75.0756788716	0.0	0.24	0.76
25	XAHQAA	76.1887378911	0.0	0.25	0.75
26	XAHQAA	74.4807625546	0.0	0.26	0.74
27	XAHQAA	76.3312635925	0.0	0.27	0.73
28	XAHQAA	73.7621409314	0.0	0.28	0.72
29	XAHQAA	79.0366991641	0.0	0.29	0.71
30	XAHQAA	74.456005569	0.0	0.3	0.7
31	XAHQAA	74.1198630302	0.01	0.0	0.99
32	XAHQAA	74.5782117393	0.01	0.01	0.98
33	XAHQAA	75.2107157137	0.01	0.02	0.97
34	XAHQAA	74.4234546052	0.01	0.03	0.96
35	XAHQAA	75.0488808381	0.01	0.04	0.95
36	XAHQAA	74.9313786601	0.01	0.05	0.94
37	XAHQAA	74.5301511958	0.01	0.06	0.93
38	XAHQAA	74.9981044486	0.01	0.07	0.92
39	XAHQAA	74.8966810625	0.01	0.08	0.91
40	XAHQAA	76.8838217438	0.01	0.09	0.9
41	XAHQAA	76.3780052277	0.01	0.1	0.89
42	XAHQAA	73.6310503403	0.01	0.11	0.88
43	XAHQAA	76.0548269824	0.01	0.12	0.87
44	XAHQAA	75.4654344491	0.01	0.13	0.86
45	XAHQAA	76.8134020174	0.01	0.14	0.85
46	XAHQAA	77.4738510788	0.01	0.15	0.84
47	XAHQAA	77.0181002045	0.01	0.16	0.83
48	XAHQAA	78.5151478935	0.01	0.17	0.82
49	XAHQAA	78.1557145645	0.01	0.18	0.81
50	XAHQAA	78.169961101	0.01	0.19	0.8
51	XAHQAA	79.8369311743	0.01	0.2	0.79
52	XAHQAA	76.3704774396	0.01	0.21	0.78
53	XAHQAA	75.125575083	0.01	0.22	0.77
54	XAHQAA	76.5678647263	0.01	0.23	0.76
55	XAHQAA	77.6081302753	0.01	0.24	0.75
56	XAHQAA	79.8429089213	0.01	0.25	0.74
57	XAHQAA	79.0389456324	0.01	0.26	0.73
58	XAHQAA	81.0920423945	0.01	0.27	0.72
59	XAHQAA	77.9993675129	0.01	0.28	0.71
60	XAHQAA	77.2701710568	0.01	0.29	0.7
61	XAHQAA	77.720526038	0.01	0.3	0.69
62	XAHQAA	78.2341616448	0.02	0.0	0.98
63	XAHQAA	77.7078696861	0.02	0.01	0.97
64	XAHQAA	78.5506479628	0.02	0.02	0.96
65	XAHQAA	79.388975755	0.02	0.03	0.95
66	XAHQAA	77.8508278173	0.02	0.04	0.94
67	XAHQAA	78.3687522609	0.02	0.05	0.93
68	XAHQAA	78.4605136906	0.02	0.06	0.92
69	XAHQAA	78.0497368319	0.02	0.07	0.91
70	XAHQAA	80.4602613459	0.02	0.08	0.9
71	XAHQAA	77.7800838431	0.02	0.09	0.89
72	XAHQAA	81.6377579897	0.02	0.1	0.88
73	XAHQAA	79.1070408314	0.02	0.11	0.87
74	XAHQAA	80.1054969468	0.02	0.12	0.86
75	XAHQAA	78.995304513	0.02	0.13	0.85
