Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	ZIF-8	42.2798192268	0.0	0.0	1.0
1	ZIF-8	41.8086204094	0.0	0.01	0.99
2	ZIF-8	43.2103690084	0.0	0.02	0.98
3	ZIF-8	43.1609165676	0.0	0.03	0.97
4	ZIF-8	43.9415035659	0.0	0.04	0.96
5	ZIF-8	44.1331638666	0.0	0.05	0.95
6	ZIF-8	43.9662096365	0.0	0.06	0.94
7	ZIF-8	43.8245105777	0.0	0.07	0.93
8	ZIF-8	43.6125688435	0.0	0.08	0.92
9	ZIF-8	43.9030021603	0.0	0.09	0.91
10	ZIF-8	43.7806311236	0.0	0.1	0.9
11	ZIF-8	45.1938813848	0.0	0.11	0.89
12	ZIF-8	44.8317948453	0.0	0.12	0.88
13	ZIF-8	44.471009026	0.0	0.13	0.87
14	ZIF-8	45.2197984945	0.0	0.14	0.86
15	ZIF-8	45.0922564971	0.0	0.15	0.85
16	ZIF-8	45.2249067496	0.0	0.16	0.84
17	ZIF-8	46.0011910708	0.0	0.17	0.83
18	ZIF-8	45.229203715	0.0	0.18	0.82
19	ZIF-8	46.1706585698	0.0	0.19	0.81
20	ZIF-8	45.4496151275	0.0	0.2	0.8
21	ZIF-8	46.4479182476	0.0	0.21	0.79
22	ZIF-8	45.5630137308	0.0	0.22	0.78
23	ZIF-8	46.3591956879	0.0	0.23	0.77
24	ZIF-8	46.321730162	0.0	0.24	0.76
25	ZIF-8	46.3013738733	0.0	0.25	0.75
26	ZIF-8	46.2517667774	0.0	0.26	0.74
27	ZIF-8	46.6969397841	0.0	0.27	0.73
28	ZIF-8	47.1690277815	0.0	0.28	0.72
29	ZIF-8	46.6018299043	0.0	0.29	0.71
30	ZIF-8	47.1356756897	0.0	0.3	0.7
31	ZIF-8	49.9356692786	0.01	0.0	0.99
32	ZIF-8	51.1618190339	0.01	0.01	0.98
33	ZIF-8	51.5433208937	0.01	0.02	0.97
34	ZIF-8	50.8627264965	0.01	0.03	0.96
35	ZIF-8	50.4975511951	0.01	0.04	0.95
36	ZIF-8	50.8007111358	0.01	0.05	0.94
37	ZIF-8	51.591530565	0.01	0.06	0.93
38	ZIF-8	50.8444699547	0.01	0.07	0.92
39	ZIF-8	50.7344780347	0.01	0.08	0.91
40	ZIF-8	51.0838734575	0.01	0.09	0.9
41	ZIF-8	51.7903670346	0.01	0.1	0.89
42	ZIF-8	52.1554961926	0.01	0.11	0.88
43	ZIF-8	52.0424240123	0.01	0.12	0.87
44	ZIF-8	51.2773675196	0.01	0.13	0.86
45	ZIF-8	52.5362385483	0.01	0.14	0.85
46	ZIF-8	52.8161301347	0.01	0.15	0.84
47	ZIF-8	52.6591422272	0.01	0.16	0.83
48	ZIF-8	53.1168922014	0.01	0.17	0.82
49	ZIF-8	52.0570799202	0.01	0.18	0.81
50	ZIF-8	53.2607125809	0.01	0.19	0.8
51	ZIF-8	53.1407019741	0.01	0.2	0.79
52	ZIF-8	53.0333369008	0.01	0.21	0.78
53	ZIF-8	54.2633565571	0.01	0.22	0.77
54	ZIF-8	53.127154725	0.01	0.23	0.76
55	ZIF-8	53.6994737454	0.01	0.24	0.75
56	ZIF-8	53.9239395083	0.01	0.25	0.74
57	ZIF-8	53.8405987325	0.01	0.26	0.73
58	ZIF-8	53.3383063288	0.01	0.27	0.72
59	ZIF-8	53.4234010625	0.01	0.28	0.71
60	ZIF-8	54.6172336072	0.01	0.29	0.7
61	ZIF-8	54.1877423513	0.01	0.3	0.69
62	ZIF-8	57.4373042578	0.02	0.0	0.98
63	ZIF-8	57.3182123263	0.02	0.01	0.97
64	ZIF-8	57.9866305957	0.02	0.02	0.96
65	ZIF-8	57.5381325508	0.02	0.03	0.95
66	ZIF-8	58.2428385384	0.02	0.04	0.94
67	ZIF-8	58.357854792	0.02	0.05	0.93
68	ZIF-8	58.4568384585	0.02	0.06	0.92
69	ZIF-8	58.160768693	0.02	0.07	0.91
70	ZIF-8	58.0990261518	0.02	0.08	0.9
71	ZIF-8	57.8792243483	0.02	0.09	0.89
72	ZIF-8	58.7581517285	0.02	0.1	0.88
