MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
IRMOF-1_v2_EQeq,0.1,0.0,0.0,0.0,0.0,0.9,0.9090802807,0.1251060135,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,6.6260866564,0.4764090880,7.5351669371,.6015151015
IRMOF-1_v2_EQeq,0.1,0.0,0.0,0.0,0.01,0.89,1.0986884536,0.2338212130,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0484567286,0.2028340822,6.5146665307,0.7789823440,8.6618117129,1.2156376392
IRMOF-1_v2_EQeq,0.1,0.0,0.0,0.02,0.02,0.86,0.9506382364,0.2630408499,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1875141123,0.0483037317,1.9226317318,0.2612725166,6.5055710102,0.6726074346,9.5663550907,1.2452245328
IRMOF-1_v2_EQeq,0.1,0.04,0.02,0.01,0.0,0.83,1.0545331257,0.2531072271,2.8821386387,0.3715653648,0.0027817244,0.0024490023,0.0924548748,0.0496880729,0.0000000000,0.0000000000,6.4305329664,0.4949751816,10.4624413300,1.1717848487
IRMOF-1_v2_EQeq,0.1,0.04,0.02,0.01,0.01,0.82,0.9740145865,0.3210671479,3.0857097693,0.7403794032,0.0029453552,0.0022195968,0.0846417868,0.0358986620,0.9931291967,0.2426855011,6.0939987093,0.4115660194,11.2344394038,1.7538163304
IRMOF-1_v2_EQeq,0.1,0.04,0.02,0.01,0.02,0.81,1.0103777977,0.2308010408,2.8607100987,0.4553529750,0.0037635095,0.0013090468,0.1302181335,0.0339567348,1.8507059404,0.3180250402,5.9825785837,0.2364835320,11.8383540635,1.2759283696
IRMOF-1_v2_EQeq,0.1,0.04,0.02,0.01,0.03,0.8,0.9272618864,0.0481740783,2.9321385655,0.4270203801,0.0042544020,0.0021708085,0.0846417868,0.0201733065,2.7802084755,0.1809810842,5.9302793410,0.6274590789,12.6587844572,1.3059787365
IRMOF-1_v2_EQeq,0.1,0.04,0.02,0.02,0.0,0.8200000000000001,1.0415462645,0.2583830595,3.2464238198,0.2549506025,0.0029453552,0.0030349001,0.1992337443,0.1024014737,0.0000000000,0.0000000000,6.1781322736,0.3049374125,10.6682814574,.9237074483
IRMOF-1_v2_EQeq,0.1,0.04,0.02,0.02,0.01,0.81,0.9116776530,0.1702418497,2.9749956457,0.3347244962,0.0037635095,0.0022195968,0.1927228376,0.0625047041,1.0567558584,0.2052345691,6.0416994667,0.5408967680,11.1816149709,1.3158219839
IRMOF-1_v2_EQeq,0.1,0.04,0.02,0.02,0.02,0.8,0.9012881641,0.2049127516,3.0499955359,0.5304014584,0.0037635095,0.0008016242,0.2161621017,0.0503659770,1.9309308616,0.5523339496,5.9825785837,0.2730171638,12.0847187565,1.6118329246
IRMOF-1_v2_EQeq,0.1,0.04,0.02,0.02,0.03,0.79,0.9272618864,0.2366888847,3.1107097327,0.8263504970,0.0039271403,0.0034941987,0.1940250190,0.0743042516,2.8963962924,0.6253724549,5.7688338528,0.4223789697,12.9011539236,2.1885892566
IRMOF-1_v2_EQeq,0.1,0.04,0.02,0.03,0.0,0.81,0.9350540031,0.1929761919,2.8714243687,0.6199892176,0.0031089861,0.0026180935,0.2825733498,0.0672107244,0.0000000000,0.0000000000,6.0212345457,0.4943480219,10.1133952534,1.3771422493
IRMOF-1_v2_EQeq,0.1,0.04,0.02,0.03,0.01,0.8,0.9194697697,0.1832206329,2.9607099523,0.5939310309,0.0027817244,0.0016687138,0.2734580804,0.0928118271,0.9903628201,0.1823291929,6.2395270367,0.6440180875,11.3863093836,1.6979794851
IRMOF-1_v2_EQeq,0.1,0.0,0.0,0.02,0.03,0.85,0.9116776530,0.1463775386,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1836075683,0.0705585247,2.8078722415,0.8088044982,6.3282083612,0.4434007920,10.2313658240,1.4691413535
IRMOF-1_v2_EQeq,0.1,0.04,0.02,0.03,0.02,0.79,0.9636250976,0.1287206945,2.8678529453,0.7015279157,0.0042544020,0.0031729198,0.3086169765,0.1053399509,1.8783697064,0.4185921787,5.8666106978,0.4309587748,11.8893298256,1.7883124344
IRMOF-1_v2_EQeq,0.1,0.04,0.02,0.03,0.03,0.78,0.9610277254,0.0821361218,3.1035668861,0.9396034049,0.0035998786,0.0022195968,0.3229409712,0.0484439460,2.9793875902,0.4663950135,5.6960696891,0.7692304872,13.0665927406,2.3080285702
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.0,0.0,0.83,0.9142750252,0.1898748386,3.1749953529,0.3914905586,0.0047452945,0.0019082472,0.0000000000,0.0000000000,0.0000000000,0.0000000000,6.6351821768,0.6523460472,10.7291978494,1.2356196916
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.0,0.01,0.82,0.9818067032,0.1418840584,3.1214240028,0.3842559421,0.0049089254,0.0027380678,0.0000000000,0.0000000000,0.9433344181,0.1529283406,6.3714120834,1.1478568444,11.4228861329,1.8296632533
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.0,0.02,0.81,0.9454434920,0.1368497234,3.1464239662,0.9007919827,0.0057270796,0.0027380678,0.0000000000,0.0000000000,1.8175094213,0.1280924970,5.9689353030,0.8523866406,11.8840392621,2.0208589115
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.0,0.03,0.8,0.9142750252,0.0798031787,2.8357101352,0.4440070721,0.0052361871,0.0042164720,0.0000000000,0.0000000000,2.8825644095,0.2992805255,6.0394255866,0.7215620329,12.6772113436,1.5488692812
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.01,0.0,0.82,1.0441436367,0.2261951846,3.3392808268,0.2766412627,0.0070361264,0.0035247163,0.0846417868,0.0296943032,0.0000000000,0.0000000000,6.1758583935,0.5931994966,10.6509607702,1.1292549634
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.01,0.01,0.8099999999999999,0.9584303531,0.2106275108,3.0571383826,0.3465569062,0.0045816637,0.0050274895,0.0924548748,0.0151859135,0.9903628201,0.2702567293,6.0121390252,0.5505232349,11.1151071195,1.3981777842
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.01,0.02,0.8,0.8779118140,0.1145202595,3.0499955359,0.4724009018,0.0060543413,0.0019635702,0.0911526935,0.0443506982,1.8202757979,0.4812541254,5.8484196569,0.6975439975,11.6938098395,1.8120335526
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.01,0.03,0.79,0.9428461197,0.2456405654,3.2678523599,0.3129838605,0.0052361871,0.0060874194,0.0859439681,0.0172753876,2.7553110862,0.5555942154,6.0348778263,0.2952193537,13.0920675473,1.4328008020
IRMOF-1_v2_EQeq,0.1,0.0,0.0,0.03,0.0,0.87,0.8908986751,0.1492980765,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2695515364,0.0491390166,0.0000000000,0.0000000000,6.7829843843,0.3494976668,7.9434345958,.5479347599
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.02,0.0,0.81,0.9947935644,0.2068787008,3.0499955359,0.1961358589,0.0050725562,0.0028152115,0.1823053870,0.0768176626,0.0000000000,0.0000000000,6.1121897503,0.3963601988,10.3443567938,.8790076326
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.02,0.01,0.8,0.9506382364,0.1868664464,2.9214242955,0.5892740292,0.0047452945,0.0012245011,0.2083490137,0.0920781253,0.9295025351,0.2718378519,6.0189606655,0.5186440911,11.0336200407,1.6599250450
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.02,0.02,0.79,0.9246645141,0.2331277230,3.1964238930,0.4812815964,0.0052361871,0.0043416170,0.1862119310,0.0614099661,2.0249876658,0.3779319986,6.0917248292,0.4798695227,12.4292490202,1.6379624238
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.02,0.03,0.78,0.9999883088,0.2403095750,3.3357094034,0.4161282956,0.0045816637,0.0033693654,0.1783988430,0.0556139681,2.8659661499,0.6792905178,5.6869741687,0.4178993271,13.0716185375,1.8126110490
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.03,0.0,0.8,0.9428461197,0.2814765468,2.8749957920,0.2082479772,0.0032726169,0.0023140896,0.3047104325,0.0914869273,0.0000000000,0.0000000000,5.9962218644,0.9304143943,10.1220468255,1.5139399352
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.03,0.01,0.79,0.9999883088,0.1964410322,3.0285669958,0.6967846029,0.0050725562,0.0040612108,0.2903864378,0.0241518658,0.9986619499,0.3082493384,6.0257823059,0.3439502060,11.3484585544,1.5736382561
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.03,0.02,0.78,0.9766119587,0.1718196578,2.7499959750,0.2422257163,0.0060543413,0.0053374767,0.2851777125,0.0719860164,2.0056230296,0.3653293309,5.9916741042,0.4420928222,12.0151371213,1.2987910203
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.03,0.03,0.77,0.9895988199,0.3811682466,3.1249954261,0.6487812692,0.0045816637,0.0035247163,0.3229409712,0.0766408668,2.8770316563,0.4253388351,5.8688845779,0.3413547739,13.1880331151,1.8768087079
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.0,0.0,0.8200000000000001,0.9506382364,0.1596063573,6.4107049027,1.2918485460,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,6.0894509491,0.3156027645,13.4507940882,1.7670576678
