MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
MOF-177_EQeq,0.1,0.0,0.0,0.0,0.0,0.9,1.2834263274,0.0775665169,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,9.4414328112,0.9320671041,10.7248591386,1.0096336210
MOF-177_EQeq,0.1,0.0,0.0,0.0,0.01,0.89,1.2677535500,0.1764256709,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.2760538507,0.0957299153,9.1502470099,0.5776833504,11.6940544106,.8498389366
MOF-177_EQeq,0.1,0.0,0.0,0.02,0.02,0.86,1.3374103385,0.1512531040,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2418357479,0.0534205862,2.4649354181,0.8024272067,8.8285705489,0.3176594146,12.8727520534,1.3247603115
MOF-177_EQeq,0.1,0.04,0.02,0.01,0.0,0.83,1.3304446596,0.2618854400,3.2684605495,0.2983021987,0.0041688670,0.0023631617,0.1405615719,0.0391999933,0.0000000000,0.0000000000,8.4291429054,0.7674566307,13.1727785534,1.3692074244
MOF-177_EQeq,0.1,0.04,0.02,0.01,0.01,0.82,1.2172523784,0.4723582911,3.3833954260,0.4901605296,0.0035106248,0.0037749421,0.1396885186,0.0713557476,1.2445234504,0.3202618839,8.5846452704,0.4801093026,14.5730156686,1.8380206969
MOF-177_EQeq,0.1,0.04,0.02,0.01,0.02,0.81,1.4192570649,0.1929757064,3.5988983193,0.5735958558,0.0043882810,0.0021941405,0.1327040927,0.0433372232,2.3666347581,0.4517932075,8.3193765300,0.6112293676,15.8412590460,1.8751255010
MOF-177_EQeq,0.1,0.04,0.02,0.01,0.03,0.8,1.2660121303,0.2100126181,3.5366419279,0.4727742291,0.0046076951,0.0024629166,0.1335771460,0.0290084996,3.4089927001,0.4322116556,8.4001767785,0.6360062218,16.7500083779,1.7824761408
MOF-177_EQeq,0.1,0.04,0.02,0.02,0.0,0.8200000000000001,1.3269618202,0.2261433143,3.8886299871,0.7856510870,0.0054853513,0.0023012340,0.2654081854,0.0459992192,0.0000000000,0.0000000000,8.6471511230,0.7757820971,14.1336364670,1.8358769516
MOF-177_EQeq,0.1,0.04,0.02,0.02,0.01,0.81,1.2938748457,0.0783445355,3.5031192556,0.5598366158,0.0057047653,0.0016419444,0.2706465049,0.0409498268,1.1054187428,0.1404705023,8.3132783981,0.6630298965,14.4920425124,1.4842733213
MOF-177_EQeq,0.1,0.04,0.02,0.02,0.02,0.8,1.4227399043,0.3181798274,3.5342474513,0.5183143126,0.0049368161,0.0036714993,0.2758848243,0.0690540411,2.4779185241,0.5976029188,8.1105155103,0.7395477953,15.8262430304,2.2463703945
MOF-177_EQeq,0.1,0.04,0.02,0.02,0.03,0.79,1.2538221923,0.1090301199,3.4217070514,0.3404538192,0.0038397459,0.0035379453,0.2610429192,0.0610887774,3.4182663473,0.5716178625,8.1974138908,0.7698272708,16.5560921469,1.8555557951
MOF-177_EQeq,0.1,0.04,0.02,0.03,0.0,0.81,1.3321860793,0.2341545866,3.6180541321,1.0701354971,0.0044979880,0.0030560841,0.3693015212,0.0881048720,0.0000000000,0.0000000000,8.4977468899,1.0220239941,13.8217866105,2.4174750339
MOF-177_EQeq,0.1,0.04,0.02,0.03,0.01,0.8,1.2485979332,0.3535725338,3.6276320384,0.4675058417,0.0054853513,0.0038631830,0.3972392249,0.0474992317,1.2333950738,0.1695835424,8.2218064186,0.8314842624,14.7341560402,1.8735085950
MOF-177_EQeq,0.1,0.0,0.0,0.02,0.03,0.85,1.2816849077,0.2419006867,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2697734516,0.0737510402,3.4312494533,0.5441663636,8.4885996920,0.3404320059,13.4713075046,1.2002500964
MOF-177_EQeq,0.1,0.04,0.02,0.03,0.02,0.79,1.2990991048,0.2187267525,3.1702870092,0.4395413834,0.0058144724,0.0025587856,0.4112080768,0.0603354961,2.2534962626,0.4495949845,8.0922211144,0.4513853591,15.2321260402,1.6221427612
