MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
NU-125_v2_EQeq,0.1,0.0,0.0,0.0,0.0,0.9,1.8541510566,0.2978225065,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,12.6232453362,1.2530122906,14.4773963928,1.5508347971
NU-125_v2_EQeq,0.1,0.0,0.0,0.0,0.01,0.89,1.7380705336,0.1248984482,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.9286361775,0.3535554734,12.0556204371,1.1519693670,18.7223271482,1.6304232886
NU-125_v2_EQeq,0.1,0.0,0.0,0.02,0.02,0.86,1.7202924355,0.1546892152,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5064665612,0.0563120417,9.7436631143,1.1089178900,11.2362264296,0.6968238582,23.2066485406,2.0167430051
NU-125_v2_EQeq,0.1,0.04,0.02,0.01,0.0,0.83,1.8342814175,0.2129266764,10.4006859361,1.5714514237,0.0044141000,0.0015366212,0.2553304506,0.0601087125,0.0000000000,0.0000000000,11.2673542466,0.7799619980,23.7620661508,2.6259854318
NU-125_v2_EQeq,0.1,0.04,0.02,0.01,0.01,0.82,1.7443451564,0.1428692419,9.7349154967,0.9794111980,0.0041505716,0.0024509554,0.2527089881,0.0266513925,4.4764268469,0.8471272469,10.8279027119,0.5004358533,27.0404497716,2.4989458880
NU-125_v2_EQeq,0.1,0.04,0.02,0.01,0.02,0.81,1.7579401727,0.1798482002,9.4085010480,0.6487429776,0.0044141000,0.0027826897,0.2542818656,0.0489589272,9.5632249085,1.9166752249,10.4836656763,0.2061373057,31.4720277711,3.0031453253
NU-125_v2_EQeq,0.1,0.04,0.02,0.01,0.03,0.8,1.7589859431,0.2773638822,9.4372600302,0.6762092351,0.0042164537,0.0027449992,0.2437960155,0.0222438472,13.8001812971,0.5321197334,10.1998532268,0.9006709327,35.4442929664,2.4113526298
NU-125_v2_EQeq,0.1,0.04,0.02,0.02,0.0,0.8200000000000001,1.7788555822,0.1365761830,9.9477319654,0.9288127289,0.0038870433,0.0025139003,0.4781547659,0.0971059927,0.0000000000,0.0000000000,11.3836257985,0.3714094927,23.5922551553,1.5364182976
NU-125_v2_EQeq,0.1,0.04,0.02,0.02,0.01,0.81,1.7537570907,0.2576588309,9.7665503772,1.1623966529,0.0044141000,0.0010704572,0.4860191534,0.0408275432,4.6167676736,0.2197353356,10.4726793879,0.7185878074,27.1001877828,2.4002766272
NU-125_v2_EQeq,0.1,0.04,0.02,0.02,0.02,0.8,1.7652605660,0.1452981323,9.6615800919,0.7127007328,0.0039529253,0.0019983027,0.4461729230,0.0410692078,9.5286966099,0.9602619248,10.4525378593,0.2102598158,31.8582009754,2.0715881162
NU-125_v2_EQeq,0.1,0.04,0.02,0.02,0.03,0.79,1.7077431897,0.2567233401,9.3969974550,0.5549067799,0.0039529253,0.0020412819,0.4917863710,0.0619996672,13.3724759203,2.3571190636,10.1266113043,0.3794910608,35.0995671656,3.6122811935
NU-125_v2_EQeq,0.1,0.04,0.02,0.03,0.0,0.81,1.7443451564,0.2175202593,9.7636744789,1.3424623919,0.0036235149,0.0014434043,0.7408253116,0.0544457005,0.0000000000,0.0000000000,10.6402202856,0.8881357013,22.8926887474,2.5040074573
NU-125_v2_EQeq,0.1,0.04,0.02,0.03,0.01,0.8,1.7799013527,0.4338422657,9.8499514257,0.3588540229,0.0048093925,0.0022283344,0.6988819111,0.0722382993,4.6123124093,0.6089386458,10.6191632329,1.2825756486,27.5650197242,2.7586772167
NU-125_v2_EQeq,0.1,0.0,0.0,0.02,0.03,0.85,1.6889193211,0.1611979801,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4765818883,0.1011979612,13.6264259877,3.2994413551,11.4101759954,0.8803057537,27.2021031925,4.4421430501
NU-125_v2_EQeq,0.1,0.04,0.02,0.03,0.02,0.79,1.7725809593,0.0906870548,10.2080007549,1.2048400487,0.0038870433,0.0023348672,0.7334852165,0.0508752874,9.9163046076,1.1166771457,10.5166245414,0.2770031391,33.1508831230,2.7424175429
NU-125_v2_EQeq,0.1,0.04,0.02,0.03,0.03,0.78,1.8081371556,0.2712882617,9.5393544173,1.0083868705,0.0041505716,0.0013565952,0.7025519586,0.0333245530,13.2878258978,2.3672928746,10.1147094919,0.7439239788,35.4567294928,4.4255731338
NU-125_v2_EQeq,0.1,0.04,0.03,0.0,0.0,0.83,1.8018625327,0.1908466655,10.9169096677,0.9353347783,0.0065882089,0.0026680213,0.0000000000,0.0000000000,0.0000000000,0.0000000000,11.4760937257,1.0153652686,24.2014541350,2.1442147337
NU-125_v2_EQeq,0.1,0.04,0.03,0.0,0.01,0.82,1.7380705336,0.0927380863,10.0872130294,0.8625777201,0.0063905626,0.0009860328,0.0000000000,0.0000000000,5.2460737618,0.8756039721,10.9981901816,0.6695379405,28.0759380690,2.5014437518
NU-125_v2_EQeq,0.1,0.04,0.03,0.0,0.02,0.81,1.8238237127,0.2211897268,9.3969974550,0.9112105515,0.0055999776,0.0025345346,0.0000000000,0.0000000000,9.2803156228,1.5018206417,10.6008527522,0.3536056756,31.1075895203,2.9903611302
NU-125_v2_EQeq,0.1,0.04,0.03,0.0,0.03,0.8,1.7453909269,0.0685438530,9.7651124280,1.3285404770,0.0050070388,0.0024080782,0.0000000000,0.0000000000,13.1073876920,0.4492201302,10.1623167415,0.5022214699,34.7852148272,2.3509340083
NU-125_v2_EQeq,0.1,0.04,0.03,0.01,0.0,0.82,1.7663063365,0.1269480937,10.3474818189,1.1627808151,0.0061270343,0.0033489882,0.2401259679,0.0383271808,0.0000000000,0.0000000000,11.0174161862,0.9733428512,23.3774573438,2.3047479290
NU-125_v2_EQeq,0.1,0.04,0.03,0.01,0.01,0.8099999999999999,1.8395102699,0.2083577941,10.2180663987,1.2885949735,0.0066540910,0.0031013604,0.2322615803,0.0253835555,4.6000604324,0.6734674016,10.5779646515,0.4938197781,27.4745174238,2.6927248632
NU-125_v2_EQeq,0.1,0.04,0.03,0.01,0.02,0.8,1.7464366974,0.1780882951,9.6644559901,1.2152295036,0.0071152656,0.0012219307,0.2385530904,0.0328259032,9.4084044727,1.0202603980,10.2602778128,0.5435345194,31.3252433290,2.9911605500
NU-125_v2_EQeq,0.1,0.04,0.03,0.01,0.03,0.79,1.7725809593,0.0983246728,9.6170036694,0.5737831393,0.0055340955,0.0035698123,0.2354073354,0.0547277001,13.2633219439,2.2250756095,10.0579470020,0.6544402462,34.9517950055,3.6099211802
NU-125_v2_EQeq,0.1,0.0,0.0,0.03,0.0,0.87,1.8750664661,0.1906173100,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7182807338,0.0724207196,0.0000000000,0.0000000000,11.9301936449,0.9168670350,14.5235408448,1.1799050646
NU-125_v2_EQeq,0.1,0.04,0.03,0.02,0.0,0.81,1.8081371556,0.1783828184,10.0771473856,0.8400675446,0.0068517373,0.0011334783,0.4923106635,0.0690316255,0.0000000000,0.0000000000,10.7235329724,0.8804580848,23.1079799144,1.9690735516
NU-125_v2_EQeq,0.1,0.04,0.03,0.02,0.01,0.8,1.8259152537,0.1750408613,9.8024991050,2.0912467256,0.0079717328,0.0012775011,0.5012236361,0.0936944595,4.5388005477,0.8651705803,10.5724715073,0.5237117559,27.2488817826,3.7501418837
NU-125_v2_EQeq,0.1,0.04,0.03,0.02,0.02,0.79,1.7872217460,0.1138689911,9.3107205083,0.8572396081,0.0060611522,0.0033229661,0.4430271679,0.1234928680,9.5409485868,0.7004265020,10.2071774190,0.7494647698,31.2951565802,2.5478157051
NU-125_v2_EQeq,0.1,0.04,0.03,0.02,0.03,0.78,1.6774158459,0.1805764319,9.0806486501,1.1374531968,0.0067199731,0.0027513168,0.4833976909,0.1373846464,13.2377041740,1.9572382423,10.0817506268,0.6510038968,34.5676369608,4.0664077310
NU-125_v2_EQeq,0.1,0.04,0.03,0.03,0.0,0.8,1.6815989278,0.2182230081,10.4668315953,0.9171094701,0.0078399686,0.0028382873,0.7041248361,0.0576817075,0.0000000000,0.0000000000,10.1998532268,0.1804674133,23.0602485546,1.3763198863
NU-125_v2_EQeq,0.1,0.04,0.03,0.03,0.01,0.79,1.7140178126,0.1414537461,9.8902140009,1.1886752225,0.0057976238,0.0030219706,0.7696613994,0.1370641405,4.8105716725,0.4284588594,10.2035153229,0.6237131348,27.3937778321,2.5223870739
NU-125_v2_EQeq,0.1,0.04,0.03,0.03,0.02,0.78,1.7307501402,0.0651406728,9.1309768691,0.9194332538,0.0064564447,0.0026874725,0.7261451214,0.0670602704,9.0887392562,1.3748659901,10.2895745818,0.3808139787,30.9726424134,2.8100016383
