MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
UIO-66_v2_EQeq,0.1,0.0,0.0,0.0,0.0,0.9,1.2959231198,0.1021595203,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.9851937006,0.9889434673,10.2811168204,1.0911029876
UIO-66_v2_EQeq,0.1,0.0,0.0,0.0,0.01,0.89,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.0,0.0,0.02,0.02,0.86,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.02,0.01,0.0,0.83,1.0223733103,0.0772737101,27.4221206505,2.2552925819,0.0014441278,0.0006558029,0.1912340575,0.0312173211,0.0000000000,0.0000000000,6.0541689300,0.3059709694,34.6913410761,2.6704103854
UIO-66_v2_EQeq,0.1,0.04,0.02,0.01,0.01,0.82,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.02,0.01,0.02,0.81,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.02,0.01,0.03,0.8,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.02,0.02,0.0,0.8200000000000001,0.9798890382,0.0361330671,27.0279145330,1.7950362404,0.0012708325,0.0004778975,0.3964122651,0.0229050432,0.0000000000,0.0000000000,6.2181928650,0.3054744896,34.6236795338,2.1600267378
UIO-66_v2_EQeq,0.1,0.04,0.02,0.02,0.01,0.81,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.02,0.02,0.02,0.8,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.02,0.02,0.03,0.79,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.02,0.03,0.0,0.81,1.0315425777,0.0512532063,26.7286877146,0.6330831235,0.0011360472,0.0003927272,0.5560804445,0.0435719284,0.0000000000,0.0000000000,5.9147619640,0.3889892538,34.2322087480,1.1172902392
UIO-66_v2_EQeq,0.1,0.04,0.02,0.03,0.01,0.8,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.0,0.0,0.02,0.03,0.85,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.02,0.03,0.02,0.79,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.02,0.03,0.03,0.78,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.03,0.0,0.0,0.83,1.0187056034,0.0865048551,28.6921535794,1.9247551105,0.0018677386,0.0006625524,0.0000000000,0.0000000000,0.0000000000,0.0000000000,6.1031352923,0.2748689397,35.8158622137,2.2867914577
UIO-66_v2_EQeq,0.1,0.04,0.03,0.0,0.01,0.82,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.03,0.0,0.02,0.81,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.03,0.0,0.03,0.8,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.03,0.01,0.0,0.82,1.0067855558,0.0488033244,27.6856251662,1.9977694885,0.0025031549,0.0004716502,0.1831127394,0.0308145782,0.0000000000,0.0000000000,5.9583768113,0.2153850168,34.8364034276,2.2932440581
UIO-66_v2_EQeq,0.1,0.04,0.03,0.01,0.01,0.8099999999999999,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.03,0.01,0.02,0.8,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.03,0.01,0.03,0.79,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.0,0.0,0.03,0.0,0.87,1.2852256412,0.0450031611,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8167287873,0.0715777475,0.0000000000,0.0000000000,8.3767264440,0.4233126175,10.4786808725,.5398935261
UIO-66_v2_EQeq,0.1,0.04,0.03,0.02,0.0,0.81,1.0150378964,0.0608957179,28.2693696196,2.5894839888,0.0021373091,0.0008384237,0.3682175002,0.0316950431,0.0000000000,0.0000000000,5.8561628747,0.3234431942,35.5109252000,3.0063563677
UIO-66_v2_EQeq,0.1,0.04,0.03,0.02,0.01,0.8,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.03,0.02,0.02,0.79,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.03,0.02,0.03,0.78,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.03,0.03,0.0,0.8,1.0459077632,0.0621769786,27.9029008195,1.7191524182,0.0020602890,0.0006397774,0.5743151022,0.0327587831,0.0000000000,0.0000000000,6.0006537799,0.1314927242,35.5258377538,1.9462206815
UIO-66_v2_EQeq,0.1,0.04,0.03,0.03,0.01,0.79,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.03,0.03,0.02,0.78,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.04,0.03,0.03,0.03,0.77,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.0,0.0,0.0,0.8200000000000001,0.9291524255,0.0985097806,43.4252920261,1.7813125482,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.1385247119,0.3089609029,49.4929691635,2.1887832317
UIO-66_v2_EQeq,0.1,0.08,0.0,0.0,0.01,0.81,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.0,0.0,0.03,0.01,0.86,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.0,0.0,0.02,0.8,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.0,0.0,0.03,0.79,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.0,0.01,0.0,0.81,0.9013389812,0.0679983591,44.9458013366,2.5005373196,0.0000000000,0.0000000000,0.1602811091,0.0217006536,0.0000000000,0.0000000000,4.9755710799,0.2601684030,50.9829925068,2.8504047353
UIO-66_v2_EQeq,0.1,0.08,0.0,0.01,0.01,0.8,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.0,0.01,0.02,0.79,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.0,0.01,0.03,0.78,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.0,0.02,0.0,0.8,0.8787214550,0.0922006701,43.7119109729,3.2673430446,0.0000000000,0.0000000000,0.3066180682,0.0364345318,0.0000000000,0.0000000000,4.9402510808,0.2318175990,49.8375015769,3.6277958455
UIO-66_v2_EQeq,0.1,0.08,0.0,0.02,0.01,0.79,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.0,0.02,0.02,0.78,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.0,0.02,0.03,0.77,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.0,0.0,0.03,0.02,0.85,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.0,0.03,0.0,0.79,0.9010333389,0.0678112629,43.6875357546,0.7999685400,0.0000000000,0.0000000000,0.4497371465,0.0542970592,0.0000000000,0.0000000000,4.7668619945,0.3626298085,49.8051682345,1.2847066706
UIO-66_v2_EQeq,0.1,0.08,0.0,0.03,0.01,0.78,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.0,0.03,0.02,0.77,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.0,0.03,0.03,0.76,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.01,0.0,0.0,0.81,0.9129533865,0.0752302237,44.0851039712,1.2421164609,0.0005391410,0.0004491008,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.1082886521,0.3951774071,50.1068851508,1.7129731925
UIO-66_v2_EQeq,0.1,0.08,0.01,0.0,0.01,0.8,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.01,0.0,0.02,0.79,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.01,0.0,0.03,0.78,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.01,0.01,0.0,0.8,0.9089800373,0.0310734612,43.8354681142,0.8995892818,0.0006739263,0.0002723073,0.1619666657,0.0172439242,0.0000000000,0.0000000000,4.9397159293,0.1657881730,49.8468046728,1.1139671475
UIO-66_v2_EQeq,0.1,0.08,0.01,0.01,0.01,0.79,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.0,0.0,0.03,0.03,0.84,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.01,0.01,0.02,0.78,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.01,0.01,0.03,0.77,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.01,0.02,0.0,0.79,0.8845286577,0.0352430823,44.3027998869,1.6318493494,0.0005006310,0.0005223761,0.3040131171,0.0345830325,0.0000000000,0.0000000000,4.8845953247,0.2560799187,50.3764376174,1.9582777590
UIO-66_v2_EQeq,0.1,0.08,0.01,0.02,0.01,0.78,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.01,0.02,0.02,0.77,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.01,0.02,0.03,0.76,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.01,0.03,0.0,0.78,0.8851399422,0.0606189597,44.1456217547,1.3460462958,0.0005006310,0.0005890909,0.4710364526,0.0282114157,0.0000000000,0.0000000000,4.7593698735,0.1930525198,50.2616686540,1.6285182819
UIO-66_v2_EQeq,0.1,0.08,0.01,0.03,0.01,0.77,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.01,0.03,0.02,0.76,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.01,0.03,0.03,0.75,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.0,0.01,0.0,0.0,0.89,1.2836974300,0.0227903386,0.0000000000,0.0000000000,0.0005969062,0.0005363833,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.9924182459,0.7560927520,10.2767125821,.7794194739
UIO-66_v2_EQeq,0.1,0.08,0.02,0.0,0.0,0.8,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.02,0.0,0.01,0.79,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.02,0.0,0.02,0.78,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.02,0.0,0.03,0.77,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.02,0.01,0.0,0.79,0.8912527871,0.0312533207,43.4538698683,1.0094335068,0.0011553022,0.0006558029,0.1549179745,0.0200822177,0.0000000000,0.0000000000,4.9084095665,0.1686058480,49.4096054986,1.2300306961
UIO-66_v2_EQeq,0.1,0.08,0.02,0.01,0.01,0.78,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.02,0.01,0.02,0.77,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.02,0.01,0.03,0.76,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.02,0.02,0.0,0.78,0.8845286577,0.0656782445,43.0121741012,0.9039975792,0.0011360472,0.0006257147,0.3158120133,0.0317512952,0.0000000000,0.0000000000,4.8043225996,0.2520501077,49.0179734190,1.2541029413
UIO-66_v2_EQeq,0.1,0.08,0.02,0.02,0.01,0.77,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.0,0.01,0.0,0.01,0.88,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.02,0.02,0.02,0.76,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.02,0.02,0.03,0.75,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.02,0.03,0.0,0.77,0.8961430630,0.0753790865,43.4131044169,1.5446618058,0.0011745573,0.0006714461,0.4485112872,0.0337751502,0.0000000000,0.0000000000,4.6855189664,0.0701313949,49.4444522908,1.7246188835
UIO-66_v2_EQeq,0.1,0.08,0.02,0.03,0.01,0.76,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.02,0.03,0.02,0.75,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.02,0.03,0.03,0.74,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.03,0.0,0.0,0.79,0.8952261363,0.0484189798,44.9672347183,3.3045352962,0.0020025239,0.0007142555,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.9014525970,0.2813115884,50.7659159755,3.6349801199
UIO-66_v2_EQeq,0.1,0.08,0.03,0.0,0.01,0.78,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.03,0.0,0.02,0.77,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.08,0.03,0.0,0.03,0.76,0.0,0.0,,,,,,,,,,,,
UIO-66_v2_EQeq,0.1,0.0,0.01,0.0,0.02,0.87,0.0,0.0,,,,,,,,,,,,
