MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
IRMOF-1_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,3.9467799376,0.2384619870,1.7898492042,0.0299047682,5.6735582760,0.1237408705,11.4101874178,.3921076257
IRMOF-1_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0002764773,0.0006772282,3.9753513244,0.1092972250,1.7475120368,0.0574624214,5.7251753546,0.2267258029,11.4483151931,.3941626775
IRMOF-1_v2_EQeq,0.04,0.05,0.182,0.728,1.5589170616,0.2583940016,3.8182086972,0.3047108593,1.7347849129,0.0943443398,5.4661804095,0.1422104331,12.5780910812,.7996596338
IRMOF-1_v2_EQeq,0.05,0.05,0.18,0.72,2.0293431288,0.3211756795,3.8310658213,0.1144996319,1.6994606506,0.0550642913,5.3940984098,0.0822956137,12.9539680105,.5730352164
IRMOF-1_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0022118181,0.0030787205,3.7789230404,0.1299409268,1.7958231603,0.0809347189,5.6828811845,0.2051670000,11.2598392033,.4191213662
IRMOF-1_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0041471590,0.0026228936,3.8517800767,0.1752692153,1.8116671309,0.1017029613,5.7144881181,0.0889247038,11.3820824847,.3685197740
IRMOF-1_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0192151700,0.0023783474,3.7453516610,0.1893945700,1.8171216126,0.0966054883,5.6876563327,0.2245902998,11.2693447763,.5129687055
IRMOF-1_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0364949990,0.0036469856,3.8392800950,0.2245172949,1.7745247080,0.0839654558,5.7244931906,0.1105302227,11.3747929926,.4226599590
IRMOF-1_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.1830279498,0.0337415555,3.8778514671,0.1937884715,1.7841349853,0.0488803095,5.7304052789,0.1193334364,11.5754196811,.3957437729
IRMOF-1_v2_EQeq,0.01,0.05,0.188,0.752,0.3974360692,0.0687756301,3.7724944784,0.1365498582,1.7545249418,0.0980417707,5.6128456769,0.1896225153,11.5373011663,.4929897743
IRMOF-1_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.7604507188,0.1297247122,3.7914230221,0.2208560804,1.7581612630,0.0685509470,5.5844221755,0.1757837285,11.8944571794,.5949154681
IRMOF-1_v2_EQeq,0.03,0.05,0.184,0.736,1.1594074129,0.1018870304,3.8232086899,0.3541440388,1.7150448839,0.0434809731,5.4477619805,0.2160765273,12.1454229672,.7155885696
