MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
ZIF-8_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,9.6180569373,0.3425549937,2.5106611274,0.0426935532,7.8054261896,0.1877517485,19.9341442543,.5730002954
ZIF-8_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0018316889,0.0007636941,9.5579478572,0.2944793472,2.5069266590,0.0462799718,7.7013837560,0.1332950225,19.7680899611,.4748180356
ZIF-8_v2_EQeq,0.04,0.05,0.182,0.728,7.6649553806,0.4859373190,10.0499965586,0.2341544423,2.3418778014,0.0749968535,7.1523884383,0.0833588007,27.2092181789,.8784474155
ZIF-8_v2_EQeq,0.05,0.05,0.18,0.72,9.8708154132,0.4966976112,10.2420032853,0.3462082263,2.2844695031,0.0628670374,6.9832794182,0.0826263615,29.3805676198,.9883992364
ZIF-8_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0080282533,0.0009022694,9.5886568512,0.1644339874,2.5438319936,0.0664807625,7.7914512971,0.2968123225,19.9319683952,.5286293418
ZIF-8_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0162903393,0.0017358999,9.6621570665,0.2094111358,2.5354111336,0.0612012747,7.8354914399,0.2101312601,20.0493499793,.4824795705
ZIF-8_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0777883187,0.0096171908,9.5605656731,0.2459779440,2.5013615689,0.0959396710,7.6897807490,0.2088168572,19.8294963097,.5603516630
ZIF-8_v2_EQeq,0.001,0.05,0.1898,0.7592,0.1629813370,0.0104764669,9.6007390784,0.2349712767,2.5393652765,0.1035487698,7.7831176456,0.1868577403,20.0862033375,.5358542537
ZIF-8_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.8502154109,0.0270584300,9.6577269165,0.2172132960,2.4718519461,0.0773728782,7.7277309157,0.0362011165,20.7075251892,.3578457207
ZIF-8_v2_EQeq,0.01,0.05,0.188,0.752,1.7548748504,0.0897213327,9.8285897457,0.3235614019,2.4911833119,0.0754939535,7.6904217991,0.2101469048,21.7650697071,.6989235929
ZIF-8_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,3.5713256245,0.1207608595,9.8070431073,0.2577192520,2.3892542925,0.0189050676,7.4975939248,0.1444595302,23.2652169491,.5418447093
ZIF-8_v2_EQeq,0.03,0.05,0.184,0.736,5.3965451218,0.3085811651,9.9275633233,0.4450018201,2.4069014862,0.0585762349,7.3048942604,0.1853007888,25.0359041917,.9974600089
