MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
HKUST-1_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,32.2973231095,1.8087579080,3.0028374241,0.0923084943,8.2334527434,0.1326122688,43.5336132770,2.0336786711
HKUST-1_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0004127734,0.0010110841,32.5064526070,1.4946057003,3.0096154650,0.1344961819,8.3090009572,0.3989375741,43.8254818026,2.0290505404
HKUST-1_v2_EQeq,0.04,0.05,0.182,0.728,0.7004764095,0.0415324681,32.2127620518,1.0459439428,2.8560349779,0.0500386967,7.9510876763,0.0886872077,43.7203611155,1.2262023153
HKUST-1_v2_EQeq,0.05,0.05,0.18,0.72,0.8575366769,0.0754483783,32.9690379628,0.7345937997,2.8952153605,0.1026070011,7.7497705014,0.1046881501,44.4715605016,1.0173373292
HKUST-1_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0004127734,0.0010110841,32.4848577132,0.9914699873,3.0206917757,0.0696583730,8.2419917178,0.1475934302,43.7479539801,1.2097328746
HKUST-1_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0020638669,0.0022608529,32.6103354117,0.6988606850,2.9653102222,0.0438214518,8.3781811223,0.1572243206,43.9558906231,.9021673103
HKUST-1_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0097001742,0.0038279028,32.0695538090,1.5745495101,3.0286270431,0.1402731374,8.2940939341,0.2495473170,43.4019749604,1.9681978673
HKUST-1_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0160981614,0.0044457053,33.2859146144,0.9602116120,2.9902732508,0.0663632118,8.0537000969,0.1692532646,44.3459861235,1.2002737937
HKUST-1_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0854440877,0.0143820573,32.7542255985,1.5361370467,2.9398512395,0.0613203030,8.3072642166,0.4124300719,44.0867851423,2.0242694789
HKUST-1_v2_EQeq,0.01,0.05,0.188,0.752,0.1634582547,0.0187619006,32.6248835506,0.7979523360,2.9904385689,0.0407152598,8.0716464159,0.2141733563,43.8504267901,1.0716028527
HKUST-1_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.3357911368,0.0257975101,32.9122092950,1.5458618405,2.9884547520,0.1044025170,8.1141965593,0.3136394536,44.3506517431,1.9897013212
HKUST-1_v2_EQeq,0.03,0.05,0.184,0.736,0.5413522752,0.0584566377,33.1086091709,0.7525817193,2.8793448258,0.0833216193,7.9590477372,0.2166030273,44.4883540091,1.1109630036
