MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
ZIF-8_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,9.5917780932,0.3561417356,2.4803460311,0.0518328646,7.7880537315,0.2157993689,19.8601778558,.6237739691
ZIF-8_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0001828311,0.0004478428,9.7168291444,0.2037532674,2.5212787336,0.0868825969,7.8222217025,0.4807216982,20.0605124116,.7718054053
ZIF-8_v2_EQeq,0.04,0.05,0.182,0.728,0.6533467609,0.0244310451,9.6816900004,0.3866127051,2.4322372913,0.0680926727,7.4575923976,0.1588456473,20.2248664502,.6379820702
ZIF-8_v2_EQeq,0.05,0.05,0.18,0.72,0.8127754374,0.0476884227,9.6219836612,0.1811125450,2.4135649494,0.0716398242,7.4043852382,0.1984600046,20.2527092862,.4989007965
ZIF-8_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0011884018,0.0010969863,9.6331597213,0.2796073514,2.5346056600,0.0682405506,7.8598513442,0.2649345884,20.0288051273,.6138794767
ZIF-8_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0016454795,0.0010969863,9.6771591652,0.2425144083,2.5367291812,0.0625232346,7.7637579321,0.2072018359,19.9792917580,.5133364651
ZIF-8_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0090501370,0.0030263924,9.6100021192,0.1034452384,2.5302121678,0.0865930455,7.8613257595,0.2623806762,20.0105901835,.4554453525
ZIF-8_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0146264841,0.0059244032,9.5730506411,0.2643783158,2.4990915979,0.0923172515,7.8041440893,0.2830298325,19.8909128124,.6456498030
ZIF-8_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0811769867,0.0118572667,9.5455635743,0.2528024587,2.5120523999,0.0637206170,7.7117687679,0.1382508360,19.8505617288,.4666311784
ZIF-8_v2_EQeq,0.01,0.05,0.188,0.752,0.1607084939,0.0119415412,9.6823947970,0.1662032231,2.5001899709,0.0749293321,7.5933668118,0.0735188066,19.9366600736,.3265929030
ZIF-8_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.3311070334,0.0102873949,9.5455635743,0.3733179012,2.4666529804,0.0723043593,7.7116405579,0.0956867743,20.0549641460,.5515964297
ZIF-8_v2_EQeq,0.03,0.05,0.184,0.736,0.4866962579,0.0156360638,9.6143315840,0.2050762070,2.4608682156,0.0794206003,7.5360569316,0.2121612857,20.0979529891,.5122941568
