MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-100_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,6.0940021043,0.3381134262,2.9802859534,0.0972697914,8.9909378041,0.1331120532,18.0652258618,.5684952708
NU-100_EQeq,1e-05,0.05,0.189998,0.759992,0.0000053593,0.0000131275,6.0685607158,0.1895267526,3.0129526811,0.0538155180,8.9410398680,0.1024873465,18.0225586242,.3458427446
NU-100_EQeq,0.04,0.05,0.182,0.728,0.0133365359,0.0010767460,6.1174549705,0.4337312100,2.8658248019,0.1363215910,8.5731729201,0.3384006175,17.5697892284,.9095301645
NU-100_EQeq,0.05,0.05,0.18,0.72,0.0170692653,0.0010751977,6.1162852515,0.1628993213,2.8408994081,0.0719937174,8.5587620983,0.1138202331,17.5330160232,.3497884695
NU-100_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0000107185,0.0000200525,6.0995582696,0.1792146954,3.0169509525,0.0861038874,8.9869906539,0.2242933032,18.1035105945,.4896319385
NU-100_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0000187574,0.0000321556,6.0745847687,0.0898130945,3.0088268053,0.0696192712,8.9524717086,0.2449285617,18.0359020400,.4043930830
NU-100_EQeq,0.0005,0.05,0.1899,0.7596,0.0001554187,0.0000982370,5.9993718363,0.1339338994,2.9976401525,0.1221088152,8.9728777302,0.1775018863,17.9700451377,.4336428379
NU-100_EQeq,0.001,0.05,0.1898,0.7592,0.0002572448,0.0001338744,6.0524185935,0.1505469720,2.9970446653,0.0951485166,8.9697125626,0.1560089455,18.0194330662,.4018383085
NU-100_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0015139929,0.0002444202,6.0602557108,0.2227135168,2.9249907111,0.0741383425,8.9000788758,0.1902072825,17.8868392906,.4873035620
NU-100_EQeq,0.01,0.05,0.188,0.752,0.0033120270,0.0004443346,6.0886798828,0.2776021950,2.9683336741,0.0378788112,8.9614831269,0.2216902280,18.0218087108,.5376155688
NU-100_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.0066052966,0.0005061600,6.1345913540,0.2100373722,2.9601669921,0.0732569322,8.7523586427,0.2280597668,17.8537222854,.5118602312
NU-100_EQeq,0.03,0.05,0.184,0.736,0.0097538659,0.0004900140,6.0383234794,0.1552338326,2.8970453464,0.0989334252,8.6123837609,0.3033428574,17.5575064526,.5580001292
