MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
ZIF-8_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,9.6688022914,0.3261741383,2.5288208952,0.0563213030,7.8077980750,0.2040633191,20.0054212616,.5865587604
ZIF-8_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0000000000,0.0000000000,9.6028534681,0.4210308980,2.5139562466,0.0213666106,7.8650438502,0.2193972827,19.9818535649,.6617947913
ZIF-8_v2_EQeq,0.04,0.05,0.182,0.728,0.0040041406,0.0005616585,9.5000538520,0.2305365424,2.4087321080,0.0783403454,7.5320824209,0.0741120474,19.4448725215,.3835505937
ZIF-8_v2_EQeq,0.05,0.05,0.18,0.72,0.0049590451,0.0005885953,9.5194861007,0.1108701166,2.3710212998,0.0153597784,7.4028467179,0.2006505290,19.2983131635,.3274690193
ZIF-8_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0000092261,0.0000369045,9.6322535543,0.1993624435,2.5403171999,0.0778743655,7.8271577884,0.1411535873,19.9997377687,.4184273008
ZIF-8_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0000046131,0.0000184523,9.6070822477,0.2385832842,2.5403171999,0.0558597784,7.7975412731,0.2640947841,19.9449453338,.5585562990
ZIF-8_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0000276784,0.0000451986,9.5494902982,0.4344093234,2.5199606859,0.0791701392,7.7870921563,0.1355862060,19.8565708188,.6492108672
ZIF-8_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0001061005,0.0000855596,9.6140295283,0.2054061534,2.5020938176,0.0724563699,7.8081827050,0.0996321399,19.9244121514,.3775802228
ZIF-8_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0005166633,0.0003269749,9.5960068728,0.4430765929,2.5325553636,0.0847833964,7.8044646144,0.2197543728,19.9335435141,.7479413370
ZIF-8_v2_EQeq,0.01,0.05,0.188,0.752,0.0010379397,0.0002543469,9.6818913709,0.2344111224,2.5064140849,0.0888943894,7.7181792690,0.1057125653,19.9075226645,.4292724240
ZIF-8_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.0019651658,0.0004171191,9.5156600621,0.1355918640,2.4641633348,0.0859182074,7.6027261435,0.2229898512,19.5845147062,.4449170417
ZIF-8_v2_EQeq,0.03,0.05,0.184,0.736,0.0029385225,0.0002715054,9.5548266152,0.2810381331,2.4635043109,0.0456740092,7.5537499147,0.2059335552,19.5750193633,.5329172029
