MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
ZIF-8_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,9.6040616909,0.1232604316,2.5187158631,0.0624614582,7.7596552114,0.2168032623,19.8824327654,.4025251521
ZIF-8_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0135701600,0.0084488144,9.6908523560,0.2378008565,2.5317498900,0.0477614795,7.8122854258,0.2434412940,20.0484578318,.5374524444
ZIF-8_v2_EQeq,0.04,0.05,0.182,0.728,63.0417379485,0.9582308517,11.1649847558,0.2510452412,2.1905952194,0.0476882273,6.3604992323,0.0770583835,82.7578171560,1.3340227037
ZIF-8_v2_EQeq,0.05,0.05,0.18,0.72,80.7771571404,1.9590643681,11.3292023600,0.2350773861,2.0600352757,0.0233705522,5.9269570401,0.1545606789,100.0933518162,2.3720729853
ZIF-8_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0733100596,0.0147232798,9.5207950086,0.1417453469,2.5086108310,0.0590873434,7.7431802235,0.1446243155,19.8458961227,.3601802856
ZIF-8_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.1440464682,0.0055058546,9.7244812216,0.3631757289,2.5403171999,0.0467140239,7.8463251868,0.0817228024,20.2551700765,.4971184098
ZIF-8_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.7321647232,0.0452623641,9.6187617339,0.2612540862,2.5499096579,0.0779610720,7.7783738747,0.1980612899,20.6792099897,.5825388122
ZIF-8_v2_EQeq,0.001,0.05,0.1898,0.7592,1.5109671226,0.0580220358,9.6633652892,0.0780356624,2.5207661595,0.0514036503,7.7143970733,0.1555013696,21.4094956446,.3429627181
ZIF-8_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,7.4259970829,0.4137968090,9.8756097465,0.1379694768,2.4823231026,0.0603383595,7.5302874806,0.2042191287,27.3142174126,.8163237740
ZIF-8_v2_EQeq,0.01,0.05,0.188,0.752,14.9412140681,0.6147472594,9.9570640946,0.2009880900,2.4149562219,0.0516699923,7.3783586035,0.0991434105,34.6915929881,.9665487522
ZIF-8_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,30.6006327523,0.7204528524,10.3986694976,0.3490461585,2.3620878656,0.0574628175,7.0328325920,0.1142592301,50.3942227075,1.2412210585
ZIF-8_v2_EQeq,0.03,0.05,0.184,0.736,46.0675735353,1.1284321159,10.7606328865,0.1967363560,2.2898149186,0.0635774067,6.7211540265,0.1974823106,65.8391753669,1.5862281892
