MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
IRMOF-1_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,3.7249945479,0.1385601797,1.8311474227,0.0733728923,5.6576411152,0.1154575924,11.2137830858,.3273906644
IRMOF-1_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0001302181,0.0005208725,3.6878517452,0.2186271238,1.7682910147,0.0796271470,5.7001626734,0.1015546528,11.1564356514,.4003297961
IRMOF-1_v2_EQeq,0.04,0.05,0.182,0.728,0.3910450550,0.0214855974,3.7339231063,0.0648781269,1.6976424900,0.1349774156,5.4461702645,0.2549034823,11.2687809158,.4762446222
IRMOF-1_v2_EQeq,0.05,0.05,0.18,0.72,0.4836301480,0.0162517239,3.8739229014,0.0515375074,1.6763440377,0.0820111799,5.3490755835,0.1177105839,11.3829726706,.2675109951
IRMOF-1_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0007813088,0.0015185913,3.7278516866,0.0407580621,1.8116671309,0.0627038150,5.6726487240,0.0942451303,11.2129488503,.1992255987
IRMOF-1_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0006510907,0.0016471436,3.8785657517,0.1944770368,1.7534859930,0.0726038717,5.6812894684,0.1890851296,11.3139923038,.4578131817
IRMOF-1_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0048180709,0.0026813555,3.7803516098,0.2480430005,1.8207579337,0.1080082194,5.6769690962,0.1671411708,11.2828967106,.5258737462
IRMOF-1_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0114591958,0.0064638582,3.8053515732,0.2182136741,1.8033555398,0.0692792748,5.6585506672,0.1008536968,11.2787169760,.3948105039
IRMOF-1_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0484411457,0.0051167608,3.8035658615,0.1956279534,1.7386809712,0.1269729871,5.6601423833,0.1862728393,11.2508303617,.5139905406
IRMOF-1_v2_EQeq,0.01,0.05,0.188,0.752,0.0961009826,0.0100394719,3.8253515439,0.1596454199,1.8197189848,0.1204060638,5.6194399293,0.2249951232,11.3606114406,.5150860788
IRMOF-1_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.1885558574,0.0125604823,3.8560657847,0.2438484588,1.7210188401,0.0675995751,5.5448566615,0.2203670236,11.3104971437,.5443755398
IRMOF-1_v2_EQeq,0.03,0.05,0.184,0.736,0.2950742906,0.0205958823,3.7774944711,0.1388470921,1.7101098767,0.0781873757,5.4577670530,0.1901301021,11.2404456914,.4277604522
