MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MOF-801_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,75.6537486392,0.8583877171,0.3954566919,0.0155339409,1.2545871431,0.0325796193,77.3037924742,.9065012773
MOF-801_EQeq,1e-05,0.05,0.189998,0.759992,0.0001086019,0.0001861747,74.7824329601,2.4812502198,0.3954257460,0.0236800070,1.2599241978,0.0330053228,76.4378915058,2.5381217243
MOF-801_EQeq,0.04,0.05,0.182,0.728,0.1757023389,0.0172045156,74.9269359658,1.1149317952,0.3880296940,0.0188199469,1.1918157939,0.0332645728,76.6824837926,1.1842208305
MOF-801_EQeq,0.05,0.05,0.18,0.72,0.2218115973,0.0115624975,74.4622796579,1.4870637118,0.3791791882,0.0151661063,1.1847177820,0.0611405146,76.2479882254,1.5749328302
MOF-801_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0002016892,0.0002705055,73.3475725794,1.1034569643,0.3986750576,0.0223570251,1.2489791719,0.0325706969,74.9954284981,1.1586551918
MOF-801_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0003102911,0.0003399069,73.9267334774,1.9058997857,0.4041215227,0.0068092066,1.2601680227,0.0457895343,75.5913333139,1.9588384335
MOF-801_EQeq,0.0005,0.05,0.1899,0.7596,0.0022030669,0.0007250461,74.2856932405,0.8041413067,0.4046476018,0.0135334834,1.2701919326,0.0351945434,75.9627358418,.8535943796
MOF-801_EQeq,0.001,0.05,0.1898,0.7592,0.0044681919,0.0008186042,73.7324458674,0.6673217966,0.4035954437,0.0092643344,1.2497377381,0.0293276322,75.3902472411,.7067323674
MOF-801_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0224340470,0.0018156670,75.3505731636,3.0621473429,0.3963231750,0.0167880456,1.2582174240,0.0269605326,77.0275478096,3.1077115881
MOF-801_EQeq,0.01,0.05,0.188,0.752,0.0429753182,0.0028825359,75.1171386852,1.6636323473,0.3894841477,0.0116076134,1.2440755836,0.0137089095,76.7936737347,1.6918314061
MOF-801_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.0887277418,0.0045087337,74.8501740629,1.7698954236,0.3890818520,0.0169187363,1.2374381297,0.0489930270,76.5654217864,1.8403159206
MOF-801_EQeq,0.03,0.05,0.184,0.736,0.1297637406,0.0071907244,75.9004164613,2.3238276141,0.3890509062,0.0289204253,1.1946062337,0.0337353577,77.6138373418,2.3936741215
