MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-100_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,6.2213260187,0.2154362677,3.0422166247,0.0437927544,8.9700104607,0.2010607671,18.2335531041,.4602897892
NU-100_EQeq,1e-05,0.05,0.189998,0.759992,0.0003198696,0.0002335997,6.1520786532,0.2219661335,2.9943649727,0.0871577840,8.9942891580,0.1591048622,18.1410526535,.4684623794
NU-100_EQeq,0.04,0.05,0.182,0.728,0.6843503118,0.0225071841,5.9415877172,0.1054260159,2.8525964786,0.0812928977,8.5040605550,0.1699919313,17.9825950626,.3792180290
NU-100_EQeq,0.05,0.05,0.18,0.72,0.8530068810,0.0197514511,5.9658593866,0.2185847754,2.8341363746,0.0664041141,8.4746431151,0.1846450288,18.1276457573,.4893853694
NU-100_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0007676870,0.0005117913,6.1319594862,0.1379633863,3.0205238758,0.1216006230,8.9451359673,0.2697159701,18.0983870163,.5297917707
NU-100_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0016846465,0.0004349390,6.0799654762,0.1293512496,3.0364744265,0.1283946933,8.9599191617,0.2490222314,18.0780437109,.5072031133
NU-100_EQeq,0.0005,0.05,0.1899,0.7596,0.0081246874,0.0024178793,6.0954642531,0.1903073517,2.9862408256,0.0699718045,9.0612417617,0.2635512142,18.1510715278,.5262482497
NU-100_EQeq,0.001,0.05,0.1898,0.7592,0.0166971923,0.0015647113,6.0745262828,0.2357047952,3.0034248855,0.0573342621,8.9078614643,0.3053604188,18.0025098249,.5999641874
NU-100_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0869618775,0.0054760743,6.0844688944,0.2935935532,2.9880698221,0.0578129170,8.8971743690,0.1787793043,18.0566749630,.5356618488
NU-100_EQeq,0.01,0.05,0.188,0.752,0.1730067955,0.0100263001,6.0947039357,0.2510331460,2.9744161507,0.0456494938,8.8432548083,0.1577583295,18.0853816902,.4644672694
NU-100_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.3441156981,0.0116477044,6.0726547324,0.1609702518,2.9378362212,0.0870230859,8.7148979534,0.1269168385,18.0695046051,.3865578806
NU-100_EQeq,0.03,0.05,0.184,0.736,0.5176556095,0.0219069542,6.0771581505,0.1806557454,2.8936000274,0.0416992072,8.6067236965,0.2070179790,18.0951374839,.4512798858
