,MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MOF-177_EQeq,0.0,0.01,0.198,0.792,0.0,0.0,0.8555464867,0.09283160630000001,2.5691165005000003,0.085344491,8.119510255,0.1794742502,11.5441732422,0.3576503475
1,MOF-177_EQeq,1e-05,0.01,0.197998,0.791992,8.730530000000001e-05,0.0003492213,0.8565042773,0.0975889491,2.5734700497,0.0891062532,8.1527450741,0.1694238418,11.582806706400001,0.3564682654
2,MOF-177_EQeq,5e-05,0.01,0.19799,0.79196,0.0006111373,0.001184267,0.8857168918,0.0474420687,2.5799133027,0.076598717,8.1120400433,0.389493565,11.5782813751,0.5147186177
3,MOF-177_EQeq,0.0001,0.01,0.19798,0.79192,0.0020080225,0.0013066664,0.8842802058,0.0371753576,2.5517023034,0.1293470483,8.18582744,0.2320946141,11.623817971700001,0.39992368640000003
4,MOF-177_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.0071590366,0.0015222203,0.8572226203,0.0765334054,2.5562299946,0.056475720599999994,8.1609775523,0.1538325555,11.581589203800002,0.2883639018
5,MOF-177_EQeq,0.001,0.01,0.1978,0.7912,0.013095798600000002,0.002138535,0.8493208475,0.0826090954,2.5680716486,0.046134149000000006,8.0326118745,0.1670971616,11.4631001692,0.297978941
6,MOF-177_EQeq,0.005,0.01,0.197,0.7879999999999999,0.0713284498,0.0022497007999999997,0.879251805,0.0602837718,2.5853117038,0.0934050523,8.040691899299999,0.2669206068,11.5765838579,0.4228591317
7,MOF-177_EQeq,0.01,0.01,0.196,0.784,0.12510852949999998,0.0157981632,0.8842802058,0.0898819026,2.5755597534,0.0723726993,8.0751463449,0.1340465951,11.660094833599999,0.3120993602
8,MOF-177_EQeq,0.02,0.01,0.194,0.7759999999999999,0.2565030424,0.009315114000000001,0.8919425309000001,0.08419573529999999,2.5328949705,0.0912410871,7.8848846277,0.1991789371,11.566225171500001,0.3839308735
9,MOF-177_EQeq,0.03,0.01,0.192,0.768,0.3911278522,0.0344474549,0.8672794220000001,0.06988590780000001,2.5102565142,0.1167504712,7.8114021375,0.2102719554,11.5800659259,0.4313557893
10,MOF-177_EQeq,0.04,0.01,0.19,0.76,0.5116965049000001,0.038908800699999996,0.8639271548,0.0382097247,2.4362461765,0.0997394244,7.7121550398,0.2629500784,11.524024875999999,0.4398080282
11,MOF-177_EQeq,0.05,0.01,0.188,0.752,0.6423052698,0.0188999392,0.8495602952,0.0749681521,2.4096024549,0.09698066279999999,7.7284675428,0.1679545552,11.6299355627,0.3588033093
