MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MgMOF-74_EQeq,0.0,0.01,0.198,0.792,0.0000000000,0.0000000000,7.9086437112,0.6379002783,2.8572322807,0.0113544143,9.9257503612,0.2778280200,20.6916263531,.9270827126
MgMOF-74_EQeq,1e-05,0.01,0.197998,0.791992,0.0002295059,0.0002052763,8.0593978455,0.5523990295,2.9084120562,0.0931073136,9.8937693026,0.1746156505,20.8618087102,.8203272699
MgMOF-74_EQeq,0.04,0.01,0.19,0.76,0.9056302642,0.0306529160,7.9288491714,0.3607955047,2.7536825023,0.0290444564,9.5634987461,0.0812794399,21.1516606840,.5017723170
MgMOF-74_EQeq,0.05,0.01,0.188,0.752,1.1174412553,0.0110481764,7.8927814808,0.2432915555,2.7569327385,0.0724816709,9.3597096695,0.1164252477,21.1268651441,.4432466505
MgMOF-74_EQeq,5e-05,0.01,0.19799,0.79196,0.0011016283,0.0005152395,7.9770653162,0.4475539835,2.9055738218,0.0843147280,9.9052311857,0.2480433361,20.7889719520,.7804272871
MgMOF-74_EQeq,0.0001,0.01,0.19798,0.79192,0.0024557131,0.0009584448,7.9669311135,0.4280372148,2.8586056199,0.0472733785,9.9747238620,0.1462101106,20.8027163085,.6224791487
MgMOF-74_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.0115900477,0.0020112889,8.0923182681,0.2991957578,2.9050702641,0.0407038021,9.9740826377,0.2101580325,20.9830612176,.5520688813
MgMOF-74_EQeq,0.001,0.01,0.1978,0.7912,0.0219407636,0.0027325662,7.9484881233,0.4598754310,2.8926644330,0.0849604676,9.9429832624,0.2370745857,20.8060765823,.7846430505
MgMOF-74_EQeq,0.005,0.01,0.19699999999999998,0.7879999999999999,0.1140185290,0.0072148127,8.0065237441,0.2897695863,2.8858892928,0.0682416798,9.8603054129,0.2657716117,20.8667369788,.6309976905
MgMOF-74_EQeq,0.01,0.01,0.196,0.784,0.2244338154,0.0039228728,8.0920035413,0.4283751281,2.8558589415,0.0792353134,9.8490038358,0.2272542636,21.0213001340,.7387875779
MgMOF-74_EQeq,0.02,0.01,0.19399999999999998,0.7759999999999999,0.4484774707,0.0111061884,8.1803788250,0.0598212767,2.8476189060,0.0998052237,9.6961119328,0.2164572583,21.1725871345,.3871899471
MgMOF-74_EQeq,0.03,0.01,0.192,0.768,0.6783276252,0.0132712367,8.0042577112,0.2906256403,2.8157574358,0.0343248125,9.6119111757,0.1930512621,21.1102539479,.5312729516
