MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
IRMOF-1_v2_EQeq,0.0,0.01,0.198,0.792,0.0000000000,0.0000000000,0.7749988657,0.0816287070,1.8675106339,0.0908709152,5.9416487416,0.2120251466,8.5841582412,.3845247688
IRMOF-1_v2_EQeq,1e-05,0.01,0.197998,0.791992,0.0000000000,0.0000000000,0.7557131796,0.0782590050,1.8347837438,0.1070092142,5.9161812843,0.0808248440,8.5066782077,.2660930632
IRMOF-1_v2_EQeq,0.04,0.01,0.19,0.76,0.0071179418,0.0010451900,0.7389274899,0.0607520002,1.7724468102,0.0861670164,5.7008448374,0.0945168570,8.2193370793,.2424810636
IRMOF-1_v2_EQeq,0.05,0.01,0.188,0.752,0.0088524288,0.0012817634,0.7403560592,0.0554939891,1.7766026058,0.0281188787,5.6251246295,0.1234245705,8.1509357233,.2083192017
IRMOF-1_v2_EQeq,5e-05,0.01,0.19799,0.79196,0.0000000000,0.0000000000,0.7574988913,0.0522649467,1.8667314222,0.1078406930,5.8547865212,0.1641646958,8.4790168347,.3242703355
IRMOF-1_v2_EQeq,0.0001,0.01,0.19798,0.79192,0.0000327262,0.0000801624,0.7735702963,0.0672111130,1.9197178157,0.0911141001,5.9061762118,0.2053977167,8.5994970500,.3638030922
IRMOF-1_v2_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.0000490893,0.0000801624,0.7549988950,0.0690089194,1.8495887655,0.0770750242,5.9034475557,0.1169809112,8.5080843055,.2631450172
IRMOF-1_v2_EQeq,0.001,0.01,0.1978,0.7912,0.0001636308,0.0002738068,0.7614274570,0.0654106941,1.8340045321,0.1024353029,5.9039023317,0.2518588869,8.4994979516,.4199786907
IRMOF-1_v2_EQeq,0.005,0.01,0.19699999999999998,0.7879999999999999,0.0011617790,0.0007840633,0.7667845920,0.1001426087,1.8669911594,0.0783287542,5.8286368999,0.1804183092,8.4635744303,.3596737354
IRMOF-1_v2_EQeq,0.01,0.01,0.196,0.784,0.0016690346,0.0009574852,0.7407132016,0.0664476726,1.8441342838,0.1298893889,5.7749733292,0.1964642947,8.3614898492,.3937588414
IRMOF-1_v2_EQeq,0.02,0.01,0.19399999999999998,0.7759999999999999,0.0032398908,0.0007505645,0.7349989242,0.0172910010,1.7955634231,0.0938884496,5.7420020675,0.1913445460,8.2758043056,.3032745611
IRMOF-1_v2_EQeq,0.03,0.01,0.192,0.768,0.0053180025,0.0011194072,0.7246417965,0.0621632882,1.7843947225,0.0788164461,5.7965751902,0.1757849051,8.3109297117,.3178840466
