MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-100_EQeq,0.0,0.01,0.198,0.792,0.0000000000,0.0000000000,1.3022481751,0.0964762230,3.1899399911,0.0817537921,9.5505766703,0.3782684839,14.0427648365,.5564984990
NU-100_EQeq,1e-05,0.01,0.197998,0.791992,0.0000053593,0.0000131275,1.2676829783,0.0566233415,3.2094209303,0.1144068834,9.5136745400,0.2278939645,13.9907838079,.3989373169
NU-100_EQeq,0.04,0.01,0.19,0.76,0.0135160713,0.0006339811,1.2789707668,0.0578077928,3.0532331383,0.0555372266,9.1591757705,0.1002808899,13.5048957469,.2142598904
NU-100_EQeq,0.05,0.01,0.188,0.752,0.0170612264,0.0011515068,1.2811932329,0.0752797568,3.0522123031,0.0277835293,9.0669018261,0.1662799652,13.4173685885,.2704947581
NU-100_EQeq,5e-05,0.01,0.19799,0.79196,0.0000080389,0.0000131275,1.2796725982,0.0598285833,3.2531041717,0.0714804399,9.4773309687,0.1249851724,14.0101157775,.2563073231
NU-100_EQeq,0.0001,0.01,0.19798,0.79192,0.0000267963,0.0000415127,1.2706657618,0.0586289493,3.2109521832,0.0313374989,9.4337261305,0.2594900870,13.9153708718,.3494980479
NU-100_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.0001634576,0.0001401630,1.2799065420,0.0968082237,3.1792212211,0.0886584453,9.5647268313,0.1775425657,14.0240180520,.3631493977
NU-100_EQeq,0.001,0.01,0.1978,0.7912,0.0003135171,0.0000874070,1.2613080097,0.0661479979,3.1532749920,0.0370628259,9.5550079049,0.1361977313,13.9699044237,.2394959621
NU-100_EQeq,0.005,0.01,0.19699999999999998,0.7879999999999999,0.0017096062,0.0001595226,1.2551084990,0.0378580782,3.1747976017,0.0941578717,9.5580985980,0.1662109705,13.9897143049,.2983864430
NU-100_EQeq,0.01,0.01,0.196,0.784,0.0034379698,0.0002009546,1.2644077651,0.0301719490,3.2208627920,0.0960878400,9.3987975753,0.2075384320,13.8875061022,.3339991756
NU-100_EQeq,0.02,0.01,0.19399999999999998,0.7759999999999999,0.0066160151,0.0006004771,1.2659283998,0.0328001392,3.1207784035,0.1346904644,9.2195001410,0.1892649152,13.6128229594,.3573559959
NU-100_EQeq,0.03,0.01,0.192,0.768,0.0101933258,0.0005891295,1.2656359701,0.0442379627,3.0781159974,0.1268788539,9.1439457288,0.1253042346,13.4978910221,.2970101807
