MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
IRMOF-1_v2_EQeq,0.0,0.01,0.198,0.792,0.0000000000,0.0000000000,0.7532131833,0.0856665280,1.8332253204,0.0853678454,5.9834881357,0.1975341002,8.5699266394,.3685684736
IRMOF-1_v2_EQeq,1e-05,0.01,0.197998,0.791992,0.0008299130,0.0013552422,0.7385703476,0.0675216286,1.8843935534,0.1568176256,5.9673435869,0.1842466000,8.5911374009,.4099410964
IRMOF-1_v2_EQeq,0.04,0.01,0.19,0.76,3.8538392311,0.1520490772,0.7653560226,0.0455465007,1.8054334376,0.1199682343,5.6571863392,0.1259031630,12.0818150305,.4434669752
IRMOF-1_v2_EQeq,0.05,0.01,0.188,0.752,4.8328599072,0.1423111883,0.7632131686,0.0916012651,1.7846544597,0.0338017835,5.6064788126,0.3264246580,12.9872063481,.5941388949
IRMOF-1_v2_EQeq,5e-05,0.01,0.19799,0.79196,0.0041495649,0.0046290334,0.7021418295,0.0614201753,1.8758222250,0.1082527911,5.9548372463,0.3305586692,8.5369508657,.5048606690
IRMOF-1_v2_EQeq,0.0001,0.01,0.19798,0.79192,0.0085757674,0.0080937201,0.7535703256,0.0350654850,1.8856922395,0.1720315532,5.9546098583,0.2930063719,8.6024481908,.5081971302
IRMOF-1_v2_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.0542209812,0.0155901950,0.7449989096,0.0727869746,1.8706274806,0.0747501887,5.9671161989,0.1876115083,8.6369635703,.3507388666
IRMOF-1_v2_EQeq,0.001,0.01,0.1978,0.7912,0.0990362820,0.0293079290,0.7432131979,0.0533757553,1.8553029844,0.0717852788,5.9828059717,0.1158867112,8.6803584360,.2703556743
IRMOF-1_v2_EQeq,0.005,0.01,0.19699999999999998,0.7879999999999999,0.4727737597,0.0245818674,0.7799988584,0.0432363537,1.8885493489,0.0688847404,5.8923055431,0.2027944145,9.0336275101,.3394973760
IRMOF-1_v2_EQeq,0.01,0.01,0.196,0.784,0.9449942440,0.0978280885,0.7724988693,0.0978491787,1.8524458749,0.0919865894,5.8993545715,0.0979131827,9.4692935597,.3855770393
IRMOF-1_v2_EQeq,0.02,0.01,0.19399999999999998,0.7759999999999999,1.8883286621,0.1005592161,0.7457131943,0.0904804439,1.7604988980,0.0585556241,5.8356859282,0.1382204920,10.2302266826,.3878157761
IRMOF-1_v2_EQeq,0.03,0.01,0.192,0.768,2.9259965220,0.1089488876,0.7217846579,0.0425823907,1.8324461088,0.0741776041,5.7326791590,0.1396939886,11.2129064477,.3654028710
