MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
ZIF-8_v2_EQeq,0.0,0.01,0.198,0.792,0.0000000000,0.0000000000,1.9264104368,0.0764348765,2.6628224078,0.0525160683,8.1821713416,0.1580926802,12.7714041862,.2870436250
ZIF-8_v2_EQeq,1e-05,0.01,0.197998,0.791992,0.0136481494,0.0052433028,1.9349686810,0.0429943601,2.6816411995,0.0861226585,8.2199291933,0.2843750330,12.8501872232,.4187353544
ZIF-8_v2_EQeq,0.04,0.01,0.19,0.76,63.4879934391,1.4354761133,2.2507175510,0.0668519576,2.3295760232,0.0548735277,6.8250041450,0.1481474442,74.8932911583,1.7053490428
ZIF-8_v2_EQeq,0.05,0.01,0.188,0.752,80.6401297205,2.7967132516,2.3230095436,0.0537911705,2.2132949292,0.0722093758,6.4189630027,0.1377453067,91.5953971960,3.0604591046
ZIF-8_v2_EQeq,5e-05,0.01,0.19799,0.79196,0.0743239222,0.0099582449,1.9166439698,0.0680959725,2.6977506710,0.0419332435,8.2266602195,0.3128196870,12.9153787825,.4328071479
ZIF-8_v2_EQeq,0.0001,0.01,0.19798,0.79192,0.1431105951,0.0045475259,1.9102001153,0.0390243261,2.6540354234,0.1109582720,8.2591614603,0.2140414781,12.9665075941,.3685716021
ZIF-8_v2_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.7253016538,0.0418651418,1.9163419141,0.0291646711,2.6380724017,0.0304622501,8.1455673801,0.2192321661,13.4252833497,.3207242291
ZIF-8_v2_EQeq,0.001,0.01,0.1978,0.7912,1.4538008740,0.0294771141,1.9036555756,0.0573873994,2.6802499270,0.0639410368,8.1573627022,0.2401733414,14.1950690788,.3909788917
ZIF-8_v2_EQeq,0.005,0.01,0.19699999999999998,0.7879999999999999,7.3553386637,0.3223798710,1.9696043989,0.0536326300,2.6150797924,0.0595487048,8.1170406500,0.2002028962,20.0570635050,.6357641020
ZIF-8_v2_EQeq,0.01,0.01,0.196,0.784,14.6504694912,0.3996428360,1.9929633714,0.0495363128,2.5499096579,0.0867850338,7.8569666187,0.1618046045,27.0503091392,.6977687871
ZIF-8_v2_EQeq,0.02,0.01,0.19399999999999998,0.7759999999999999,29.9611974556,0.9498244966,2.0665642719,0.0484922461,2.4838608249,0.0350666863,7.4473355958,0.1604631286,41.9589581482,1.1938465576
ZIF-8_v2_EQeq,0.03,0.01,0.192,0.768,45.6654600593,1.6038760232,2.1833591345,0.0347852522,2.4383881804,0.0275348881,7.2205320654,0.1056059973,57.5077394396,1.7718021608
