,MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MgMOF-74_EQeq,0.0,0.01,0.198,0.792,0.0,0.0,8.1190071002,0.3804268761,2.9043835945,0.0381108168,9.9644241977,0.37257943880000005,20.9878148924,0.7911171317
1,MgMOF-74_EQeq,1e-05,0.01,0.197998,0.791992,72.3258714503,7.0108111036,8.999738560099999,0.332217136,2.9303397060000003,0.0733194537,9.6157184445,0.12107894400000001,93.8716681609,7.5374266373
2,MgMOF-74_EQeq,5e-05,0.01,0.19799,0.79196,0.0,0.0,,,,,,,,
3,MgMOF-74_EQeq,0.0001,0.01,0.19798,0.79192,0.0,0.0,,,,,,,,
4,MgMOF-74_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.0,0.0,,,,,,,,
5,MgMOF-74_EQeq,0.001,0.01,0.1978,0.7912,0.0,0.0,,,,,,,,
6,MgMOF-74_EQeq,0.005,0.01,0.197,0.7879999999999999,0.0,0.0,,,,,,,,
7,MgMOF-74_EQeq,0.01,0.01,0.196,0.784,0.0,0.0,,,,,,,,
8,MgMOF-74_EQeq,0.02,0.01,0.194,0.7759999999999999,0.0,0.0,,,,,,,,
9,MgMOF-74_EQeq,0.03,0.01,0.192,0.768,0.0,0.0,,,,,,,,
10,MgMOF-74_EQeq,0.04,0.01,0.19,0.76,0.0,0.0,,,,,,,,
11,MgMOF-74_EQeq,0.05,0.01,0.188,0.752,0.0,0.0,,,,,,,,
