MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
ZIF-8_v2_EQeq,0.0,0.01,0.198,0.792,0.0000000000,0.0000000000,1.9530920218,0.0466840817,2.6256241737,0.0968381676,8.2269166396,0.3342106024,12.8056328351,.4777328517
ZIF-8_v2_EQeq,1e-05,0.01,0.197998,0.791992,20.8063461475,1.0918900986,2.0740149787,0.0721103065,2.6297247665,0.0798179301,7.9020965468,0.0830387328,33.4121824395,1.3268570680
ZIF-8_v2_EQeq,0.04,0.01,0.19,0.76,293.9755805536,5.0860227871,0.1564648418,0.0392460629,0.1504771084,0.0247668984,0.1753913112,0.0219512633,294.4579138150,5.1719870117
ZIF-8_v2_EQeq,0.05,0.01,0.188,0.752,297.6339458142,2.3747123517,0.1617004736,0.0423759227,0.1193565386,0.0175128418,0.1456465859,0.0187449893,298.0606494123,2.4533461055
ZIF-8_v2_EQeq,5e-05,0.01,0.19799,0.79196,112.4568272695,1.1795978833,2.1907091561,0.1264401209,2.0568133814,0.0369895054,5.7400909319,0.1388116127,122.4444407389,1.4818391223
ZIF-8_v2_EQeq,0.0001,0.01,0.19798,0.79192,160.7836317118,4.7366973671,2.1376480418,0.0558177683,1.6501224518,0.0630125431,4.2788813017,0.1458726966,168.8502835071,5.0014003751
ZIF-8_v2_EQeq,0.0005,0.01,0.1979,0.7916000000000001,236.6162774651,2.9322558771,1.1360314095,0.0527982421,0.7054484003,0.0347903681,1.4651841408,0.0778123941,239.9229414157,3.0976568814
ZIF-8_v2_EQeq,0.001,0.01,0.1978,0.7912,250.0674902885,3.0513248919,0.8608586857,0.1163652925,0.5406192173,0.0580532387,0.9777937391,0.0962929824,252.4467619306,3.3220364055
ZIF-8_v2_EQeq,0.005,0.01,0.19699999999999998,0.7879999999999999,273.8574285757,2.7730209218,0.4138162805,0.0823405727,0.2792796553,0.0223804722,0.4354653425,0.0383615872,274.9859898540,2.9161035539
ZIF-8_v2_EQeq,0.01,0.01,0.196,0.784,281.8527857865,1.6630514282,0.3995189784,0.1174571601,0.2540902999,0.0267325940,0.3552699732,0.0419025191,282.8616650380,1.8491437014
ZIF-8_v2_EQeq,0.02,0.01,0.19399999999999998,0.7759999999999999,290.7412407023,4.7301290976,0.2063040289,0.0991274561,0.1670259291,0.0460965535,0.2045590914,0.0557977325,291.3191297517,4.9311508397
ZIF-8_v2_EQeq,0.03,0.01,0.192,0.768,291.5333483380,1.6217454356,0.1938190608,0.0760076769,0.1588979685,0.0123834492,0.2139825281,0.0676465532,292.1000478954,1.7777831149
