,MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,HKUST-1_v2_EQeq,0.0,0.01,0.198,0.792,0.0,0.0,10.2155213225,0.5364876665,4.057566711000001,0.0758404642,10.6479562875,0.3954201799,24.921044321,1.0077483106
1,HKUST-1_v2_EQeq,1e-05,0.01,0.197998,0.791992,0.005895089,0.0027033455,10.4146489744,0.6004488533,4.041034904,0.11757543869999999,10.8527469435,0.36679847950000005,25.314325910900003,1.0875261170000001
2,HKUST-1_v2_EQeq,5e-05,0.01,0.19799,0.79196,0.0279796761,0.013512145,10.1536917319,0.44683057049999997,4.0651713422,0.1000522661,10.8666408679,0.40637770149999997,25.1134836181,0.9667726831
3,HKUST-1_v2_EQeq,0.0001,0.01,0.19798,0.79192,0.0507681545,0.0071176595,10.0543552206,0.3519735553,4.0299585933,0.119105216,10.8434843273,0.3633652032,24.978566295700002,0.8415616340000001
4,HKUST-1_v2_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.26950235219999996,0.0695807245,10.0359427323,0.44274222700000004,4.0603771182,0.1373927439,10.7300172783,0.2203760352,25.095839481,0.8700917306
5,HKUST-1_v2_EQeq,0.001,0.01,0.1978,0.7912,0.5827339468,0.1281519467,9.9913890567,0.3794382357,4.0817031492,0.1293332615,10.648969386100001,0.3841162065,25.3047955388,1.0210396504
6,HKUST-1_v2_EQeq,0.005,0.01,0.197,0.7879999999999999,2.5874161517,0.1575154201,9.9688849043,0.1740642706,3.9775527651,0.1529991721,10.4103122894,0.41487949259999995,26.944166110500003,0.8994583554000001
7,HKUST-1_v2_EQeq,0.01,0.01,0.196,0.784,4.9420202811000005,0.43509453299999995,9.8320414722,0.5627047849,3.8714185641000003,0.1717927604,10.2231784956,0.0519217976,28.868658813000003,1.2215138759
8,HKUST-1_v2_EQeq,0.02,0.01,0.194,0.7759999999999999,9.425103484400001,0.4268053446,9.3678649137,0.3152893003,3.6786576944,0.10944805390000001,9.7762572618,0.3905321998,32.2478833543,1.2420748986
9,HKUST-1_v2_EQeq,0.03,0.01,0.192,0.768,13.749283244,0.6008440388,8.9177818648,0.21165132190000002,3.5168113039,0.1028942643,9.4441056324,0.1860880553,35.627982045100005,1.1014776803
10,HKUST-1_v2_EQeq,0.04,0.01,0.19,0.76,17.3993991705,1.1650288087,8.3156253008,0.3541197804,3.3445498749,0.1315391743,9.001381521499999,0.0931268359,38.0609558677,1.7438145993
11,HKUST-1_v2_EQeq,0.05,0.01,0.188,0.752,21.0601614518,0.9916217665000001,8.017843081599999,0.3750474397,3.2192387778,0.0840271273,8.7553432775,0.2142351574,41.0525865887,1.6649314909000001
