MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
IRMOF-1_v2_EQeq,0.0,0.01,0.198,0.792,0.0000000000,0.0000000000,0.7382132052,0.0764184456,1.9178996552,0.0910103811,5.9193647165,0.1449202151,8.5754775769,.3123490418
IRMOF-1_v2_EQeq,1e-05,0.01,0.197998,0.791992,0.0008294318,0.0016121256,0.7342846396,0.0814848236,1.9168607063,0.0708087689,5.9232303127,0.2729201815,8.5752050904,.4268258996
IRMOF-1_v2_EQeq,0.04,0.01,0.19,0.76,1.5448167210,0.1646189381,0.7471417636,0.0415637578,1.7947842114,0.1212614041,5.7178989383,0.1747689523,9.8046416343,.5022130523
IRMOF-1_v2_EQeq,0.05,0.01,0.188,0.752,2.1489195461,0.3905362485,0.7332132126,0.0848947687,1.7758233941,0.0691428098,5.5871508316,0.2068076151,10.2451069844,.7513814421
IRMOF-1_v2_EQeq,5e-05,0.01,0.19799,0.79196,0.0027647727,0.0026228936,0.7757131503,0.0592296631,1.8384200649,0.0368277707,5.9257315808,0.1084810032,8.5426295687,.2071613306
IRMOF-1_v2_EQeq,0.0001,0.01,0.19798,0.79192,0.0017971022,0.0014097630,0.7839274240,0.0652310477,1.8664716850,0.0890016040,5.9332353852,0.1836000141,8.5854315964,.3392424288
IRMOF-1_v2_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.0149297723,0.0085036425,0.7696417307,0.0515573029,1.8594587800,0.0487697705,5.8766157703,0.1603457967,8.5206460533,.2691765126
IRMOF-1_v2_EQeq,0.001,0.01,0.1978,0.7912,0.0395362490,0.0168492423,0.7639274533,0.0655976267,1.8786793345,0.1180202042,5.8784348744,0.1596296232,8.5605779112,.3600966964
IRMOF-1_v2_EQeq,0.005,0.01,0.19699999999999998,0.7879999999999999,0.1842720975,0.0370994993,0.7432131979,0.0848587021,1.8407576999,0.1169059900,5.9623410507,0.2288178795,8.7305840460,.4676820709
IRMOF-1_v2_EQeq,0.01,0.01,0.196,0.784,0.3905241375,0.0765148023,0.7657131650,0.0779650796,1.8493290283,0.0610465363,5.9170908364,0.1892797258,8.9226571672,.4048061440
IRMOF-1_v2_EQeq,0.02,0.01,0.19399999999999998,0.7759999999999999,0.7448297533,0.1108001398,0.7271417929,0.0963993254,1.8038750142,0.1193774430,5.8149936192,0.1362097844,9.0908401796,.4627866926
IRMOF-1_v2_EQeq,0.03,0.01,0.192,0.768,1.1565044016,0.1707935930,0.7496417599,0.0665244109,1.7921868392,0.0561657347,5.8052159347,0.1613974413,9.5035489354,.4548811799
