MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-100_EQeq,0.0,0.01,0.198,0.792,0.0000000000,0.0000000000,1.2710751635,0.0747821042,3.1844104669,0.1059618321,9.4680961268,0.2505803379,13.9235817572,.4313242742
NU-100_EQeq,1e-05,0.01,0.197998,0.791992,0.0001811047,0.0002716570,1.2596119172,0.0329615942,3.1709694696,0.0973721858,9.4733093440,0.3037678559,13.9040718355,.4343732929
NU-100_EQeq,0.04,0.01,0.19,0.76,1.0024143191,0.0183617044,1.2387909188,0.0497528125,3.0406428370,0.0282623194,9.0635877095,0.1482023340,14.3454357844,.2445791703
NU-100_EQeq,0.05,0.01,0.188,0.752,1.2870882139,0.0800119661,1.2592025155,0.0404814046,2.9934717419,0.0621238799,8.9692657154,0.1347208250,14.5090281867,.3173380756
NU-100_EQeq,5e-05,0.01,0.19799,0.79196,0.0011092661,0.0008022957,1.2639398775,0.0534363185,3.2012542484,0.0581558856,9.4632925195,0.0923252929,13.9295959115,.2047197927
NU-100_EQeq,0.0001,0.01,0.19798,0.79192,0.0024675511,0.0008518660,1.2807253453,0.0555543880,3.2144400369,0.0601963478,9.4696973292,0.2799420862,13.9673302625,.3965446880
NU-100_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.0131300882,0.0020095682,1.2827723536,0.0527666456,3.2124409013,0.0839719294,9.4744636992,0.2129199371,13.9828070423,.3516680803
NU-100_EQeq,0.001,0.01,0.1978,0.7912,0.0243585774,0.0013910913,1.2695545288,0.0540855607,3.2145676413,0.1304095102,9.4959496015,0.2675436359,14.0044303490,.4534297981
NU-100_EQeq,0.005,0.01,0.19699999999999998,0.7879999999999999,0.1262978655,0.0084223405,1.2707242478,0.0520710242,3.1643340405,0.0740254163,9.4294066077,0.3166604179,13.9907627615,.4511791989
NU-100_EQeq,0.01,0.01,0.196,0.784,0.2526183692,0.0115142196,1.2842929883,0.0447551675,3.1479581418,0.0385238524,9.4031170981,0.1111184966,14.0879865974,.2059117361
NU-100_EQeq,0.02,0.01,0.19399999999999998,0.7759999999999999,0.5080212226,0.0298950952,1.2697299866,0.0371319005,3.1241811876,0.0622527013,9.3101356457,0.1247490862,14.2120680425,.2540287832
NU-100_EQeq,0.03,0.01,0.192,0.768,0.7441364292,0.0269434657,1.2713091073,0.0540640533,3.0840708696,0.0732402353,9.0910315743,0.2039270698,14.1905479804,.3581748241
