MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
ZIF-8_v2_EQeq,0.0,0.01,0.198,0.792,0.0000000000,0.0000000000,1.9186576743,0.0390907717,2.6675820244,0.0316446680,8.3533958271,0.1944069846,12.9396355258,.2651424243
ZIF-8_v2_EQeq,1e-05,0.01,0.197998,0.791992,0.0015199120,0.0007556971,1.8892575882,0.0969163166,2.6976042212,0.1072798080,8.2769185485,0.1238405293,12.8653002699,.3287923510
ZIF-8_v2_EQeq,0.04,0.01,0.19,0.76,7.4469064613,0.5133350446,2.0160202883,0.0583960425,2.5151278445,0.0419741410,7.6061878141,0.2153148298,19.5842424082,.8290200579
ZIF-8_v2_EQeq,0.05,0.01,0.188,0.752,9.5729516259,0.1139733554,2.0151141212,0.0586655412,2.4561818239,0.0778413091,7.4900295334,0.2350502710,21.5342771044,.4855304767
ZIF-8_v2_EQeq,5e-05,0.01,0.19799,0.79196,0.0077554486,0.0026706556,1.9022459824,0.0691865037,2.6821537736,0.0593860470,8.2438403626,0.1037284852,12.8359955672,.2349716915
ZIF-8_v2_EQeq,0.0001,0.01,0.19798,0.79192,0.0153160367,0.0029639303,1.9091932630,0.0517901942,2.6613579104,0.0731252166,8.2510842289,0.1243257820,12.8369514390,.2522051231
ZIF-8_v2_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.0759956019,0.0069409743,1.9077836699,0.0168911284,2.6442965157,0.0717523027,8.2450583578,0.1847210570,12.8731341453,.2803054624
ZIF-8_v2_EQeq,0.001,0.01,0.1978,0.7912,0.1582267404,0.0100695952,1.9227857686,0.0874249305,2.6719022918,0.0463424926,8.2224933938,0.0881031440,12.9754081946,.2319401623
ZIF-8_v2_EQeq,0.005,0.01,0.19699999999999998,0.7879999999999999,0.8350552626,0.0162333665,1.9042596870,0.0369425607,2.6296515416,0.0877728899,8.2180701480,0.1863454947,13.5870366392,.3272943118
ZIF-8_v2_EQeq,0.01,0.01,0.196,0.784,1.6809057979,0.0758751526,1.9307399015,0.0909013079,2.6163246152,0.0654484530,8.0342810803,0.0898659893,14.2622513949,.3220909028
ZIF-8_v2_EQeq,0.02,0.01,0.19399999999999998,0.7759999999999999,3.4333254058,0.1550254436,1.9942722794,0.0892927542,2.5742935397,0.0611651685,7.9297899117,0.1277038763,15.9316811366,.4331872426
ZIF-8_v2_EQeq,0.03,0.01,0.192,0.768,5.2046854560,0.2945413922,2.0039380611,0.0516097974,2.5433194195,0.0844147789,7.8453636117,0.1469023929,17.5973065483,.5774683614
