,MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,IRMOF-1_v2_EQeq,0.0,0.01,0.198,0.792,0.0,0.0,0.7607131723,0.0904353221,1.8493290283000001,0.08435663619999999,5.8868482308,0.1126743735,8.4968904314,0.2874663318
1,IRMOF-1_v2_EQeq,1e-05,0.01,0.197998,0.791992,0.0003242616,0.0012970465,0.7514274716,0.1017297857,1.8586795683000001,0.06586067400000001,5.911860912100001,0.21248019629999998,8.5222922136,0.3813677025
2,IRMOF-1_v2_EQeq,5e-05,0.01,0.19799,0.79196,0.0006485232,0.0015885510000000001,0.7492846176000001,0.1109695889,1.87348459,0.0835789021,6.020779769600001,0.1814128861,8.644197500399999,0.37754992810000004
3,IRMOF-1_v2_EQeq,0.0001,0.01,0.19798,0.79192,0.0029183545,0.0055788078,0.7414274862000001,0.0631405022,1.9277696696000002,0.0602814227,5.8968533033,0.1771327798,8.5689688136,0.3061335125
4,IRMOF-1_v2_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.0071337555,0.0025940929,0.754998895,0.1057623825,1.8654327361,0.1060873151,5.9612041106,0.16847840530000002,8.5887694972,0.3829221958
5,IRMOF-1_v2_EQeq,0.001,0.01,0.1978,0.7912,0.0136189879,0.0063542040000000004,0.7535703256,0.0545388035,1.9171204435,0.1353667081,5.8336394361,0.10147723439999999,8.5179491931,0.29773695
6,IRMOF-1_v2_EQeq,0.005,0.01,0.197,0.7879999999999999,0.0515575969,0.013818263300000001,0.7239275118999999,0.0703706354,1.8755624878000001,0.1514194498,5.8959437513,0.2709198143,8.546991347899999,0.5065281628
7,IRMOF-1_v2_EQeq,0.01,0.01,0.196,0.784,0.10797911800000001,0.0214699392,0.7446417673000001,0.0964152019,1.8747832761,0.1741719655,5.8991271835,0.2069885479,8.6265313449,0.49904565450000005
8,IRMOF-1_v2_EQeq,0.02,0.01,0.194,0.7759999999999999,0.2179038057,0.0403754543,0.7446417673000001,0.047862403,1.8807572323,0.0787719238,5.772472061,0.1242079825,8.6157748663,0.2912177636
9,IRMOF-1_v2_EQeq,0.03,0.01,0.192,0.768,0.3193976914,0.039607730099999995,0.7503560445999999,0.0755049914,1.8314071599000001,0.0631839825,5.8008955625,0.2618475389,8.7020564584,0.4401442429
10,IRMOF-1_v2_EQeq,0.04,0.01,0.19,0.76,0.44553545990000004,0.0337855085,0.7528560409,0.0460478225,1.8015373791999998,0.149491352,5.7736090011000005,0.2124607281,8.7735378811,0.44178541109999997
11,IRMOF-1_v2_EQeq,0.05,0.01,0.188,0.752,0.5502719618,0.058352677400000004,0.7399989169,0.0474663526,1.8033555397999999,0.09597773650000001,5.6765143202,0.1387730237,8.7701407387,0.34056979020000006
