,MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,NU-100_EQeq,0.0,0.01,0.198,0.792,0.0,0.0,1.2782104494,0.058755534299999995,3.2109096484,0.1226677134,9.413729718899999,0.21148713530000002,13.902849816700002,0.392910383
1,NU-100_EQeq,1e-05,0.01,0.197998,0.791992,0.0003186082,0.0006192631,1.2744088626999999,0.0386343864,3.2257968289999996,0.0557406527,9.4406150247,0.1608697114,13.9411393246,0.2558640136
2,NU-100_EQeq,5e-05,0.01,0.19799,0.79196,0.0010089261,0.0007044692999999999,1.2634719899,0.07101706969999999,3.1960650025999997,0.09133203529999999,9.4985189729,0.1422976981,13.9590648915,0.3053512724
3,NU-100_EQeq,0.0001,0.01,0.19798,0.79192,0.001699244,0.0011921229,1.2877436594,0.0656488578,3.2279661039,0.0608488549,9.57645657,0.16218535369999998,14.0938655773,0.2898751893
4,NU-100_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.0092396391,0.0027159679,1.2758125255,0.069371734,3.2078896775,0.0619991099,9.446051665499999,0.09674141300000001,13.9389935076,0.2308282248
5,NU-100_EQeq,0.001,0.01,0.1978,0.7912,0.0168331357,0.0037186131,1.2765728428,0.0375671063,3.2279661039,0.0857398636,9.414846836799999,0.3007175527,13.9362189192,0.4277431357
6,NU-100_EQeq,0.005,0.01,0.197,0.7879999999999999,0.0975472248,0.0074007391,1.3120153289,0.025743386899999998,3.2060181462,0.1260912327,9.5261862613,0.2126958456,14.141766961199998,0.3719312043
7,NU-100_EQeq,0.01,0.01,0.196,0.784,0.19164286030000002,0.009459797800000001,1.2754616098,0.0596563576,3.1799017779,0.0553854733,9.364576528099999,0.3097017277,14.0115827761,0.4342033564
8,NU-100_EQeq,0.02,0.01,0.194,0.7759999999999999,0.37749767079999996,0.019061544399999998,1.269262099,0.054569115700000004,3.1459164713,0.0394574427,9.2374857403,0.1508278244,14.030161981400001,0.2639159272
9,NU-100_EQeq,0.03,0.01,0.192,0.768,0.560909818,0.011549274299999999,1.2448734576,0.036546934100000004,3.0837305912,0.0689611797,9.2520827484,0.2107851072,14.1415966152,0.32784249530000004
10,NU-100_EQeq,0.04,0.01,0.19,0.76,0.7572787006,0.034810209,1.2816026346,0.07883819360000001,3.1004893031,0.1077165952,9.1095757326,0.048147309400000005,14.248946370899999,0.26951230719999997
11,NU-100_EQeq,0.05,0.01,0.188,0.752,0.9366020420000001,0.027813362400000003,1.2575064229000001,0.035236317,3.0194605057999997,0.0621832617,8.9877353992,0.30339697449999997,14.2013043699,0.4286299156
