,MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,HKUST-1_v2_EQeq,0.0,0.02,0.196,0.784,0.0,0.0,17.5050481976,1.0453238598,3.7080843109,0.2014738312,9.7937693956,0.3931447247,31.006901904099998,1.6399424157
1,HKUST-1_v2_EQeq,1e-05,0.02,0.195998,0.783992,8.28815e-05,0.000331526,17.3693413389,0.7906426464,3.6457593985,0.183470587,9.912736123,0.2999959218,30.927919741900002,1.2744406812
2,HKUST-1_v2_EQeq,5e-05,0.02,0.19599,0.78396,0.0030666154999999997,0.000663052,17.5536935373,0.8275310602,3.5994703389,0.0720498559,9.762218609,0.326630629,30.918449100700002,1.2268745971
3,HKUST-1_v2_EQeq,0.0001,0.02,0.19598,0.78392,0.0045584825,0.003851984,17.3618399548,0.7361466914,3.6698958367000003,0.0738836769,9.9396556015,0.2306311087,30.975949875500003,1.044513461
4,HKUST-1_v2_EQeq,0.0005,0.02,0.1959,0.7836000000000001,0.0206374934,0.007233043299999999,17.9883191885,0.3783963889,3.6798149208999997,0.1257174087,9.7970981483,0.2149956508,31.4858697511,0.7263424917
5,HKUST-1_v2_EQeq,0.001,0.02,0.1958,0.7832,0.0433470242,0.0028033067,17.7428193437,0.6541173105,3.6943629111000003,0.1308818055,9.8157681092,0.183234587,31.296297388200003,0.9710370097
6,HKUST-1_v2_EQeq,0.005,0.02,0.195,0.78,0.2056290002,0.0124532039,17.0742868958,0.40836901950000004,3.6255905939999997,0.163410536,9.6522250411,0.1488004822,30.5577315311,0.7330332415999999
7,HKUST-1_v2_EQeq,0.01,0.02,0.194,0.7759999999999999,0.4230271734,0.0204863217,17.5589217747,0.6350229715,3.5819466235000004,0.19774031530000002,9.5652432854,0.18892326140000001,31.129138856999997,1.0421728699
8,HKUST-1_v2_EQeq,0.02,0.02,0.192,0.768,0.8176259925,0.04227443980000001,16.85015463,0.9216555687000001,3.5358228819,0.1135849438,9.501273342000001,0.1188550475,30.704876846399998,1.1963699998000001
9,HKUST-1_v2_EQeq,0.03,0.02,0.19,0.76,1.2148770195,0.0280065895,16.9635846509,0.5942744622,3.5235893447000004,0.1328787116,9.3406248415,0.2600707355,31.0426758566,1.0152304988
10,HKUST-1_v2_EQeq,0.04,0.02,0.188,0.752,1.6375726669,0.0862072784,16.5628288856,0.7641081828,3.4667199287,0.1146168194,9.2909830075,0.1374855612,30.9581044887,1.1024178418000001
11,HKUST-1_v2_EQeq,0.05,0.02,0.18600000000000005,0.7440000000000001,1.9664464569,0.1538387801,16.7405889585,1.0061934416,3.3519891881,0.1053137093,9.0762060934,0.31711649059999997,31.1352306969,1.5824624216
