MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
IRMOF-1_v2_EQeq,0.0,0.02,0.196,0.784,0.0000000000,0.0000000000,1.4678549944,0.1415834019,1.8072515981,0.0692792748,5.8772979343,0.1789449746,9.1524045268,.3898076513
IRMOF-1_v2_EQeq,1e-05,0.02,0.195998,0.783992,0.0001302181,0.0005208725,1.4707121331,0.0656831263,1.8249137293,0.0661876497,5.9198194925,0.2754659122,9.2155755730,.4078575607
IRMOF-1_v2_EQeq,0.04,0.02,0.188,0.752,0.3885709105,0.0302756460,1.4599978631,0.0391620860,1.7701091752,0.0931729228,5.6128456769,0.1004571309,9.2315236257,.2630677857
IRMOF-1_v2_EQeq,0.05,0.02,0.18600000000000003,0.7440000000000001,0.4577167394,0.0283265598,1.4992835199,0.2349833724,1.7456938763,0.0737470777,5.5603190463,0.1401610554,9.2630131819,.4772180653
IRMOF-1_v2_EQeq,5e-05,0.02,0.19599,0.78396,0.0005208725,0.0009744633,1.4285693377,0.1392580352,1.8158229265,0.1081754864,5.8563782373,0.1242046522,9.1012913740,.3726126371
IRMOF-1_v2_EQeq,0.0001,0.02,0.19598,0.78392,0.0009115269,0.0013279696,1.4653549981,0.1389205640,1.8145242404,0.0470231987,5.9264137448,0.2866698256,9.2072045102,.4739415579
IRMOF-1_v2_EQeq,0.0005,0.02,0.1959,0.7836000000000001,0.0042971984,0.0029233898,1.5103549322,0.1113551243,1.8225760943,0.0589689306,5.8265904078,0.1453818727,9.1638186327,.3186293174
IRMOF-1_v2_EQeq,0.001,0.02,0.1958,0.7832,0.0100267963,0.0052476454,1.4860692535,0.1442678217,1.8051737003,0.0569766620,5.9066309878,0.0759952371,9.2079007379,.2824873662
IRMOF-1_v2_EQeq,0.005,0.02,0.195,0.78,0.0489620182,0.0090742514,1.5067835089,0.1958026131,1.8155631893,0.1288464188,5.9448321738,0.1721157524,9.3161408902,.5058390357
IRMOF-1_v2_EQeq,0.01,0.02,0.19399999999999998,0.7759999999999999,0.0916735660,0.0165002356,1.4939263849,0.0971689719,1.8410174371,0.0784148354,5.7870248938,0.2222315049,9.2136422818,.4143155478
IRMOF-1_v2_EQeq,0.02,0.02,0.192,0.768,0.1901184750,0.0108010428,1.4432121734,0.0339867424,1.7695897008,0.0761451023,5.7697434049,0.3133515706,9.1726637541,.4342844581
IRMOF-1_v2_EQeq,0.03,0.02,0.19,0.76,0.2912979647,0.0087002866,1.5107120746,0.1749341340,1.7999789559,0.0652142187,5.7135785660,0.2494088900,9.3155675612,.4982575293
