,MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MgMOF-74_EQeq,0.0,0.02,0.196,0.784,0.0,0.0,16.0204750406,0.7787037878,2.8301774977,0.1039429815,9.652228149299999,0.2515726391,28.5028806876,1.1342194084000001
1,MgMOF-74_EQeq,1e-05,0.02,0.195998,0.783992,0.0002065553,0.00026764759999999997,16.237321801500002,0.8283544545999999,2.8518762577,0.08259676190000001,9.777908099,0.25866928629999997,28.8673127135,1.1698881504
2,MgMOF-74_EQeq,5e-05,0.02,0.19599,0.78396,0.0011475295,0.0003840368,16.169151978,0.44001721520000003,2.8592922895,0.0702264568,9.7735798354,0.10220488720000001,28.803171632399998,0.6128325960000001
3,MgMOF-74_EQeq,0.0001,0.02,0.19598,0.78392,0.0023639107,0.0009134219000000001,16.1954001926,0.7824756359,2.8562251652999997,0.0606087936,9.765444302899999,0.1547134107,28.8194335715,0.9987112620999999
4,MgMOF-74_EQeq,0.0005,0.02,0.1959,0.7836000000000001,0.0105802218,0.0041219157,16.0719643441,0.9690186095000001,2.8754976925,0.0608701794,9.695831397200001,0.2037994757,28.653873655599998,1.2378101803000001
5,MgMOF-74_EQeq,0.001,0.02,0.1958,0.7832,0.0223079731,0.0029980182,15.746851565999998,0.8791878739,2.8493584691000002,0.0748772069,9.6860527276,0.38466944329999997,28.3045707358,1.3417325423
6,MgMOF-74_EQeq,0.005,0.02,0.195,0.78,0.11069069349999999,0.0097852443,16.1225724125,0.3894911912,2.8306352775,0.0789398133,9.6252967315,0.18960022420000003,28.689195115,0.667816473
7,MgMOF-74_EQeq,0.01,0.02,0.194,0.7759999999999999,0.2253747895,0.0087513701,15.8800439452,1.0055423324,2.8247756967,0.0362374236,9.6264188739,0.21744741260000003,28.5566133053,1.2679785387
8,MgMOF-74_EQeq,0.02,0.02,0.192,0.768,0.4515987509,0.0081293049,15.965838469200001,0.5529283694,2.7929600044,0.043507286799999996,9.4477978485,0.308997194,28.658195073,0.9135621551
9,MgMOF-74_EQeq,0.03,0.02,0.19,0.76,0.6804849806000001,0.014303208100000001,15.8707280321,0.4051626063,2.7708492426999998,0.0520989553,9.418341610299999,0.1755904636,28.740403865700003,0.6471552333
10,MgMOF-74_EQeq,0.04,0.02,0.188,0.752,0.9006040851,0.0270448719,15.968796901,0.7374243254,2.7346388649,0.0621701974,9.2980719901,0.2007057457,28.9021118411,1.0273451404
11,MgMOF-74_EQeq,0.05,0.02,0.18600000000000005,0.7440000000000001,1.1188412413,0.030101165899999997,15.9899465416,0.6402410546,2.7084538634,0.0509169625,9.1705885973,0.1885431306,28.9878302436,0.9098023136
