,MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,IRMOF-1_v2_EQeq,0.0,0.02,0.196,0.784,0.0,0.0,1.4846406842,0.1933667678,1.86880932,0.12072612949999999,5.8643368177,0.18882791170000002,9.2177868219,0.502920809
1,IRMOF-1_v2_EQeq,1e-05,0.02,0.195998,0.783992,0.0,0.0,1.4867835381999999,0.17981823940000002,1.8773806484,0.1070369501,5.8668380858,0.2056543237,9.2310022724,0.4925095132
2,IRMOF-1_v2_EQeq,5e-05,0.02,0.19599,0.78396,0.0,0.0,1.4828549725,0.1598242872,1.8615366777000002,0.0856518692,5.869566742000001,0.1356315643,9.2139583922,0.3811077207
3,IRMOF-1_v2_EQeq,0.0001,0.02,0.19598,0.78392,0.0,0.0,1.5060692241999998,0.0401272896,1.8646535244,0.1030787058,5.8852565147,0.1479707284,9.2559792633,0.2911767238
4,IRMOF-1_v2_EQeq,0.0005,0.02,0.1959,0.7836000000000001,9.81785e-05,0.0001224501,1.4546407281,0.0700800265,1.8436148094,0.0769032749,5.9368735934000005,0.2351961602,9.2352273094,0.3823019117
5,IRMOF-1_v2_EQeq,0.001,0.02,0.1958,0.7832,8.18154e-05,0.0001792486,1.527140622,0.0806667454,1.8430953349,0.1039520157,5.9275506849,0.1622384381,9.2978684572,0.34703644780000004
6,IRMOF-1_v2_EQeq,0.005,0.02,0.195,0.78,0.0008836066,0.000317292,1.4964263812,0.0611537813,1.8433550721,0.12547861970000002,5.8536495811,0.1375094102,9.194314641,0.3244591032
7,IRMOF-1_v2_EQeq,0.01,0.02,0.194,0.7759999999999999,0.0019799332,0.0008621343,1.4957120965000001,0.1619804874,1.8095892331,0.1207663574,5.8147662312,0.1608107567,9.122047494,0.4444197358
8,IRMOF-1_v2_EQeq,0.02,0.02,0.192,0.768,0.0038125986999999997,0.0009796009,1.4917835308,0.1235237572,1.7862128831,0.12039709859999999,5.8300012278999995,0.2057699437,9.111810240499999,0.4506704004
9,IRMOF-1_v2_EQeq,0.03,0.02,0.19,0.76,0.0048925623,0.0004558228,1.529283476,0.09301072560000001,1.7960828975,0.09476671960000001,5.7019817774,0.13382629669999999,9.0322407132,0.32205956469999997
10,IRMOF-1_v2_EQeq,0.04,0.02,0.188,0.752,0.0071833942,0.0007772035,1.5017835162,0.1300115831,1.7311485918,0.082283834,5.6771964842,0.3296501967,8.9173119864,0.5427228172999999
11,IRMOF-1_v2_EQeq,0.05,0.02,0.18600000000000005,0.7440000000000001,0.008688798000000001,0.0011908009,1.4928549579,0.058727927699999995,1.7280317450999998,0.0243433507,5.547812705599999,0.1739041154,8.7773882066,0.25816619469999996
