,MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MOF-177_EQeq,0.0,0.02,0.196,0.784,0.0,0.0,1.7441367503999998,0.0568938925,2.487269774,0.0762224799,8.0030359345,0.1546089933,12.2344424589,0.2877253657
1,MOF-177_EQeq,1e-05,0.02,0.195998,0.783992,0.0,0.0,1.6991205904,0.127005711,2.4921457491999996,0.1028788556,8.0289529953,0.1856252738,12.2202193349,0.4155098404
2,MOF-177_EQeq,5e-05,0.02,0.19599,0.78396,2.19414e-05,5.37452e-05,1.6919371606,0.10048132230000001,2.5485677479,0.096563254,8.0313922481,0.2523632176,12.271919098,0.4494615391
3,MOF-177_EQeq,0.0001,0.02,0.19598,0.78392,6.58242e-05,0.0001755312,1.7328827104,0.1003465691,2.5226205941999997,0.0900931865,8.0676761333,0.1816624198,12.3232452621,0.3722777066
4,MOF-177_EQeq,0.0005,0.02,0.1959,0.7836000000000001,8.77656e-05,8.77656e-05,1.7024728576,0.100761669,2.5308052668000003,0.10989779570000001,8.022549956699999,0.1413188632,12.2559158467,0.3520660935
5,MOF-177_EQeq,0.001,0.02,0.1958,0.7832,0.00018650189999999998,5.37452e-05,1.7678420686,0.2151652738,2.5379450876,0.11967190330000001,8.041454165800001,0.1846148394,12.3474278239,0.5195057617000001
6,MOF-177_EQeq,0.005,0.02,0.195,0.78,0.0011519238,0.0003102983,1.6560200117,0.0434556272,2.4877921999,0.1131649511,7.9943460964,0.1276557666,12.139310231800001,0.2845866432
7,MOF-177_EQeq,0.01,0.02,0.194,0.7759999999999999,0.0025561737,0.000540133,1.8016041886,0.0564893518,2.5187894708000003,0.09991804380000001,8.0525832567,0.1905361307,12.3755330898,0.34748365929999997
8,MOF-177_EQeq,0.02,0.02,0.192,0.768,0.0049697283,0.0007230683,1.7592219529,0.1410312158,2.4726418485,0.0411417548,7.919948886499999,0.36547351829999997,12.156782416199999,0.5483695572
9,MOF-177_EQeq,0.03,0.02,0.19,0.76,0.0077672574,0.0005220026,1.7953785494999999,0.2284516397,2.4426894294,0.08375196929999999,7.9289436311,0.18747764309999998,12.1747788674,0.5002032546999999
10,MOF-177_EQeq,0.04,0.02,0.188,0.752,0.0100381928,0.0019759451000000003,1.7958574448,0.13832532949999998,2.4735125583,0.1735782318,7.7653612412,0.2184808436,12.044769437100001,0.53236035
11,MOF-177_EQeq,0.05,0.02,0.18600000000000005,0.7440000000000001,0.012583395800000001,0.0017629751999999998,1.7304882338,0.1347101121,2.3759930545,0.0836780711,7.6089441564,0.18491271739999998,11.7280088405,0.4050638758
