,MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,NU-125_v2_EQeq,0.0,0.02,0.196,0.784,0.0,0.0,5.200342968,0.1327531568,3.5253968567,0.1110673237,10.557640017999999,0.30422774,19.2833798427,0.5480482205
1,NU-125_v2_EQeq,1e-05,0.02,0.195998,0.783992,0.0,0.0,5.2518215462999995,0.267037023,3.5223641223000004,0.110229566,10.519920427899999,0.11286655109999999,19.294106096500002,0.4901331401
2,NU-125_v2_EQeq,5e-05,0.02,0.19599,0.78396,1.97646e-05,5.27057e-05,5.270227295,0.1993236077,3.5155666142000004,0.05885597730000001,10.569358725599999,0.2226914299,19.3551723994,0.48092372060000005
3,NU-125_v2_EQeq,0.0001,0.02,0.19598,0.78392,1.3176400000000001e-05,5.27057e-05,5.282018477699999,0.2177125239,3.5671230987,0.0948231873,10.576499813,0.183038327,19.4256545658,0.4956267439
4,NU-125_v2_EQeq,0.0005,0.02,0.1959,0.7836000000000001,0.00010541129999999999,7.683109999999999e-05,5.3408305964,0.1625928174,3.5618942463,0.0577659228,10.6216351477,0.082117147,19.524465401700002,0.30255271829999997
5,NU-125_v2_EQeq,0.001,0.02,0.1958,0.7832,0.0002239991,0.0001277501,5.2610244206,0.3404541232,3.5491358464999996,0.0825154657,10.4435657238,0.36283528340000004,19.25394999,0.7859326224
6,NU-125_v2_EQeq,0.005,0.02,0.195,0.78,0.0009816431,0.0003665792,5.3179672055000005,0.15436529400000001,3.5806135379,0.057967766,10.6287762352,0.1547999263,19.5283386217,0.36749956549999996
7,NU-125_v2_EQeq,0.01,0.02,0.194,0.7759999999999999,0.0020621094,0.0004651108,5.1989050189,0.2887264323,3.5177627322000005,0.13673080070000002,10.4960252507,0.19981005219999998,19.2147551112,0.625732396
8,NU-125_v2_EQeq,0.02,0.02,0.192,0.768,0.0042296301,0.0008706412,5.1376483867000005,0.1444932094,3.4466503397,0.12360033779999999,10.3510977966,0.2185558173,18.9396261531,0.4875200057
9,NU-125_v2_EQeq,0.03,0.02,0.19,0.76,0.0065684443,0.0005930852,5.2109837914999995,0.23925399190000002,3.4503105364,0.0804729726,10.2326289871,0.2586517259,18.9004917593,0.5789717756
10,NU-125_v2_EQeq,0.04,0.02,0.188,0.752,0.0082550258,0.0010725636,5.3089081261,0.1973566169,3.4179962286000003,0.0642051975,10.2265865285,0.34615507170000004,18.961745909,0.6087894497
11,NU-125_v2_EQeq,0.05,0.02,0.18600000000000005,0.7440000000000001,0.0104423111,0.0015523587,5.2476514939,0.19931945829999997,3.3516943802999997,0.07297949570000001,10.0701234716,0.05372371150000001,18.6799116569,0.3275750242
