,MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,ZIF-8_v2_EQeq,0.0,0.02,0.196,0.784,0.0,0.0,3.8079152625,0.1270885286,2.6107595250999998,0.0473315955,8.1298616523,0.23709094390000002,14.5485364399,0.411511068
1,ZIF-8_v2_EQeq,1e-05,0.02,0.195998,0.783992,0.0,0.0,3.8010686672000005,0.11443016619999999,2.6185213613,0.0361733824,8.1887100528,0.2328219177,14.608300081300001,0.3834254663
2,ZIF-8_v2_EQeq,5e-05,0.02,0.19599,0.78396,0.0,0.0,3.8843353494,0.046726624,2.6262099727,0.0519019203,8.146528955299999,0.22194536260000003,14.6570742774,0.32057390690000004
3,ZIF-8_v2_EQeq,0.0001,0.02,0.19598,0.78392,9.2261e-06,2.25993e-05,3.8154666544999998,0.11761654949999999,2.6128830463,0.0555942196,8.1237716762,0.2005703927,14.5521306031,0.3738037611
4,ZIF-8_v2_EQeq,0.0005,0.02,0.1959,0.7836000000000001,3.22915e-05,3.69045e-05,3.815668025,0.1153636544,2.5870346671,0.06302615639999999,8.129669337300001,0.1986827665,14.5324043209,0.3771094818
5,ZIF-8_v2_EQeq,0.001,0.02,0.1958,0.7832,8.76482e-05,6.11992e-05,3.8154666544999998,0.0907999893,2.6013867417,0.0489159672,8.0343451853,0.212477083,14.4512862297,0.3522542387
6,ZIF-8_v2_EQeq,0.005,0.02,0.195,0.78,0.0005443417,0.0002308377,3.8211050272000002,0.1543388594,2.6038031624,0.0745634871,8.028511629299999,0.0491514489,14.4539641606,0.2782846331
7,ZIF-8_v2_EQeq,0.01,0.02,0.194,0.7759999999999999,0.0010656181,0.0001807945,3.8262399738,0.1265122591,2.5988238712,0.066166116,7.9950488133,0.22579332079999997,14.421178276400001,0.41865249039999997
8,ZIF-8_v2_EQeq,0.02,0.02,0.192,0.768,0.0019421005,0.0002516553,3.8137550057,0.1357445974,2.5470538878999998,0.035670058399999996,7.9217767853,0.1045025732,14.284527779400001,0.2761688843
9,ZIF-8_v2_EQeq,0.03,0.02,0.19,0.76,0.00304001,0.000498894,3.8458735929000003,0.1080153061,2.5231825802000003,0.0906860973,7.8438250914,0.21883103629999998,14.215921274500001,0.41803133369999995
10,ZIF-8_v2_EQeq,0.04,0.02,0.188,0.752,0.0039257185,0.0003530125,3.8244276397,0.11785488529999999,2.514834945,0.0509329375,7.7785020848,0.23018930469999999,14.121690388,0.39933014
11,ZIF-8_v2_EQeq,0.05,0.02,0.18600000000000005,0.7440000000000001,0.0052035376000000005,0.00038107379999999995,3.8152652841,0.1439743817,2.5109540269,0.0762979255,7.754719125499999,0.3718988908,14.0861419741,0.5925522718
