MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MOF-177_EQeq,0.0,0.02,0.196,0.784,0.0000000000,0.0000000000,1.7403055878,0.1024276372,2.5248844398,0.1127192341,8.0037982010,0.1634822629,12.2689882286,.3786291342
MOF-177_EQeq,1e-05,0.02,0.195998,0.783992,0.0012983106,0.0009086281,1.6960077708,0.0826507282,2.5661560870,0.0971293919,7.9130884880,0.0979410114,12.1765506564,.2786297596
MOF-177_EQeq,0.04,0.02,0.188,0.752,4.8367634185,0.2864715922,1.7271359666,0.0935575660,2.4454757009,0.0504302641,7.6777005943,0.1734739020,16.6870756803,.6039333243
MOF-177_EQeq,0.05,0.02,0.18600000000000003,0.7440000000000001,6.1892321220,0.3579310664,1.7707154405,0.1056612822,2.4446049911,0.0664994356,7.6563571324,0.1113781693,18.0609096860,.6414699535
MOF-177_EQeq,5e-05,0.02,0.19599,0.78396,0.0061206071,0.0038191217,1.7051067819,0.0355932321,2.5170480511,0.1307034975,8.0138601187,0.1041219202,12.2421355588,.2742377715
MOF-177_EQeq,0.0001,0.02,0.19598,0.78392,0.0127976331,0.0039606183,1.7139663453,0.1019788437,2.5351588161,0.0565422649,8.0684383998,0.2490592364,12.3303611943,.4115409633
MOF-177_EQeq,0.0005,0.02,0.1959,0.7836000000000001,0.0647300573,0.0128713412,1.7376716636,0.1213846131,2.5196601807,0.1661551688,8.0234646765,0.1085458925,12.3455265781,.4089570156
MOF-177_EQeq,0.001,0.02,0.1958,0.7832,0.1131384955,0.0146980725,1.7161213742,0.1010298884,2.5450849085,0.1178672313,8.0353560339,0.1542646601,12.4097008121,.3878598523
MOF-177_EQeq,0.005,0.02,0.195,0.78,0.6011178096,0.0523993071,1.7678420686,0.1635173321,2.5525730132,0.0893237981,7.9917543903,0.0955452934,12.9132872817,.4007857307
MOF-177_EQeq,0.01,0.02,0.19399999999999998,0.7759999999999999,1.1957440662,0.0303087987,1.7283332049,0.0781729684,2.5311535508,0.0364119160,7.9690388488,0.2088612423,13.4242696707,.3537549254
MOF-177_EQeq,0.02,0.02,0.192,0.768,2.4519523120,0.1282153410,1.7673631733,0.0480186595,2.4846576445,0.0495567786,7.8879336937,0.1458652260,14.5919068235,.3716560051
MOF-177_EQeq,0.03,0.02,0.19,0.76,3.5838936857,0.0720494948,1.7640109061,0.1373235979,2.4684624411,0.0938558990,7.8446369567,0.1305641241,15.6610039896,.4337931158
