MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-100_EQeq,0.0,0.02,0.196,0.784,0.0000000000,0.0000000000,2.5298682773,0.1255034912,3.1852186281,0.1308433002,9.3280467705,0.1430259284,15.0431336759,.3993727198
NU-100_EQeq,1e-05,0.02,0.195998,0.783992,0.0039413116,0.0011673620,2.5535550873,0.1405023901,3.1313695691,0.0593328620,9.3976804573,0.1261578778,15.0865464253,.3271604919
NU-100_EQeq,0.04,0.02,0.188,0.752,13.2011288011,0.6058247383,2.1838653938,0.0776696947,2.8467692107,0.0915799470,8.5357494681,0.2313450836,26.7675128737,1.0064194636
NU-100_EQeq,0.05,0.02,0.18600000000000003,0.7440000000000001,15.6840192136,0.6346504792,2.1695363359,0.0254101095,2.7937708477,0.0290430168,8.3830766787,0.1926148672,29.0304030759,.8817184727
NU-100_EQeq,5e-05,0.02,0.19599,0.78396,0.0192082313,0.0024547064,2.5366526476,0.0951324641,3.1257549753,0.0837953299,9.2976983989,0.1202708574,14.9793142531,.3016533578
NU-100_EQeq,0.0001,0.02,0.19598,0.78392,0.0402285600,0.0055454322,2.5378223666,0.0740983526,3.1475753286,0.0661336153,9.3853549224,0.1199078349,15.1109811776,.2656852350
NU-100_EQeq,0.0005,0.02,0.1959,0.7836000000000001,0.2056277407,0.0108929508,2.5201596095,0.0855407763,3.0938538740,0.0659970181,9.2978473480,0.2084172922,15.1174885722,.3708480374
NU-100_EQeq,0.001,0.02,0.1958,0.7832,0.4075859843,0.0194211691,2.5158316492,0.0930859714,3.1412376431,0.0913904140,9.4193897833,0.2472910414,15.4840450599,.4511885959
NU-100_EQeq,0.005,0.02,0.195,0.78,1.9581070356,0.1397421362,2.4556496061,0.0651918732,3.0850491700,0.1128245538,9.1879229396,0.1995518630,16.6867287513,.5173104262
NU-100_EQeq,0.01,0.02,0.19399999999999998,0.7759999999999999,3.7893672605,0.1482200882,2.3989767200,0.1084327631,3.0349857084,0.0478992484,8.9679996484,0.0420984705,18.1913293373,.3466505702
NU-100_EQeq,0.02,0.02,0.192,0.768,7.2420921458,0.5860235103,2.3334139694,0.0574218863,2.9649734247,0.0349289203,8.8211358725,0.2508904266,21.3616154124,.9292647435
NU-100_EQeq,0.03,0.02,0.19,0.76,10.2887260270,0.4269878239,2.2363857774,0.0693147101,2.9155479851,0.0383530908,8.6519297371,0.1537213503,24.0925895266,.6883769751
