MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
HKUST-1_v2_EQeq,0.0,0.02,0.196,0.784,0.0000000000,0.0000000000,17.3697959683,0.4530595247,3.6121998303,0.1237436399,9.7876908037,0.4019527901,30.7696866023,.9787559547
HKUST-1_v2_EQeq,1e-05,0.02,0.195998,0.783992,0.0040473745,0.0014077824,17.8319266948,0.5190871746,3.6434449455,0.0787261244,9.7955061362,0.2134232807,31.2749251510,.8126443621
HKUST-1_v2_EQeq,0.04,0.02,0.188,0.752,17.2294974264,1.1739487350,14.9411660215,0.4461009737,3.2040295154,0.0711398059,8.4987398618,0.2440973580,43.8734328251,1.9352868726
HKUST-1_v2_EQeq,0.05,0.02,0.18600000000000003,0.7440000000000001,20.9801818115,1.1219939167,14.5881463371,0.4615717176,3.0140790529,0.1475193082,8.1327217918,0.2149742159,46.7151289933,1.9460591584
HKUST-1_v2_EQeq,5e-05,0.02,0.19599,0.78396,0.0265718937,0.0075606896,17.3404723757,0.8926718625,3.6814681016,0.1568080021,9.9991389652,0.5860347835,31.0476513362,1.6430753377
HKUST-1_v2_EQeq,0.0001,0.02,0.19598,0.78392,0.0540236514,0.0081291056,17.6050666529,0.5429207133,3.6449328082,0.1015467507,9.8875533851,0.1986200723,31.1915764976,.8512166419
HKUST-1_v2_EQeq,0.0005,0.02,0.1959,0.7836000000000001,0.2587680111,0.0513328088,17.7100860310,0.4718058241,3.6814681016,0.1054278323,9.8803169662,0.4887231990,31.5306391099,1.1172896642
HKUST-1_v2_EQeq,0.001,0.02,0.1958,0.7832,0.4808456921,0.0492283728,17.3991195609,0.4218818223,3.6794842848,0.1223603904,9.7218393913,0.2439737585,31.2812889291,.8374443440
HKUST-1_v2_EQeq,0.005,0.02,0.195,0.78,2.4900152036,0.2761281925,17.2281789281,0.7566526594,3.6419570829,0.0956447548,9.7192342805,0.2410099079,33.0793854951,1.3694355146
HKUST-1_v2_EQeq,0.01,0.02,0.19399999999999998,0.7759999999999999,4.9414923627,0.4937461408,16.6523908661,0.3732493057,3.4804413285,0.1074114643,9.4854979487,0.5351091811,34.5598225060,1.5095160919
HKUST-1_v2_EQeq,0.02,0.02,0.192,0.768,9.2392762014,0.6915652017,16.4723576465,0.4040961855,3.4098505126,0.0521567376,9.0560888487,0.1702798111,38.1775732092,1.3180979359
HKUST-1_v2_EQeq,0.03,0.02,0.19,0.76,13.8145691549,0.8128333437,15.6767562974,0.7135494065,3.2618908399,0.1130823937,8.7527381667,0.1277340892,41.5059544589,1.7671992331
