MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
IRMOF-1_v2_EQeq,0.0,0.02,0.196,0.784,0.0000000000,0.0000000000,1.5249977679,0.0824062889,1.8433550721,0.0879370663,5.8909412150,0.2312508129,9.2592940550,.4015941681
IRMOF-1_v2_EQeq,1e-05,0.02,0.195998,0.783992,0.0000000000,0.0000000000,1.5353548956,0.0922063768,1.8482900794,0.1217544380,5.8647915937,0.1495556380,9.2484365687,.3635164528
IRMOF-1_v2_EQeq,0.04,0.02,0.188,0.752,0.4474810296,0.0753794931,1.5596405744,0.1212307542,1.7830960364,0.1448858838,5.6258067936,0.0735191543,9.4160244340,.4150152854
IRMOF-1_v2_EQeq,0.05,0.02,0.18600000000000003,0.7440000000000001,0.5612968567,0.0661811523,1.4657121404,0.1133306664,1.7955634231,0.1332996127,5.5951094120,0.1517644214,9.4176818322,.4645758528
IRMOF-1_v2_EQeq,5e-05,0.02,0.19599,0.78396,0.0009727848,0.0015885510,1.4903549615,0.0957940695,1.8672508967,0.0731223715,5.9193647165,0.1068346220,9.2779433595,.2773396140
IRMOF-1_v2_EQeq,0.0001,0.02,0.19598,0.78392,0.0025940929,0.0043984986,1.5057120819,0.0947174868,1.8321863715,0.0449397941,5.8274999598,0.0704330466,9.1679925061,.2144888261
IRMOF-1_v2_EQeq,0.0005,0.02,0.1959,0.7836000000000001,0.0022698313,0.0038911394,1.5378548920,0.0502239146,1.8446537583,0.0700154434,5.8666106978,0.2043407408,9.2513891794,.3284712382
IRMOF-1_v2_EQeq,0.001,0.02,0.1958,0.7832,0.0123219414,0.0101716894,1.4646407134,0.0855175064,1.8259526782,0.1335261546,5.8429623446,0.0451443951,9.1458776776,.2743597455
IRMOF-1_v2_EQeq,0.005,0.02,0.195,0.78,0.0522061201,0.0216455255,1.4999978045,0.1081616630,1.8254332037,0.1528491215,5.9314162811,0.1869400530,9.3090534094,.4695963630
IRMOF-1_v2_EQeq,0.01,0.02,0.19399999999999998,0.7759999999999999,0.1034394554,0.0304460764,1.5532120124,0.0802227863,1.8173813498,0.0824411020,5.8249986917,0.0942670728,9.2990315093,.2873770375
IRMOF-1_v2_EQeq,0.02,0.02,0.192,0.768,0.2276316542,0.0224280300,1.5371406073,0.1034455851,1.8108879193,0.0397864525,5.7319969950,0.0934407036,9.3076571758,.2591007712
IRMOF-1_v2_EQeq,0.03,0.02,0.19,0.76,0.3219917844,0.0253339439,1.5224977716,0.1120903606,1.8043944887,0.0898345410,5.6653723076,0.1453648004,9.3142563523,.3726236459
