MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-100_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,3.7185367365,0.1528178685,3.0635265604,0.0663877648,9.1999133392,0.2524146781,15.9819766361,.4716203114
NU-100_EQeq,1e-05,0.03,0.193998,0.775992,0.0001066232,0.0001348689,3.7221628654,0.1384003506,3.0958955445,0.1364307993,9.1655433430,0.3878079430,15.9837083761,.6627739618
NU-100_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,0.6879328512,0.0204898601,3.6520966966,0.1349971287,2.9608475490,0.0524418055,8.7818877944,0.1458738029,16.0827648912,.3538025972
NU-100_EQeq,0.05,0.03,0.184,0.736,0.8710048762,0.0295023894,3.6484705677,0.1705242516,2.9338804847,0.1131641258,8.6480570615,0.2594661679,16.1014129901,.5726569347
NU-100_EQeq,5e-05,0.03,0.19399,0.77596,0.0011088812,0.0003191580,3.7599447895,0.1919646108,3.0915995295,0.1049616885,9.0773654978,0.2113846980,15.9300186980,.5086301553
NU-100_EQeq,0.0001,0.03,0.19398,0.7759199999999999,0.0018978929,0.0007436156,3.7286548059,0.1590988143,3.1027436476,0.0542030243,9.2243409855,0.2992062473,16.0576373319,.5132517015
NU-100_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0085511802,0.0004553697,3.7277775166,0.2177426834,3.0890899762,0.0985937987,9.2201704117,0.2727386478,16.0455890847,.5895304996
NU-100_EQeq,0.001,0.03,0.1938,0.7752,0.0171450097,0.0013173036,3.7162557844,0.1023316294,3.0747132132,0.1066308032,9.1837151286,0.2025167242,15.9918291359,.4127964604
NU-100_EQeq,0.005,0.03,0.193,0.772,0.0908856110,0.0085846968,3.7539792225,0.1106311806,3.1046577136,0.0913947691,9.1643517505,0.1380948605,16.1138742976,.3487055070
NU-100_EQeq,0.01,0.03,0.192,0.768,0.1777408653,0.0081982074,3.7158463827,0.1628694170,3.0841984740,0.0925938769,9.1510580466,0.2500387425,16.1288437686,.5137002438
NU-100_EQeq,0.02,0.03,0.19,0.76,0.3529440986,0.0146538599,3.7239759299,0.1082597536,3.0520846987,0.0357302462,9.0711841117,0.2655495916,16.2001888389,.4241934513
NU-100_EQeq,0.03,0.03,0.188,0.752,0.5237971055,0.0115307747,3.6953763000,0.1035227098,2.9883250309,0.0551001542,8.8310037479,0.2240959564,16.0385021843,.3942495951
