MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-125_v2_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,7.7002175014,0.3221365481,3.4493693429,0.1329147536,10.3821340613,0.3735272522,21.5317209056,.8285785539
NU-125_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.0001572878,0.0002568498,7.6928839609,0.1515475575,3.4580492379,0.0955300885,10.3765493647,0.1787547482,21.5276398513,.4260892440
NU-125_v2_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,0.9849883318,0.0359935111,7.5193235030,0.2619888039,3.3520081115,0.1579973350,9.8825325977,0.1669915832,21.7388525440,.6229712332
NU-125_v2_EQeq,0.05,0.03,0.184,0.736,1.2614477704,0.0649809748,7.5726714151,0.2530130204,3.3030660531,0.1586141151,9.8966316678,0.2392463121,22.0338169064,.7158544224
NU-125_v2_EQeq,5e-05,0.03,0.19399,0.77596,0.0018350238,0.0014829231,7.6816679579,0.3169004963,3.5037494078,0.0724392158,10.5461959676,0.4520666694,21.7334483571,.8428893046
NU-125_v2_EQeq,0.0001,0.03,0.19398,0.7759199999999999,0.0025690333,0.0012138249,7.7883637821,0.2823827466,3.5301028238,0.1229897220,10.3107231869,0.5452999469,21.6317588261,.9518862404
NU-125_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0129500249,0.0013911052,7.6592359517,0.1566057962,3.5122201486,0.1113340433,10.4443896954,0.2471917596,21.6287958206,.5165227043
NU-125_v2_EQeq,0.001,0.03,0.1938,0.7752,0.0276826443,0.0031387567,7.7590296202,0.4203530353,3.4923505096,0.0609317251,10.3598868273,0.1276289098,21.6389496014,.6120524269
NU-125_v2_EQeq,0.005,0.03,0.193,0.772,0.1237330315,0.0134570680,7.7322837666,0.4404826593,3.4559576970,0.0457880306,10.3548514452,0.1203523808,21.6668259403,.6200801387
NU-125_v2_EQeq,0.01,0.03,0.192,0.768,0.2527089881,0.0152243567,7.8526401074,0.0686430580,3.4578400838,0.0716547401,10.3291252199,0.2196743394,21.8923143992,.3751964942
NU-125_v2_EQeq,0.02,0.03,0.19,0.76,0.4984973151,0.0111298297,7.8409927196,0.1585436551,3.4055515599,0.0608023582,10.2404109413,0.3309578723,21.9854525359,.5614337153
NU-125_v2_EQeq,0.03,0.03,0.188,0.752,0.7643136159,0.0340646523,7.6388170743,0.2255511077,3.3576552721,0.0507542483,10.1541685776,0.2406079367,21.9149545399,.5509779450
