MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
UIO-66_v2_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,22.4421794879,0.2930652549,2.0665694769,0.0272864415,6.0570587481,0.1052638513,30.5658077129,.4256155477
UIO-66_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.0001379092,0.0001501365,22.5356038162,0.4643344884,2.0683116377,0.0299787526,6.0813011111,0.0807400505,30.6853544742,.5752034280
UIO-66_v2_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,0.8014515153,0.0122814038,21.9119764624,0.5289518349,1.9660131782,0.0404018818,5.8051361790,0.0891020981,30.4845773349,.6707372186
UIO-66_v2_EQeq,0.05,0.03,0.184,0.736,0.9983858187,0.0184401702,22.0163696390,0.3614962682,1.9243235760,0.0358105251,5.6805261521,0.1205790745,30.6196051858,.5363260380
UIO-66_v2_EQeq,5e-05,0.03,0.19399,0.77596,0.0009040713,0.0004377193,22.4705892252,0.7705808522,2.0817904607,0.0623865463,6.1320869885,0.1036717886,30.6853707457,.9370769064
UIO-66_v2_EQeq,0.0001,0.03,0.19398,0.7759199999999999,0.0024823652,0.0005447838,22.5589283786,0.6450958129,2.0672418898,0.0239522138,6.0506101725,0.0487603783,30.6792628061,.7183531888
UIO-66_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0105270671,0.0017271136,22.6947151553,0.6388655446,2.0616792010,0.0229010700,6.1736415026,0.1096377720,30.9405629260,.7731315002
UIO-66_v2_EQeq,0.001,0.03,0.1938,0.7752,0.0215138315,0.0020862131,22.5217351575,0.5768487027,2.0876587918,0.0343269852,6.1343346248,0.1338887026,30.7652424056,.7471506036
UIO-66_v2_EQeq,0.005,0.03,0.193,0.772,0.1013325979,0.0041214678,22.4238140217,0.5714612636,2.0548939431,0.0517673878,6.0495398695,0.1029208620,30.6295804322,.7302709812
UIO-66_v2_EQeq,0.01,0.03,0.192,0.768,0.2016385387,0.0019343734,22.6311294564,0.5348290886,2.0277223475,0.0597136408,5.9837162349,0.1026872763,30.8442065775,.6991643791
UIO-66_v2_EQeq,0.02,0.03,0.19,0.76,0.4056368566,0.0179454985,22.3470320839,0.5743677298,2.0088030926,0.0269779452,5.9290505091,0.0958353695,30.6905225422,.7151265430
UIO-66_v2_EQeq,0.03,0.03,0.188,0.752,0.6052833739,0.0132034071,22.1392123343,0.5509935748,1.9762827577,0.0479381130,5.8541560565,0.0438001153,30.5749345224,.6559352102
