,MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,ZIF-8_v2_EQeq,0.0,0.03,0.194,0.7759999999999999,0.0,0.0,5.7408702389999995,0.15664835189999998,2.5811034526,0.061486919699999996,7.925815401,0.2281448993,16.2477890926,0.44628017090000005
1,ZIF-8_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.00033039870000000005,0.0005395389,5.752650410499999,0.0890253283,2.5592092163999998,0.054907912,8.0188958776,0.22945403600000003,16.331085903199998,0.37392681520000004
2,ZIF-8_v2_EQeq,5e-05,0.03,0.19399,0.77596,0.0011380401,0.0006729232,5.760906599099999,0.1522294031,2.5890849635,0.1192343747,8.0282552092,0.244136393,16.3793848119,0.516273094
3,ZIF-8_v2_EQeq,0.0001,0.03,0.19397999999999999,0.7759199999999999,0.0028634558000000003,0.0010538031,5.813867028200001,0.10469443310000001,2.5898172122,0.0647874187,8.032678455,0.1943669866,16.4392261512,0.36490264149999996
4,ZIF-8_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0129222622,0.0028775408000000003,5.771981974,0.1507572238,2.5986774215,0.0526637014,7.889980699600001,0.1293533025,16.2735623573,0.3356517685
5,ZIF-8_v2_EQeq,0.001,0.03,0.1938,0.7752,0.026505321800000002,0.0049558453,5.6563953341,0.1305004831,2.563968833,0.0473148266,7.8718389814,0.2578119621,16.1187084703,0.44058311710000003
6,ZIF-8_v2_EQeq,0.005,0.03,0.193,0.772,0.13531664300000001,0.0144743686,5.7480188901,0.1529015807,2.5856433946,0.1094004068,7.952611295800001,0.1511293285,16.421590223499997,0.4279056846
7,ZIF-8_v2_EQeq,0.01,0.03,0.192,0.768,0.2637316232,0.0086482199,5.758188098,0.1020811159,2.5645546319,0.05816581059999999,7.8397223707000006,0.2933259277,16.4261967238,0.46222107409999996
8,ZIF-8_v2_EQeq,0.02,0.03,0.19,0.76,0.5334838459000001,0.0203507299,5.8018854862,0.2025594583,2.5584769677000003,0.07383739730000001,7.7717710586,0.1174154641,16.6656173584,0.4141630496
9,ZIF-8_v2_EQeq,0.03,0.03,0.188,0.752,0.8031993575,0.032204876800000004,5.7156989324000005,0.1557943734,2.5072927834,0.058703150499999995,7.6566384581,0.1548108286,16.6828295314,0.4015132293
10,ZIF-8_v2_EQeq,0.04,0.03,0.18600000000000005,0.7440000000000001,1.0773201859000001,0.0278910629,5.8045033021000005,0.1098807542,2.4795405575,0.10667996630000001,7.6134316804,0.1190228271,16.974795725899998,0.36347461049999996
11,ZIF-8_v2_EQeq,0.05,0.03,0.184,0.736,1.3471458304,0.038212859700000004,5.7690621024,0.1674980979,2.4466625908,0.0209202826,7.521440988999999,0.1460002014,17.0843115126,0.37263144159999995
