MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-125_v2_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,7.7304144328,0.1692191811,3.4832523064,0.1486842910,10.3512809015,0.2112829530,21.5649476407,.5291864251
NU-125_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.0000000000,0.0000000000,7.8139592763,0.4052562065,3.5077233356,0.0710034258,10.4968492223,0.1837613416,21.8185318342,.6600209739
NU-125_v2_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,0.0081496144,0.0005901506,7.8582481090,0.2063492550,3.3670672064,0.0446317394,10.0131778769,0.3858854617,21.2466428067,.6374566067
NU-125_v2_EQeq,0.05,0.03,0.184,0.736,0.0099679601,0.0010160377,7.7882199872,0.2060608674,3.3380993641,0.0783002095,9.9020332596,0.3076888717,21.0383205710,.5930659863
NU-125_v2_EQeq,5e-05,0.03,0.19399,0.77596,0.0000065882,0.0000263528,7.8753597034,0.2991716629,3.5661819053,0.1208060006,10.4486011059,0.3531908981,21.8901493028,.7731949144
NU-125_v2_EQeq,0.0001,0.03,0.19398,0.7759199999999999,0.0000263528,0.0000263528,7.6250127628,0.1184807245,3.4732129098,0.0480808828,10.4050221621,0.3220362253,21.5032741875,.4886241854
NU-125_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0001251760,0.0000645510,7.8064819409,0.2362028280,3.5433841089,0.1384713847,10.3449637856,0.3634918654,21.6949550114,.7382306291
NU-125_v2_EQeq,0.001,0.03,0.1938,0.7752,0.0001778816,0.0000671868,7.7427807952,0.1855732246,3.5016578668,0.1180255653,10.3964162362,0.2752934329,21.6410327798,.5789594096
NU-125_v2_EQeq,0.005,0.03,0.193,0.772,0.0010079960,0.0002751317,7.7619055184,0.3044942046,3.5052134864,0.0907029719,10.2199032030,0.4141187127,21.4880302038,.8095910209
NU-125_v2_EQeq,0.01,0.03,0.192,0.768,0.0019698745,0.0004739849,7.6067508091,0.4295989394,3.5022853291,0.0591983687,10.3409354799,0.3194244319,21.4519414926,.8086957249
NU-125_v2_EQeq,0.02,0.03,0.19,0.76,0.0042428065,0.0005794628,7.7847689093,0.4086312370,3.4557485429,0.0777901415,10.2778558742,0.3853599755,21.5226161329,.8723608168
NU-125_v2_EQeq,0.03,0.03,0.188,0.752,0.0061929164,0.0014948122,7.8142468661,0.2082924758,3.4299180121,0.0638300470,10.1278014855,0.1251030675,21.3781592801,.3987204025
