MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
ZIF-8_v2_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,5.7654374343,0.1194087733,2.5601611397,0.0573226809,7.9895998873,0.0856694345,16.3151984613,.2624008887
ZIF-8_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.0000000000,0.0000000000,5.7457031299,0.1570320309,2.5623578858,0.0766907387,7.9701119639,0.1683258447,16.2781729796,.4020486143
ZIF-8_v2_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,0.0038795879,0.0010002589,5.7207331937,0.0982568136,2.4554495752,0.0773368342,7.6480483865,0.2210398056,15.8281107433,.3976337123
ZIF-8_v2_EQeq,0.05,0.03,0.184,0.736,0.0048667838,0.0002960999,5.8085307112,0.1773946828,2.4561085990,0.0712634129,7.6099059047,0.1549422237,15.8794119987,.4038964193
ZIF-8_v2_EQeq,5e-05,0.03,0.19399,0.77596,0.0000092261,0.0000225993,5.7065365768,0.0909641847,2.5887188391,0.0718344561,7.9155585992,0.2361406574,16.2108232412,.3989618975
ZIF-8_v2_EQeq,0.0001,0.03,0.19398,0.7759199999999999,0.0000138392,0.0000225993,5.7729888262,0.1339947500,2.6123704722,0.0361063215,7.9706889090,0.2665904150,16.3560620466,.4367140858
ZIF-8_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0000553568,0.0000225993,5.8068190623,0.2180792730,2.6042425116,0.0740592733,7.9968437536,0.1677521222,16.4079606843,.4599132678
ZIF-8_v2_EQeq,0.001,0.03,0.1938,0.7752,0.0000784221,0.0000855596,5.7161016733,0.1527572417,2.5664584786,0.0686401045,7.9515215106,0.1966327155,16.2341600846,.4181156213
ZIF-8_v2_EQeq,0.005,0.03,0.193,0.772,0.0005535678,0.0003155822,5.7540600037,0.1741690286,2.5897439873,0.0901071824,7.9643425128,0.1188572605,16.3087000716,.3834490537
ZIF-8_v2_EQeq,0.01,0.03,0.192,0.768,0.0010656181,0.0002664420,5.8461869858,0.1690665356,2.5932587811,0.0664581758,7.9157509142,0.1518330409,16.3562622992,.3876241943
ZIF-8_v2_EQeq,0.02,0.03,0.19,0.76,0.0019697789,0.0006068241,5.8133636020,0.1125993998,2.5629436848,0.0332392521,7.8581846139,0.1379474309,16.2364616796,.2843929069
ZIF-8_v2_EQeq,0.03,0.03,0.188,0.752,0.0032614371,0.0008463938,5.7816477557,0.1309939173,2.5094895295,0.0379680661,7.7340132068,0.1677638804,16.0284119291,.3375722576
