MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
HKUST-1_v2_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,23.5161573621,0.9069389344,3.3703394938,0.1322817307,9.1285977665,0.1533284986,36.0150946224,1.1925491637
HKUST-1_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.0864527728,0.0122191409,22.9546901243,0.9731782577,3.4128262378,0.1746760460,9.1812788964,0.2638229637,35.6352480313,1.4238964083
HKUST-1_v2_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,65.9694521769,0.8289860303,7.3718147861,0.3512110980,2.0021671462,0.0603843345,5.8232910507,0.1273063596,81.1667251599,1.3678878224
HKUST-1_v2_EQeq,0.05,0.03,0.184,0.736,75.9685693120,2.4087159744,7.1831436090,0.9223117358,1.9281046508,0.0965865077,5.6965089909,0.0749407962,90.7763265627,3.5025550141
HKUST-1_v2_EQeq,5e-05,0.03,0.19399,0.77596,0.4176496477,0.0253107277,23.0187928616,1.2005678965,3.3986088838,0.1004263394,9.1455309868,0.2204349571,35.9805823799,1.5467399207
HKUST-1_v2_EQeq,0.0001,0.03,0.19398,0.7759199999999999,0.8358275201,0.0441045643,22.9719660393,1.1122436013,3.3637267710,0.0896664242,9.0636147244,0.3820949806,36.2351350548,1.6281095704
HKUST-1_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,4.0294739410,0.1644166201,21.3257531907,0.8151865420,3.1701393110,0.0852977162,8.7832758546,0.2768629299,37.3086422973,1.3417638082
HKUST-1_v2_EQeq,0.001,0.03,0.1938,0.7752,7.0308465781,0.1955982067,19.8898064129,1.5050788476,3.0570617511,0.1016220813,8.4260862156,0.1935944270,38.4038009577,1.9958935626
HKUST-1_v2_EQeq,0.005,0.03,0.193,0.772,21.6926029718,0.3847877414,13.3956535722,0.5492836907,2.5518497291,0.0895370970,7.3973568989,0.2904833770,45.0374631720,1.3140919061
HKUST-1_v2_EQeq,0.01,0.03,0.192,0.768,31.4210929954,0.8656473555,10.8501838844,0.6628592474,2.3612379943,0.0794118905,6.7999181511,0.1015428168,51.4324330252,1.7094613102
HKUST-1_v2_EQeq,0.02,0.03,0.19,0.76,45.0903152137,2.0401369929,8.5120251767,0.3832592768,2.1150793880,0.0927751105,6.2270832277,0.1625587708,61.9445030061,2.6787301510
HKUST-1_v2_EQeq,0.03,0.03,0.188,0.752,55.7606298434,1.1864258201,7.8289445898,0.5195766997,2.0620122876,0.0444530423,6.0723685907,0.1115990009,71.7239553115,1.8620545630
